date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:43:46 ,26.57,1.37%,"271,827",438.84K,19.22B,2.63B,15.23B,0.93,6.43,6.12,32.14,9.35,1.26,1.30,1.40,0.37,-1.94%,0.72%,6.43%,47.04,8.70%,15.80%,2.90%,94.90%,7.60%,17.20%,723.21M,543.42M,0.13%,1.66,35.50,-8.28%,17.26%,26.21,4.13,-4.40%,47.30%,26.60%,0.00%,11.60%,-0.08%,1.04,3.91%,29450,1.00
2018-10-17,20:36:17 ,26.81,0.90%,"431,103",438.84K,19.39B,2.63B,15.23B,0.94,6.49,6.18,32.43,9.44,1.27,1.30,1.40,0.37,-0.92%,1.56%,7.42%,49.91,8.70%,15.80%,2.90%,94.90%,7.60%,17.20%,723.21M,543.42M,0.13%,1.66,35.50,-7.46%,18.31%,26.57,4.13,-4.40%,47.30%,26.60%,0.00%,11.60%,-0.08%,1.04,3.88%,29450,1.00
2018-10-18,21:15:09 ,26.93,0.45%,"542,279",441.23K,19.48B,2.63B,15.23B,0.94,6.51,6.21,32.57,9.48,1.28,1.30,1.40,0.37,-0.47%,1.87%,7.92%,51.59,8.70%,15.80%,2.90%,94.90%,7.60%,17.20%,723.21M,543.42M,0.13%,1.66,35.50,-7.04%,18.84%,26.81,4.13,-4.40%,47.30%,26.60%,0.00%,11.60%,-0.08%,1.04,3.86%,29450,1.00
2018-10-19,21:23:05 ,27.48,2.04%,"663,908",447.03K,19.87B,2.63B,15.23B,0.96,6.65,6.33,33.24,9.67,1.31,1.30,1.40,0.37,1.58%,3.83%,10.14%,58.25,8.70%,15.80%,2.90%,94.90%,7.60%,17.20%,723.21M,543.42M,0.13%,1.63,35.50,-5.14%,21.27%,26.93,4.13,-4.40%,47.30%,26.60%,0.00%,11.60%,-0.08%,1.04,3.78%,29450,1.00
2018-10-22,18:36:42 ,27.59,0.40%,"821,446",451.50K,20.10B,2.62B,15.19B,0.96,6.69,6.36,33.46,9.78,1.32,1.30,1.40,0.37,1.90%,4.10%,10.58%,59.38,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,728.38M,543.42M,0.13%,1.62,35.50,-4.76%,21.76%,27.48,4.12,-4.40%,47.30%,26.60%,0.00%,11.60%,0.01%,1.04,3.77%,29450,1.00
2018-10-23,18:37:25 ,27.51,-0.29%,"748,529",460.27K,20.04B,2.62B,15.19B,0.96,6.67,6.34,33.36,9.75,1.32,1.30,1.40,0.37,1.51%,3.62%,10.27%,57.34,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,728.38M,543.42M,0.13%,1.59,35.50,-5.04%,21.40%,27.59,4.12,-4.40%,47.30%,26.60%,0.00%,11.60%,0.01%,1.04,3.78%,29450,1.00
2018-10-24,18:37:24 ,26.77,-2.69%,"515,934",469.28K,19.50B,2.62B,15.19B,0.93,6.49,6.17,32.46,9.49,1.28,1.30,1.40,0.37,-1.30%,0.66%,7.30%,48.22,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,728.38M,543.42M,0.13%,1.56,35.50,-7.59%,18.14%,27.51,4.12,-4.40%,47.30%,26.60%,0.00%,11.60%,0.01%,1.04,3.88%,29450,1.00
2018-10-25,18:37:17 ,27.47,2.61%,"1,193,854",471.15K,20.01B,2.62B,15.19B,0.96,6.66,6.33,33.31,9.74,1.32,1.30,1.40,0.37,1.33%,3.18%,10.14%,55.66,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,728.38M,543.42M,0.13%,1.55,35.50,-5.18%,21.23%,26.77,4.12,-4.40%,47.30%,26.60%,0.00%,11.60%,0.01%,1.04,3.79%,29450,1.00
2018-10-26,18:35:41 ,26.60,-3.17%,"523,400",484.36K,19.37B,2.62B,15.19B,0.93,6.45,6.13,32.26,9.43,1.28,1.30,1.40,0.37,-1.94%,-0.25%,6.66%,46.65,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,728.38M,543.42M,0.13%,1.51,35.50,-8.18%,17.39%,27.47,4.12,-4.40%,47.30%,26.60%,0.00%,11.60%,0.01%,1.04,3.91%,29450,1.00
2018-10-29,18:35:47 ,26.42,-0.68%,"886,478",488.00K,19.96B,2.62B,15.20B,0.92,6.40,6.09,32.01,9.72,1.31,1.30,1.40,0.37,-2.37%,-0.96%,5.96%,45.50,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,755.65M,543.42M,0.17%,1.84,35.50,-8.80%,16.59%,26.60,4.13,-4.40%,47.30%,26.60%,0.00%,11.70%,0.11%,1.04,3.94%,29450,1.00
2018-10-30,18:36:39 ,25.93,-1.85%,"541,352",505.00K,19.59B,2.62B,15.20B,0.90,6.28,5.97,31.42,9.54,1.29,1.30,1.40,0.37,-3.95%,-2.84%,4.02%,41.13,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,755.65M,543.42M,0.17%,1.78,35.50,-10.49%,14.43%,26.42,4.13,-4.40%,47.30%,26.60%,0.00%,11.70%,0.11%,1.04,4.01%,29450,1.00
2018-10-31,18:36:26 ,25.91,-0.08%,"356,586",508.35K,19.58B,2.62B,15.20B,0.90,6.28,5.97,31.39,9.53,1.29,1.30,1.40,0.37,-3.81%,-2.93%,3.98%,41.39,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,755.65M,543.42M,0.17%,1.77,35.50,-10.56%,14.34%,25.93,4.13,-4.40%,47.30%,26.60%,0.00%,11.70%,0.11%,1.04,4.01%,29450,1.00
2018-11-01,18:37:39 ,25.60,-1.20%,"860,763",505.97K,19.34B,2.62B,15.20B,0.89,6.20,5.90,31.02,9.41,1.27,1.30,1.40,0.37,-4.76%,-4.11%,2.77%,38.92,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,755.65M,543.42M,0.17%,1.78,35.50,-11.63%,12.97%,25.91,4.13,-4.40%,47.30%,26.60%,0.00%,11.70%,0.11%,1.04,4.06%,29450,1.00
2018-11-03,00:00:35 ,25.81,0.82%,"673,907",511.96K,19.50B,2.62B,15.20B,0.90,6.25,5.95,31.27,9.49,1.28,1.30,1.40,0.37,-3.66%,-3.35%,3.68%,41.73,8.70%,15.80%,2.90%,94.90%,7.60%,17.30%,755.65M,543.42M,0.17%,1.76,35.50,-10.91%,13.90%,25.60,4.13,-4.40%,47.30%,26.60%,0.00%,11.70%,0.11%,1.04,4.03%,29450,1.00
2018-11-05,17:37:04 ,26.35,2.09%,"721,701",515.51K,19.18B,2.65B,15.37B,0.91,6.32,6.10,31.58,9.23,1.25,1.30,1.40,0.37,-1.37%,-1.37%,5.91%,48.16,7.80%,14.20%,2.90%,94.90%,8.00%,15.60%,727.74M,543.42M,0.17%,1.74,35.50,-9.04%,16.28%,25.81,4.17,-4.40%,47.30%,26.60%,0.00%,11.70%,0.26%,1.04,3.95%,29450,1.00
2018-11-06,17:34:39 ,26.26,-0.34%,"668,533",515.06K,19.11B,2.65B,15.37B,0.91,6.29,6.08,31.47,9.20,1.24,1.30,1.40,0.37,-1.52%,-1.74%,5.60%,47.23,7.80%,14.20%,2.90%,94.90%,8.00%,15.60%,727.74M,543.42M,0.17%,1.75,35.50,-9.35%,15.89%,26.35,4.17,-4.40%,47.30%,26.60%,0.00%,11.70%,0.26%,1.04,3.96%,29450,1.00
2018-11-07,17:40:12 ,26.95,2.63%,"516,772",519.41K,19.61B,2.65B,15.37B,0.93,6.46,6.24,32.30,9.44,1.28,1.30,1.40,0.37,1.25%,0.81%,8.42%,53.42,7.80%,14.20%,2.90%,94.90%,8.00%,15.60%,727.74M,543.42M,0.17%,1.73,35.50,-6.97%,18.93%,26.26,4.17,-4.40%,47.30%,26.60%,0.00%,11.70%,0.26%,1.04,3.86%,29450,1.00
2018-11-08,17:34:25 ,26.59,-1.34%,"498,784",519.18K,19.35B,2.65B,15.37B,0.92,6.37,6.16,31.87,9.31,1.26,1.30,1.40,0.37,0.04%,-0.61%,7.00%,49.68,7.80%,14.20%,2.90%,94.90%,8.00%,15.60%,727.74M,543.42M,0.17%,1.73,35.50,-8.22%,17.34%,26.95,4.17,-4.40%,47.30%,26.60%,0.00%,11.70%,0.26%,1.04,3.91%,29450,1.00
2018-11-09,18:21:09 ,26.07,-1.96%,"356,992",515.37K,18.97B,2.65B,15.37B,0.90,6.25,6.03,31.24,9.13,1.23,1.30,1.40,0.37,-2.02%,-2.59%,4.93%,44.19,7.80%,14.20%,2.90%,94.90%,8.00%,15.60%,727.74M,543.42M,0.17%,1.74,35.50,-10.01%,15.05%,26.59,4.17,-4.40%,47.30%,26.60%,0.00%,11.70%,0.26%,1.04,3.99%,29450,1.00
