date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:10:46 ,25.07,2.79%,"3,493",1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-4.08%,-5.80%,-2.14%,38.91,-,-,-,-,-,-,-,-,-,1.29,-,-9.95%,6.27%,24.39,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,21:02:56 ,25.01,-0.24%,712,1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-3.96%,-5.90%,-2.40%,38.50,-,-,-,-,-,-,-,-,-,1.29,-,-10.17%,6.02%,25.07,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,21:41:36 ,25.01,0.00%,0,1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-3.60%,-5.76%,-2.43%,38.50,-,-,-,-,-,-,-,-,-,1.29,-,-10.17%,6.02%,25.01,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,21:49:30 ,25.01,0.00%,0,1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-3.60%,-5.76%,-2.43%,38.50,-,-,-,-,-,-,-,-,-,1.29,-,-10.17%,6.02%,25.01,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,19:04:03 ,25.01,0.00%,0,1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-3.60%,-5.76%,-2.43%,38.50,-,-,-,-,-,-,-,-,-,1.29,-,-10.17%,6.02%,25.01,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,19:05:10 ,24.11,-3.60%,425,1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-7.07%,-9.15%,-5.94%,31.47,-,-,-,-,-,-,-,-,-,1.29,-,-13.40%,2.20%,25.01,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,19:04:43 ,23.29,-3.40%,"5,982",1.36K,-,-,-,-,-,-,-,-,-,-,-,-,-9.76%,-12.06%,-9.14%,26.75,-,-,-,-,-,-,-,-,-,1.33,-,-16.34%,-1.27%,24.11,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,19:04:46 ,23.67,1.63%,783,1.49K,-,-,-,-,-,-,-,-,-,-,-,-,-7.66%,-10.43%,-7.64%,32.03,-,-,-,-,-,-,-,-,-,1.22,-,-14.98%,1.63%,23.29,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,19:03:08 ,23.08,-2.51%,"3,044",1.47K,-,-,-,-,-,-,-,-,-,-,-,-,-9.35%,-12.52%,-9.96%,29.13,-,-,-,-,-,-,-,-,-,1.23,-,-17.12%,-0.92%,23.67,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,19:02:46 ,23.83,3.27%,171,1.50K,-,-,-,-,-,-,-,-,-,-,-,-,-5.71%,-9.43%,-7.00%,38.10,-,-,-,-,-,-,-,-,-,3.62,-,-14.40%,3.27%,23.08,-,-,-,-,-,-,-,-,-,-,-
2018-10-30,19:03:34 ,23.35,-2.01%,23,1.47K,-,-,-,-,-,-,-,-,-,-,-,-,-7.07%,-11.05%,-8.87%,35.60,-,-,-,-,-,-,-,-,-,3.70,-,-16.13%,1.19%,23.83,-,-,-,-,-,-,-,-,-,-,-
2018-10-31,19:03:40 ,23.89,2.31%,132,1.46K,-,-,-,-,-,-,-,-,-,-,-,-,-4.25%,-8.74%,-6.75%,41.44,-,-,-,-,-,-,-,-,-,3.72,-,-14.19%,3.53%,23.35,-,-,-,-,-,-,-,-,-,-,-
2018-11-01,19:04:55 ,24.81,3.85%,266,1.46K,-,-,-,-,-,-,-,-,-,-,-,-,-0.68%,-5.27%,-3.17%,48.62,-,-,-,-,-,-,-,-,-,3.73,-,-10.89%,7.52%,23.89,-,-,-,-,-,-,-,-,-,-,-
2018-11-03,00:28:38 ,24.75,-0.23%,425,1.42K,-,-,-,-,-,-,-,-,-,-,-,-,-0.47%,-5.33%,-3.41%,47.90,-,-,-,-,-,-,-,-,-,3.83,-,-11.10%,7.26%,24.81,-,-,-,-,-,-,-,-,-,-,-
2018-11-05,18:04:54 ,24.44,-1.26%,"1,503",1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-1.30%,-6.36%,-4.63%,44.83,-,-,-,-,-,-,-,-,-,3.90,-,-12.21%,5.92%,24.75,-,-,-,-,-,-,-,-,-,-,-
2018-11-06,18:01:17 ,24.52,0.33%,"2,150",1.40K,-,-,-,-,-,-,-,-,-,-,-,-,-0.52%,-5.88%,-4.31%,45.43,-,-,-,-,-,-,-,-,-,3.89,-,-11.92%,6.27%,24.44,-,-,-,-,-,-,-,-,-,-,-
2018-11-07,18:07:07 ,24.61,0.37%,302,1.42K,-,-,-,-,-,-,-,-,-,-,-,-,0.27%,-5.36%,-3.97%,46.45,-,-,-,-,-,-,-,-,-,3.84,-,-11.60%,6.66%,24.52,-,-,-,-,-,-,-,-,-,-,-
