date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-18,23:22:01 ,2.72,0.37%,"1,633",27.67K,63.32M,6.40M,154.70M,2.37,7.16,-,0.29,31.66,0.41,0.80,1.30,1.09,-1.27%,0.74%,7.11%,48.92,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.28M,20.11M,0.28%,2.07,3.50,-14.47%,94.29%,2.71,0.38,34.80%,98.40%,6.60%,0.00%,32.20%,38.69%,-,-,1600,-
2018-10-19,23:28:44 ,2.73,0.37%,"34,533",27.42K,63.55M,6.40M,154.70M,2.37,7.18,-,0.29,31.78,0.41,0.80,1.30,1.09,-0.78%,1.01%,7.37%,48.76,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.28M,20.11M,0.28%,2.09,3.50,-14.15%,93.62%,2.72,0.38,34.80%,98.40%,6.60%,0.00%,32.20%,38.69%,-,-,1600,-
2018-10-23,20:54:13 ,2.74,0.37%,"15,594",27.50K,63.02M,6.40M,154.70M,2.38,7.21,-,0.29,31.51,0.41,0.80,1.30,1.09,-0.36%,1.08%,7.47%,50.78,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.00M,20.11M,0.28%,2.08,3.50,-13.84%,94.33%,2.73,0.38,34.80%,98.40%,6.60%,0.00%,32.40%,40.31%,-,-,1600,-
2018-10-24,20:52:23 ,2.70,-1.46%,"186,165",27.30K,62.10M,6.40M,154.70M,2.35,7.11,-,0.28,31.05,0.40,0.80,1.30,1.09,-1.85%,-0.57%,5.75%,46.99,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.00M,20.11M,0.28%,2.10,3.50,-15.09%,91.49%,2.74,0.38,34.80%,98.40%,6.60%,0.00%,32.40%,40.31%,-,-,1600,-
2018-10-25,20:53:32 ,2.76,2.22%,"4,289",29.71K,63.48M,6.40M,154.70M,2.40,7.26,-,0.29,31.74,0.41,0.80,1.30,1.09,0.35%,1.45%,7.97%,50.67,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.00M,20.11M,0.28%,1.93,3.50,-13.21%,95.74%,2.70,0.38,34.80%,98.40%,6.60%,0.00%,32.40%,40.31%,-,-,1600,-
2018-10-26,20:53:41 ,2.76,0.00%,"14,160",29.52K,63.48M,6.40M,154.70M,2.40,7.26,-,0.29,31.74,0.41,0.80,1.30,1.09,0.33%,1.27%,7.82%,50.96,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.00M,20.11M,0.28%,1.94,3.50,-13.21%,93.01%,2.76,0.38,34.80%,98.40%,6.60%,0.00%,32.40%,40.31%,-,-,1600,-
2018-10-29,20:42:53 ,2.77,0.36%,"63,178",29.61K,63.93M,6.40M,154.70M,2.41,7.29,-,0.29,31.97,0.41,0.80,1.30,1.09,0.93%,1.48%,8.06%,52.31,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.08M,20.11M,0.25%,1.71,3.50,-12.89%,93.71%,2.76,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,40.21%,-,-,1600,-
2018-10-30,20:44:45 ,2.70,-2.53%,"20,129",30.51K,62.32M,6.40M,154.70M,2.35,7.11,-,0.28,31.16,0.40,0.80,1.30,1.09,-1.53%,-1.06%,5.18%,46.65,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.08M,20.11M,0.25%,1.66,3.50,-15.09%,88.81%,2.77,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,40.21%,-,-,1600,-
2018-10-31,20:43:08 ,3.15,16.67%,"151,508",30.67K,72.70M,6.40M,154.70M,2.74,8.29,-,0.33,36.35,0.47,0.80,1.30,1.09,14.98%,15.43%,22.55%,70.24,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.08M,20.11M,0.25%,1.65,3.50,-0.94%,120.28%,2.70,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,40.21%,-,-,1600,-
2018-11-01,20:45:36 ,3.47,10.16%,"107,351",32.88K,80.09M,6.40M,154.70M,3.02,9.13,-,0.37,40.04,0.52,0.80,1.30,1.09,25.66%,26.71%,34.72%,77.87,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.08M,20.11M,0.25%,1.54,3.50,8.44%,139.33%,3.15,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,40.21%,-,-,1600,-
2018-11-03,02:14:07 ,3.27,-5.76%,"35,964",34.25K,75.47M,6.40M,154.70M,2.84,8.61,-,0.34,37.74,0.49,0.80,1.30,1.09,16.87%,18.80%,26.61%,67.16,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,23.08M,20.11M,0.25%,1.48,3.50,-5.76%,120.95%,3.47,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,40.21%,-,-,1600,-
2018-11-05,19:47:07 ,3.50,7.03%,"50,556",34.23K,85.75M,6.40M,154.70M,3.04,9.21,-,0.37,42.88,0.55,0.80,1.30,1.09,24.00%,26.61%,35.22%,71.91,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,24.50M,20.11M,0.25%,1.48,3.50,0.00%,136.49%,3.27,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,37.01%,-,-,1600,-
2018-11-06,19:44:52 ,3.64,4.00%,"87,812",34.77K,89.18M,6.40M,154.70M,3.17,9.58,-,0.38,44.59,0.58,0.80,1.30,1.09,27.27%,30.88%,40.24%,74.38,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,24.50M,20.11M,0.25%,1.45,3.50,4.00%,133.33%,3.50,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,37.01%,-,-,1600,-
2018-11-07,19:54:12 ,3.89,6.87%,"133,895",36.08K,95.31M,6.40M,154.70M,3.38,10.24,-,0.41,47.65,0.62,0.80,1.30,1.09,34.02%,38.95%,49.44%,77.70,-2.20%,-7.90%,2.50%,9.10%,0.20%,-1.00%,24.50M,20.11M,0.25%,1.40,3.50,6.58%,149.36%,3.64,0.38,34.80%,98.40%,6.60%,0.00%,32.50%,37.01%,-,-,1600,-
