date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:44:08 ,7.25,-2.03%,"28,702,708",23.82M,8.78B,-1136.00M,986.60M,3.63,-,-,-,5.59,8.90,6.70,6.70,0.00,-11.43%,-27.33%,-45.17%,29.10,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.21B,750.06M,18.76%,5.91,10.92,-65.83%,12.23%,7.40,-0.90,44.40%,24.70%,10.00%,-4.85%,36.80%,-0.18%,-,-,3069,3.10
2018-10-17,20:36:40 ,7.06,-2.62%,"20,918,596",23.82M,8.55B,-1136.00M,986.60M,3.53,-,-,-,5.45,8.67,6.70,6.70,0.00,-12.75%,-28.40%,-46.46%,27.40,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.21B,750.06M,18.76%,5.91,10.92,-66.73%,9.29%,7.25,-0.90,44.40%,24.70%,10.00%,-4.86%,36.80%,-0.18%,-,-,3069,3.10
2018-10-18,21:15:31 ,6.81,-3.54%,"16,894,547",23.88M,8.25B,-1136.00M,986.60M,3.40,-,-,-,5.26,8.36,6.70,6.70,0.00,-14.73%,-30.08%,-48.20%,25.44,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.21B,750.06M,18.76%,5.89,10.92,-67.91%,5.42%,7.06,-0.90,44.40%,24.70%,10.00%,-4.84%,36.80%,-0.18%,-,-,3069,3.10
2018-10-19,21:23:27 ,6.81,0.00%,"18,694,098",23.98M,8.25B,-1136.00M,986.60M,3.40,-,-,-,5.26,8.36,6.70,6.70,0.00,-13.43%,-29.29%,-48.03%,25.42,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.21B,750.06M,18.76%,5.87,10.92,-67.91%,5.42%,6.81,-0.90,44.40%,24.70%,10.00%,-4.84%,36.80%,-0.18%,-,-,3069,3.10
2018-10-22,18:37:05 ,6.84,0.44%,"12,637,339",24.07M,8.74B,-1136.00M,986.60M,3.42,-,-,-,5.57,8.86,6.70,6.70,0.00,-11.74%,-28.16%,-47.64%,26.21,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.28B,750.57M,18.75%,5.85,10.63,-67.77%,5.88%,6.81,-0.90,44.40%,24.70%,9.90%,-4.63%,36.80%,-0.25%,-,-,3069,3.10
2018-10-23,18:37:48 ,6.82,-0.29%,"24,259,010",24.13M,8.71B,-1136.00M,986.60M,3.41,-,-,-,5.55,8.83,6.70,6.70,0.00,-10.79%,-27.54%,-47.64%,25.06,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.28B,750.57M,18.75%,5.83,10.63,-67.86%,5.57%,6.84,-0.90,44.40%,24.70%,9.90%,-4.63%,36.80%,-0.25%,-,-,3069,3.10
2018-10-24,18:37:50 ,6.59,-3.37%,"21,689,018",24.37M,8.42B,-1136.00M,986.60M,3.30,-,-,-,5.36,8.53,6.70,6.70,0.00,-12.52%,-29.12%,-49.27%,22.09,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.28B,750.57M,18.75%,5.78,10.63,-68.94%,2.01%,6.82,-0.90,44.40%,24.70%,9.90%,-4.63%,36.80%,-0.25%,-,-,3069,3.10
2018-10-25,18:37:39 ,6.99,6.07%,"42,104,289",24.46M,8.93B,-1136.00M,986.60M,3.49,-,-,-,5.69,9.05,6.70,6.70,0.00,-5.71%,-23.87%,-46.03%,33.59,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.28B,750.57M,18.75%,5.75,10.63,-67.06%,8.20%,6.59,-0.90,44.40%,24.70%,9.90%,-4.63%,36.80%,-0.25%,-,-,3069,3.10
2018-10-26,18:36:04 ,6.28,-10.16%,"79,673,673",24.89M,8.02B,-1136.00M,986.60M,3.14,-,-,-,5.11,8.13,6.70,6.70,0.00,-14.24%,-30.82%,-51.37%,26.44,-46.80%,-53.10%,-102.10%,19.90%,-,-,1.28B,750.57M,18.75%,5.65,10.63,-70.41%,-2.79%,6.99,-0.90,44.40%,24.70%,9.90%,-4.61%,36.80%,-0.25%,-,-,3069,3.10
2018-10-29,18:36:10 ,5.99,-4.62%,"32,060,402",25.81M,8.52B,-1136.00M,986.60M,3.29,-,-,-,6.02,8.63,6.00,6.00,0.00,-16.95%,-33.15%,-53.47%,24.19,-45.80%,-52.60%,-102.10%,19.90%,-,-,1.42B,750.61M,18.90%,5.50,9.95,-71.77%,3.81%,6.28,-0.90,43.20%,30.90%,9.80%,-4.20%,36.60%,-0.63%,-,-,3069,3.10
2018-10-30,18:37:01 ,6.43,7.35%,"35,830,990",25.87M,9.14B,-1136.00M,986.60M,3.53,-,-,-,6.46,9.27,6.00,6.00,0.00,-9.36%,-27.28%,-49.89%,33.56,-45.80%,-52.60%,-102.10%,19.90%,-,-,1.42B,750.61M,18.90%,5.48,9.95,-69.70%,11.44%,5.99,-0.90,43.20%,30.90%,9.80%,-4.20%,36.60%,-0.63%,-,-,3069,3.10
2018-10-31,18:36:49 ,6.61,2.80%,"27,665,447",26.00M,9.40B,-1136.00M,986.60M,3.63,-,-,-,6.64,9.53,6.00,6.00,0.00,-5.66%,-24.34%,-48.35%,37.25,-45.80%,-52.60%,-102.10%,19.90%,-,-,1.42B,750.61M,18.90%,5.46,9.95,-68.85%,14.56%,6.43,-0.90,43.20%,30.90%,9.80%,-4.20%,36.60%,-0.63%,-,-,3069,3.10
2018-11-01,18:38:03 ,7.20,8.93%,"31,400,485",26.20M,10.24B,-1136.00M,986.60M,3.96,-,-,-,7.24,10.38,6.00,6.00,0.00,3.96%,-16.66%,-43.58%,47.47,-45.80%,-52.60%,-102.10%,19.90%,-,-,1.42B,750.61M,18.90%,5.42,9.95,-66.07%,24.78%,6.61,-0.90,43.20%,30.90%,9.80%,-4.20%,36.60%,-0.63%,-,-,3069,3.10
2018-11-03,00:00:57 ,6.82,-5.28%,"26,787,269",26.51M,9.70B,-1136.00M,986.60M,3.75,-,-,-,6.86,9.83,6.00,6.00,0.00,-1.09%,-20.28%,-46.42%,43.24,-45.80%,-52.60%,-102.10%,19.90%,-,-,1.42B,750.61M,18.90%,5.35,9.95,-67.86%,18.20%,7.20,-0.90,43.20%,30.90%,9.80%,-4.19%,36.60%,-0.63%,-,-,3069,3.10
