date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:48:37 ,42.73,-0.56%,"1,867,720",1.55M,5.10B,378.30M,1.25B,1.78,13.56,10.51,1.70,4.67,4.08,-,-,0.58,-6.73%,-11.28%,-16.13%,21.10,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.27M,115.34M,3.30%,2.46,55.03,-25.56%,1.98%,42.97,3.15,15.50%,52.70%,0.80%,4.18%,80.70%,-0.07%,1.00,2.34%,4541,2.70
2018-10-17,20:41:03 ,43.11,0.89%,"1,702,500",1.55M,5.14B,378.30M,1.25B,1.79,13.68,10.61,1.71,4.71,4.12,-,-,0.58,-5.48%,-10.22%,-15.34%,25.76,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.27M,115.34M,3.30%,2.46,55.03,-24.90%,2.89%,42.73,3.15,15.50%,52.70%,0.80%,4.18%,80.70%,-0.07%,1.00,2.32%,4541,2.70
2018-10-18,21:19:53 ,42.65,-1.07%,"1,881,686",1.56M,5.09B,378.30M,1.25B,1.77,13.54,10.49,1.69,4.66,4.08,-,-,0.58,-6.02%,-10.93%,-16.20%,23.11,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.27M,115.34M,3.30%,2.44,55.03,-25.70%,1.79%,43.11,3.15,15.50%,52.70%,0.80%,4.18%,80.70%,-0.07%,1.00,2.34%,4541,2.70
2018-10-19,21:27:49 ,41.98,-1.57%,"1,942,569",1.58M,5.01B,378.30M,1.25B,1.75,13.32,10.33,1.67,4.59,4.01,-,-,0.58,-6.96%,-12.07%,-17.47%,20.69,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.27M,115.34M,3.30%,2.42,55.03,-26.86%,0.19%,42.65,3.15,15.50%,52.70%,0.80%,4.18%,80.70%,-0.07%,1.00,2.38%,4541,2.70
2018-10-22,18:41:31 ,40.34,-3.91%,"2,145,285",1.58M,4.81B,378.30M,1.25B,1.68,12.80,9.92,1.60,4.40,3.85,-,-,0.58,-10.03%,-15.23%,-20.64%,16.34,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.22M,115.34M,3.30%,2.41,55.03,-29.72%,-3.72%,41.98,3.15,15.50%,52.70%,0.80%,4.18%,82.10%,1.64%,1.00,2.48%,4541,2.70
2018-10-23,18:42:17 ,39.35,-2.45%,"2,269,175",1.60M,4.69B,378.30M,1.25B,1.64,12.49,9.68,1.56,4.30,3.76,-,-,0.58,-11.55%,-16.99%,-22.52%,14.38,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.22M,115.34M,3.30%,2.38,55.03,-31.45%,-2.24%,40.34,3.15,15.50%,52.70%,0.80%,4.18%,82.10%,1.64%,1.00,2.54%,4541,2.70
2018-10-24,18:42:18 ,36.53,-7.17%,"3,247,126",1.62M,4.36B,378.30M,1.25B,1.52,11.59,8.99,1.45,3.99,3.49,-,-,0.58,-17.17%,-22.61%,-28.00%,10.44,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.22M,115.34M,3.30%,2.35,55.03,-36.36%,-0.33%,39.35,3.15,15.50%,52.70%,0.80%,4.18%,82.10%,1.64%,1.00,2.74%,4541,2.70
2018-10-25,18:42:09 ,37.18,1.78%,"3,718,740",1.58M,4.43B,378.30M,1.25B,1.55,11.80,9.15,1.47,4.06,3.55,-,-,0.58,-14.77%,-20.79%,-26.62%,16.18,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.22M,115.34M,3.30%,2.40,55.03,-35.23%,1.92%,36.53,3.15,15.50%,52.70%,0.80%,4.95%,82.10%,1.64%,1.00,2.69%,4541,2.70
2018-10-26,18:40:31 ,36.62,-1.51%,"2,630,524",1.58M,4.37B,378.30M,1.25B,1.52,11.62,9.01,1.45,4.00,3.50,-,-,0.58,-15.21%,-21.57%,-27.63%,15.38,1.10%,11.70%,23.50%,-,81.60%,26.60%,119.22M,115.34M,3.30%,2.42,55.03,-36.20%,0.38%,37.18,3.15,15.50%,52.70%,0.80%,4.95%,82.10%,1.64%,1.00,2.73%,4541,2.70
2018-10-29,18:40:36 ,36.90,0.76%,"3,334,530",1.57M,4.37B,382.20M,1.29B,1.53,11.50,9.17,1.44,4.00,3.38,-,-,0.58,-13.64%,-20.50%,-26.98%,17.94,0.90%,10.40%,23.50%,-,76.20%,22.90%,118.50M,115.34M,4.20%,3.08,51.09,-35.71%,1.82%,36.62,3.21,15.50%,52.70%,0.80%,4.98%,82.00%,1.56%,1.00,2.71%,4541,2.70
2018-10-30,18:41:32 ,37.04,0.38%,"2,242,036",1.59M,4.39B,382.20M,1.29B,1.54,11.54,9.20,1.44,4.02,3.39,-,-,0.58,-12.46%,-19.73%,-26.60%,18.74,0.90%,10.40%,23.50%,-,76.20%,22.90%,118.50M,115.34M,4.20%,3.04,51.09,-35.47%,2.21%,36.90,3.21,15.50%,52.70%,0.80%,4.98%,82.00%,1.56%,1.00,2.70%,4541,2.70
2018-10-31,18:41:16 ,37.56,1.40%,"1,861,366",1.60M,4.45B,382.20M,1.29B,1.56,11.70,9.33,1.46,4.08,3.44,-,-,0.58,-10.38%,-18.11%,-25.47%,23.50,0.90%,10.40%,23.50%,-,76.20%,22.90%,118.50M,115.34M,4.20%,3.03,51.09,-34.56%,3.64%,37.04,3.21,15.50%,52.70%,0.80%,4.98%,82.00%,1.56%,1.00,2.66%,4541,2.70
2018-11-01,18:42:34 ,38.15,1.57%,"2,021,804",1.59M,4.52B,382.20M,1.29B,1.59,11.89,9.48,1.49,4.14,3.49,-,-,0.58,-8.06%,-16.33%,-24.20%,28.46,0.90%,10.40%,23.50%,-,76.20%,22.90%,118.50M,115.34M,4.20%,3.04,51.09,-33.54%,5.27%,37.56,3.21,15.50%,52.70%,0.80%,4.98%,82.00%,1.56%,1.00,2.62%,4541,2.70
2018-11-03,00:05:38 ,37.95,-0.52%,"1,758,033",1.60M,4.50B,382.20M,1.29B,1.58,11.83,9.43,1.48,4.12,3.48,-,-,0.58,-7.66%,-16.29%,-24.51%,27.96,0.90%,10.40%,23.50%,-,76.20%,22.90%,118.50M,115.34M,4.20%,3.03,51.09,-33.89%,4.72%,38.15,3.21,15.50%,52.70%,0.80%,4.98%,82.00%,1.56%,1.00,2.64%,4541,2.70
2018-11-05,17:41:54 ,38.10,0.40%,"1,565,387",1.60M,4.46B,382.20M,1.29B,1.58,11.87,9.46,1.48,4.08,3.45,-,-,0.58,-6.41%,-15.49%,-24.12%,29.25,0.90%,10.40%,23.50%,-,76.20%,22.90%,117.00M,114.38M,4.24%,3.03,50.26,-33.62%,5.13%,37.95,3.21,15.50%,52.70%,0.80%,5.04%,82.70%,1.47%,1.00,2.62%,4541,2.60
2018-11-06,17:39:25 ,38.16,0.16%,"1,468,092",1.61M,4.46B,382.20M,1.29B,1.59,11.89,9.48,1.49,4.09,3.45,-,-,0.58,-5.34%,-14.90%,-23.90%,29.80,0.90%,10.40%,23.50%,-,76.20%,22.90%,117.00M,114.38M,4.24%,3.01,50.26,-33.52%,5.30%,38.10,3.21,15.50%,52.70%,0.80%,5.04%,82.70%,1.47%,1.00,2.62%,4541,2.60
2018-11-07,17:45:03 ,38.25,0.24%,"2,133,095",1.62M,4.48B,382.20M,1.29B,1.59,11.92,9.50,1.49,4.10,3.46,-,-,0.58,-4.24%,-14.23%,-23.63%,30.71,0.90%,10.40%,23.50%,-,76.20%,22.90%,117.00M,114.38M,4.24%,3.00,50.26,-33.36%,5.55%,38.16,3.21,15.50%,52.70%,0.80%,5.04%,82.70%,1.47%,1.00,2.61%,4541,2.60
2018-11-08,17:39:13 ,38.02,-0.60%,"1,802,727",1.62M,4.45B,382.20M,1.29B,1.58,11.85,9.44,1.48,4.07,3.44,-,-,0.58,-3.99%,-14.29%,-23.98%,30.21,0.90%,10.40%,23.50%,-,76.20%,22.90%,117.00M,114.38M,4.24%,2.99,50.26,-33.76%,4.91%,38.25,3.21,15.50%,52.70%,0.80%,5.04%,82.70%,1.47%,1.00,2.63%,4541,2.60
2018-11-09,18:25:40 ,37.69,-0.87%,"1,619,316",1.62M,4.41B,382.20M,1.29B,1.57,11.75,9.36,1.47,4.04,3.41,-,-,0.58,-4.15%,-14.58%,-24.54%,28.84,0.90%,10.40%,23.50%,-,76.20%,22.90%,117.00M,114.38M,4.24%,2.98,50.26,-34.34%,4.00%,38.02,3.21,15.50%,52.70%,0.80%,5.04%,82.70%,1.47%,1.00,2.65%,4541,2.60
2018-11-12,20:21:04 ,37.55,-0.37%,"1,416,715",1.63M,4.41B,382.20M,1.29B,1.55,11.70,9.32,1.46,4.36,3.41,-,-,0.58,-3.88%,-14.44%,-24.72%,27.99,1.10%,11.80%,23.50%,-,82.80%,25.90%,117.39M,114.36M,4.67%,3.28,50.26,-34.58%,3.61%,37.69,3.21,15.50%,7.30%,0.70%,5.79%,83.80%,2.92%,1.00,2.66%,4541,2.60
2018-11-13,17:44:11 ,37.70,0.40%,"1,565,520",1.63M,4.43B,382.20M,1.29B,1.55,11.75,9.36,1.47,4.37,3.42,-,-,0.58,-2.82%,-13.60%,-24.32%,30.26,1.10%,11.80%,23.50%,-,82.80%,25.90%,117.39M,114.36M,4.67%,3.29,50.26,-34.32%,4.03%,37.55,3.21,15.50%,7.30%,0.70%,5.79%,83.80%,2.92%,1.00,2.65%,4541,2.60
2018-11-14,17:40:50 ,36.86,-2.23%,"1,968,112",1.63M,4.33B,382.20M,1.29B,1.52,11.49,9.15,1.44,4.28,3.34,-,-,0.58,-4.36%,-15.05%,-25.91%,26.70,1.10%,11.80%,23.50%,-,82.80%,25.90%,117.39M,114.36M,4.67%,3.28,50.26,-35.78%,1.71%,37.70,3.21,15.50%,7.30%,0.70%,5.79%,83.80%,2.92%,1.00,2.71%,4541,2.60
2018-11-15,17:39:45 ,37.51,1.76%,"1,689,188",1.63M,4.40B,382.20M,1.29B,1.55,11.69,9.31,1.46,4.35,3.40,-,-,0.58,-1.88%,-13.02%,-24.50%,32.91,1.10%,11.80%,23.50%,-,82.80%,25.90%,117.39M,114.36M,4.67%,3.28,50.26,-34.65%,3.50%,36.86,3.21,15.50%,7.30%,0.70%,5.79%,83.80%,2.92%,1.00,2.67%,4541,2.60
2018-11-16,17:39:50 ,37.23,-0.75%,"1,307,890",1.64M,4.37B,382.20M,1.29B,1.53,11.60,9.25,1.45,4.32,3.38,-,-,0.58,-1.95%,-13.18%,-24.96%,31.10,1.10%,11.80%,23.50%,-,82.80%,25.90%,117.39M,114.36M,4.67%,3.26,50.26,-35.14%,3.02%,37.51,3.21,15.50%,7.30%,0.70%,5.60%,83.80%,2.92%,1.00,2.69%,4541,2.60
2018-11-19,17:39:43 ,36.92,-0.83%,"1,546,634",1.64M,4.30B,382.20M,1.29B,1.52,11.51,9.29,1.44,4.25,3.32,-,-,0.58,-2.16%,-13.41%,-25.48%,29.67,1.10%,11.80%,23.50%,-,82.80%,25.90%,116.38M,114.35M,4.67%,3.26,49.00,-35.68%,2.16%,37.23,3.21,15.50%,7.30%,0.70%,5.92%,82.70%,1.52%,1.00,2.71%,4541,2.40
2018-11-20,17:39:45 ,35.93,-2.68%,"1,566,905",1.65M,4.18B,382.20M,1.29B,1.48,11.20,9.04,1.40,4.13,3.23,-,-,0.58,-4.35%,-15.23%,-27.40%,25.51,1.10%,11.80%,23.50%,-,82.80%,25.90%,116.38M,114.35M,4.67%,3.23,49.00,-37.40%,-0.58%,36.92,3.21,15.50%,7.30%,0.70%,5.92%,82.70%,1.52%,1.00,2.78%,4541,2.40
