date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:51:21 ,142.90,0.11%,"184,826",687.63K,3.25B,-,612.57M,5.82,36.40,26.81,2.43,-,5.30,-,-,-,0.00%,2.54%,43.25%,81.43,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.28%,134.92%,142.75,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-17,22:46:47 ,142.94,0.03%,"91,424",687.63K,3.25B,-,612.57M,5.82,36.41,26.82,2.43,-,5.30,-,-,-,0.02%,2.19%,42.77%,57.62,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.25%,134.98%,142.90,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-18,23:22:07 ,143.13,0.13%,"231,182",687.11K,3.25B,-,612.57M,5.83,36.46,26.85,2.43,-,5.31,-,-,-,0.15%,2.05%,42.44%,61.88,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.12%,135.30%,142.94,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-19,23:28:50 ,143.10,-0.02%,"139,732",686.86K,3.25B,-,612.57M,5.83,36.45,26.85,2.43,-,5.31,-,-,-,0.12%,1.76%,41.90%,62.78,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.14%,135.25%,143.13,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-22,20:53:07 ,142.94,-0.11%,"197,519",684.34K,3.25B,-,612.57M,5.82,36.41,26.82,2.43,-,5.30,-,-,-,0.01%,1.40%,41.25%,54.69,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.25%,134.14%,143.10,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-23,20:54:21 ,143.11,0.12%,"96,410",685.07K,3.25B,-,612.57M,5.83,36.45,26.85,2.43,-,5.31,-,-,-,0.14%,1.28%,40.92%,60.06,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.13%,134.41%,142.94,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-24,20:52:30 ,143.24,0.09%,"233,176",684.14K,3.25B,-,612.57M,5.83,36.48,26.87,2.43,-,5.31,-,-,-,0.23%,1.15%,40.56%,65.47,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.04%,134.44%,143.11,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-25,20:53:40 ,143.11,-0.09%,"129,595",680.17K,3.25B,-,612.57M,5.83,36.45,26.85,2.43,-,5.31,-,-,-,0.13%,0.84%,39.94%,59.74,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.66,130.33,-0.25%,133.27%,143.24,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-26,20:53:48 ,143.03,-0.06%,"155,739",678.58K,3.25B,-,612.57M,5.82,36.43,26.83,2.43,-,5.30,-,-,-,0.07%,0.56%,39.37%,55.29,-,-,-,-,-,-,22.71M,20.86M,2.17%,0.67,130.33,-0.31%,132.12%,143.11,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
2018-10-29,20:42:59 ,143.22,0.13%,"77,793",676.58K,3.25B,-,612.57M,5.83,36.48,26.87,2.43,-,5.31,-,-,-,0.20%,0.49%,39.09%,60.61,-,-,-,-,-,-,22.71M,20.86M,2.22%,0.69,130.33,-0.17%,132.42%,143.03,3.93,31.30%,81.70%,-,-,-,-,-,-,1936,2.80
