date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:11:56 ,173.73,3.26%,"651,706",937.30K,-,-,-,-,-,-,-,-,-,-,-,-,-4.02%,-5.65%,-5.04%,41.76,-,-,-,-,-,-,-,-,-,3.93,-,-12.63%,6.47%,168.25,-,-,-,-,-,-,-,1.73,1.00%,-,-
2018-10-17,22:05:47 ,173.04,-0.40%,"808,492",937.30K,-,-,-,-,-,-,-,-,-,-,-,-,-4.07%,-5.87%,-5.43%,40.99,-,-,-,-,-,-,-,-,-,3.93,-,-12.98%,6.04%,173.73,-,-,-,-,-,-,-,1.73,1.00%,-,-
2018-10-18,22:42:33 ,168.71,-2.50%,"1,244,770",928.50K,-,-,-,-,-,-,-,-,-,-,-,-,-6.12%,-8.06%,-7.79%,34.86,-,-,-,-,-,-,-,-,-,3.97,-,-15.15%,3.39%,173.04,-,-,-,-,-,-,-,1.73,1.03%,-,-
2018-10-19,22:49:46 ,166.18,-1.50%,"1,019,560",944.58K,-,-,-,-,-,-,-,-,-,-,-,-,-7.00%,-9.22%,-9.15%,32.08,-,-,-,-,-,-,-,-,-,3.90,-,-16.43%,1.84%,168.71,-,-,-,-,-,-,-,1.73,1.04%,-,-
2018-10-22,20:10:02 ,167.20,0.61%,"1,242,070",957.46K,-,-,-,-,-,-,-,-,-,-,-,-,-5.85%,-8.44%,-8.56%,34.32,-,-,-,-,-,-,-,-,-,3.85,-,-15.91%,2.46%,166.18,-,-,-,-,-,-,-,1.70,1.02%,-,-
2018-10-23,20:11:49 ,166.33,-0.52%,"1,427,628",973.11K,-,-,-,-,-,-,-,-,-,-,-,-,-5.76%,-8.75%,-9.01%,32.70,-,-,-,-,-,-,-,-,-,3.79,-,-16.35%,1.93%,167.20,-,-,-,-,-,-,-,1.70,1.02%,-,-
2018-10-24,20:09:58 ,155.42,-6.56%,"3,029,219",990.05K,-,-,-,-,-,-,-,-,-,-,-,-,-11.45%,-14.56%,-14.94%,22.93,-,-,-,-,-,-,-,-,-,3.72,-,-21.84%,-3.48%,166.33,-,-,-,-,-,-,-,1.70,1.09%,-,-
2018-10-25,20:10:56 ,158.89,2.23%,"3,050,122",1.03M,-,-,-,-,-,-,-,-,-,-,-,-,-8.76%,-12.38%,-12.99%,29.58,-,-,-,-,-,-,-,-,-,3.59,-,-20.09%,2.42%,155.42,-,-,-,-,-,-,-,1.70,1.07%,-,-
2018-10-26,20:09:36 ,156.13,-1.74%,"1,303,428",991.64K,-,-,-,-,-,-,-,-,-,-,-,-,-9.69%,-13.69%,-14.46%,27.49,-,-,-,-,-,-,-,-,-,3.72,-,-21.48%,0.64%,158.89,-,-,-,-,-,-,-,1.70,1.09%,-,-
2018-10-29,20:03:52 ,154.50,-1.04%,"1,448,032",974.28K,-,-,-,-,-,-,-,-,-,-,-,-,-9.88%,-14.36%,-15.30%,26.58,-,-,-,-,-,-,-,-,-,4.11,-,-22.30%,0.59%,156.13,-,-,-,-,-,-,-,1.59,1.03%,-,-
2018-10-30,20:04:50 ,160.92,4.16%,"831,925",970.33K,-,-,-,-,-,-,-,-,-,-,-,-,-5.27%,-10.55%,-11.72%,37.60,-,-,-,-,-,-,-,-,-,4.13,-,-19.07%,6.16%,154.50,-,-,-,-,-,-,-,1.59,0.99%,-,-
2018-10-31,20:03:49 ,162.96,1.27%,"1,093,390",970.31K,-,-,-,-,-,-,-,-,-,-,-,-,-3.37%,-9.23%,-10.56%,40.41,-,-,-,-,-,-,-,-,-,4.13,-,-18.04%,7.51%,160.92,-,-,-,-,-,-,-,1.59,0.98%,-,-
2018-11-01,20:06:44 ,170.61,4.69%,"1,170,476",976.59K,-,-,-,-,-,-,-,-,-,-,-,-,1.86%,-4.75%,-6.30%,50.40,-,-,-,-,-,-,-,-,-,4.10,-,-14.20%,12.55%,162.96,-,-,-,-,-,-,-,1.59,0.93%,-,-
2018-11-03,01:34:26 ,168.04,-1.51%,"838,245",975.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.68%,-6.05%,-7.67%,48.24,-,-,-,-,-,-,-,-,-,4.10,-,-15.49%,10.86%,170.61,-,-,-,-,-,-,-,1.59,0.95%,-,-
2018-11-05,19:07:01 ,166.51,-0.91%,"801,743",980.54K,-,-,-,-,-,-,-,-,-,-,-,-,0.07%,-6.73%,-8.47%,46.64,-,-,-,-,-,-,-,-,-,4.08,-,-16.26%,9.85%,168.04,-,-,-,-,-,-,-,1.93,1.16%,-,-
2018-11-06,19:03:19 ,168.45,1.17%,"352,972",985.98K,-,-,-,-,-,-,-,-,-,-,-,-,1.54%,-5.43%,-7.35%,48.75,-,-,-,-,-,-,-,-,-,4.06,-,-15.28%,11.13%,166.51,-,-,-,-,-,-,-,1.93,1.15%,-,-
2018-11-07,19:14:00 ,170.36,1.13%,"609,176",988.07K,-,-,-,-,-,-,-,-,-,-,-,-,2.92%,-4.13%,-6.25%,51.40,-,-,-,-,-,-,-,-,-,4.05,-,-14.32%,12.39%,168.45,-,-,-,-,-,-,-,1.93,1.13%,-,-
2018-11-08,19:03:33 ,169.90,-0.27%,"520,040",946.77K,-,-,-,-,-,-,-,-,-,-,-,-,2.58%,-4.17%,-6.47%,51.17,-,-,-,-,-,-,-,-,-,4.23,-,-14.55%,12.09%,170.36,-,-,-,-,-,-,-,1.93,1.14%,-,-
2018-11-09,19:43:44 ,166.66,-1.91%,"563,408",949.79K,-,-,-,-,-,-,-,-,-,-,-,-,0.53%,-5.78%,-8.22%,46.60,-,-,-,-,-,-,-,-,-,4.21,-,-16.18%,9.95%,169.90,-,-,-,-,-,-,-,1.93,1.16%,-,-
2018-11-12,21:44:41 ,159.22,-4.46%,"736,132",947.08K,-,-,-,-,-,-,-,-,-,-,-,-,-3.88%,-9.75%,-12.27%,38.32,-,-,-,-,-,-,-,-,-,5.23,-,-19.93%,5.04%,166.66,-,-,-,-,-,-,-,2.18,1.37%,-,-
2018-11-13,19:12:37 ,161.41,1.38%,"802,685",941.96K,-,-,-,-,-,-,-,-,-,-,-,-,-2.29%,-8.19%,-11.00%,41.81,-,-,-,-,-,-,-,-,-,5.26,-,-18.82%,6.49%,159.22,-,-,-,-,-,-,-,2.18,1.35%,-,-
2018-11-14,19:05:26 ,162.12,0.44%,"1,229,635",945.67K,-,-,-,-,-,-,-,-,-,-,-,-,-1.49%,-7.46%,-10.55%,42.50,-,-,-,-,-,-,-,-,-,5.24,-,-18.47%,6.95%,161.41,-,-,-,-,-,-,-,2.18,1.34%,-,-
2018-11-15,19:02:39 ,167.60,3.38%,"1,646,690",956.50K,-,-,-,-,-,-,-,-,-,-,-,-,2.18%,-4.02%,-7.47%,49.71,-,-,-,-,-,-,-,-,-,5.18,-,-15.71%,10.57%,162.12,-,-,-,-,-,-,-,2.18,1.30%,-,-
2018-11-16,19:02:57 ,165.58,-1.21%,"1,498,088",966.34K,-,-,-,-,-,-,-,-,-,-,-,-,0.98%,-4.98%,-8.54%,46.82,-,-,-,-,-,-,-,-,-,5.13,-,-16.73%,9.24%,167.60,-,-,-,-,-,-,-,2.18,1.32%,-,-
2018-11-19,19:02:13 ,159.25,-3.82%,"853,659",982.10K,-,-,-,-,-,-,-,-,-,-,-,-,-2.86%,-8.40%,-12.01%,40.15,-,-,-,-,-,-,-,-,-,5.05,-,-19.91%,5.06%,165.58,-,-,-,-,-,-,-,2.17,1.36%,-,-
2018-11-20,19:03:42 ,159.45,0.13%,"1,040,829",984.07K,-,-,-,-,-,-,-,-,-,-,-,-,-2.50%,-7.99%,-11.87%,40.13,-,-,-,-,-,-,-,-,-,5.04,-,-19.81%,5.19%,159.25,-,-,-,-,-,-,-,2.17,1.36%,-,-
2018-11-21,19:03:01 ,160.11,0.41%,"753,297",995.18K,-,-,-,-,-,-,-,-,-,-,-,-,-1.89%,-7.34%,-11.47%,41.36,-,-,-,-,-,-,-,-,-,4.98,-,-19.48%,5.63%,159.45,-,-,-,-,-,-,-,2.17,1.36%,-,-
2018-11-23,19:02:59 ,160.20,0.06%,"496,036",993.70K,-,-,-,-,-,-,-,-,-,-,-,-,-1.98%,-7.04%,-11.39%,41.75,-,-,-,-,-,-,-,-,-,4.99,-,-19.43%,5.69%,160.11,-,-,-,-,-,-,-,2.17,1.35%,-,-
2018-11-26,19:09:15 ,163.10,1.81%,"635,803",999.85K,-,-,-,-,-,-,-,-,-,-,-,-,-0.24%,-5.08%,-9.77%,46.04,-,-,-,-,-,-,-,-,-,4.96,-,-17.97%,7.60%,160.20,-,-,-,-,-,-,-,2.10,1.29%,-,-
2018-11-27,19:01:59 ,163.34,0.15%,"671,027",1.00M,-,-,-,-,-,-,-,-,-,-,-,-,-0.31%,-4.67%,-9.62%,46.06,-,-,-,-,-,-,-,-,-,4.95,-,-17.85%,7.76%,163.10,-,-,-,-,-,-,-,2.10,1.29%,-,-
2018-11-28,19:00:41 ,167.16,2.34%,"560,378",918.40K,-,-,-,-,-,-,-,-,-,-,-,-,1.75%,-2.20%,-7.48%,51.34,-,-,-,-,-,-,-,-,-,5.40,-,-15.93%,10.28%,163.34,-,-,-,-,-,-,-,2.10,1.26%,-,-
2018-11-29,19:02:00 ,165.94,-0.73%,"958,103",918.73K,-,-,-,-,-,-,-,-,-,-,-,-,0.81%,-2.70%,-8.14%,49.32,-,-,-,-,-,-,-,-,-,5.39,-,-16.55%,9.47%,167.16,-,-,-,-,-,-,-,2.10,1.27%,-,-
2018-11-30,19:02:31 ,168.25,1.39%,"613,603",911.41K,-,-,-,-,-,-,-,-,-,-,-,-,2.12%,-1.10%,-6.83%,52.31,-,-,-,-,-,-,-,-,-,5.44,-,-15.38%,11.00%,165.94,-,-,-,-,-,-,-,2.10,1.25%,-,-
2018-12-03,19:11:45 ,172.67,2.63%,"776,193",911.57K,-,-,-,-,-,-,-,-,-,-,-,-,4.88%,1.74%,-4.35%,58.25,-,-,-,-,-,-,-,-,-,5.03,-,-13.16%,13.91%,168.25,-,-,-,-,-,-,-,2.20,1.27%,-,-
2018-12-04,19:03:35 ,164.41,-4.78%,"691,704",918.02K,-,-,-,-,-,-,-,-,-,-,-,-,-0.28%,-2.95%,-8.91%,47.48,-,-,-,-,-,-,-,-,-,4.99,-,-17.32%,8.46%,172.67,-,-,-,-,-,-,-,2.20,1.34%,-,-
2018-12-06,19:02:33 ,163.57,-0.51%,"1,079,810",922.12K,-,-,-,-,-,-,-,-,-,-,-,-,-0.72%,-3.16%,-9.34%,46.62,-,-,-,-,-,-,-,-,-,4.97,-,-17.74%,7.91%,164.41,-,-,-,-,-,-,-,2.20,1.34%,-,-
2018-12-07,19:02:29 ,157.47,-3.73%,"652,005",948.83K,-,-,-,-,-,-,-,-,-,-,-,-,-4.28%,-6.53%,-12.68%,40.09,-,-,-,-,-,-,-,-,-,4.83,-,-20.81%,3.89%,163.57,-,-,-,-,-,-,-,2.20,1.40%,-,-
2018-12-10,19:02:22 ,159.49,1.28%,"537,664",914.73K,-,-,-,-,-,-,-,-,-,-,-,-,-2.67%,-5.04%,-11.50%,43.76,-,-,-,-,-,-,-,-,-,5.01,-,-19.79%,5.22%,157.47,-,-,-,-,-,-,-,1.98,1.24%,-,-
2018-12-11,19:02:02 ,160.51,0.64%,"830,530",918.23K,-,-,-,-,-,-,-,-,-,-,-,-,-1.74%,-4.15%,-10.88%,45.38,-,-,-,-,-,-,-,-,-,4.99,-,-19.28%,5.89%,159.49,-,-,-,-,-,-,-,1.98,1.23%,-,-
2018-12-12,19:05:25 ,162.79,1.42%,"467,953",922.23K,-,-,-,-,-,-,-,-,-,-,-,-,-0.15%,-2.50%,-9.55%,47.92,-,-,-,-,-,-,-,-,-,4.97,-,-18.13%,7.40%,160.51,-,-,-,-,-,-,-,1.98,1.22%,-,-
2018-12-13,19:05:00 ,162.45,-0.21%,"447,045",918.49K,-,-,-,-,-,-,-,-,-,-,-,-,-0.47%,-2.44%,-9.68%,47.77,-,-,-,-,-,-,-,-,-,4.99,-,-18.30%,7.17%,162.79,-,-,-,-,-,-,-,1.98,1.22%,-,-
