date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:53:11 ,87.29,3.02%,"180,306",166.34K,1.48B,10.00M,234.50M,5.08,151.81,47.86,6.07,8.57,6.31,5.00,5.00,0.00,-6.44%,-7.88%,18.95%,38.95,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,16.96M,16.96M,1.30%,1.32,87.67,-13.30%,93.89%,84.73,0.58,12.90%,172.50%,1.20%,-33.32%,96.30%,-0.04%,-,-,1336,2.00
2018-10-17,22:48:42 ,89.93,3.02%,"202,727",166.34K,1.53B,10.00M,234.50M,5.24,156.40,49.30,6.26,8.83,6.50,5.00,5.00,0.00,-3.05%,-5.04%,22.23%,45.49,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,16.96M,16.96M,1.30%,1.32,87.67,-10.68%,99.76%,87.29,0.58,12.90%,172.50%,1.20%,-33.32%,96.30%,-0.04%,-,-,1336,2.00
2018-10-18,23:23:58 ,85.95,-4.43%,"121,734",168.70K,1.46B,10.00M,234.50M,5.01,149.48,47.12,5.98,8.44,6.22,5.00,5.00,0.00,-7.05%,-9.21%,16.49%,38.69,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,16.96M,16.96M,1.30%,1.30,87.67,-14.63%,90.92%,89.93,0.58,12.90%,172.50%,1.20%,-33.32%,96.30%,-0.04%,-,-,1336,2.00
2018-10-19,23:30:40 ,83.94,-2.34%,"118,556",168.26K,1.42B,10.00M,234.50M,4.89,145.98,46.02,5.84,8.24,6.07,5.00,5.00,0.00,-8.64%,-11.23%,13.49%,35.81,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,16.96M,16.96M,1.30%,1.31,87.67,-16.63%,86.45%,85.95,0.58,12.90%,172.50%,1.20%,-31.99%,96.30%,-0.04%,-,-,1336,2.00
2018-10-22,20:55:08 ,85.78,2.19%,"97,956",168.03K,1.53B,10.00M,234.50M,5.00,149.18,47.03,5.97,8.88,6.54,5.00,5.00,0.00,-6.02%,-9.13%,15.71%,40.50,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,17.89M,17.35M,1.27%,1.31,87.67,-14.80%,90.54%,83.94,0.58,12.90%,172.50%,1.20%,-30.84%,96.40%,0.01%,-,-,1336,2.00
2018-10-23,20:56:20 ,85.90,0.14%,"154,175",168.10K,1.54B,10.00M,234.50M,5.00,149.39,47.09,5.98,8.89,6.55,5.00,5.00,0.00,-5.37%,-8.85%,15.60%,40.14,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,17.89M,17.35M,1.27%,1.31,87.67,-14.68%,90.80%,85.78,0.58,12.90%,172.50%,1.20%,-30.84%,96.40%,0.01%,-,-,1336,2.00
2018-10-24,20:54:30 ,81.71,-4.88%,"214,002",168.17K,1.46B,10.00M,234.50M,4.76,142.10,44.80,5.68,8.46,6.23,5.00,5.00,0.00,-9.42%,-13.16%,9.70%,33.84,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,17.89M,17.35M,1.27%,1.31,87.67,-18.84%,81.50%,85.90,0.58,12.90%,172.50%,1.20%,-30.84%,96.40%,0.01%,-,-,1336,2.00
2018-10-25,20:55:41 ,84.16,3.00%,"242,379",169.63K,1.51B,10.00M,234.50M,4.90,146.37,46.14,5.85,8.71,6.42,5.00,5.00,0.00,-6.00%,-10.32%,12.74%,40.03,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,17.89M,17.35M,1.27%,1.30,87.67,-16.41%,86.94%,81.71,0.58,12.90%,172.50%,1.20%,-30.84%,96.40%,0.01%,-,-,1336,2.00
2018-10-26,20:55:47 ,94.76,12.60%,"428,831",171.28K,1.70B,10.00M,234.50M,5.52,164.80,51.95,6.59,9.81,7.23,5.00,5.00,0.00,6.69%,1.13%,26.65%,57.43,0.40%,0.50%,1.90%,66.60%,5.40%,0.60%,17.89M,17.35M,1.27%,1.28,87.67,-5.88%,110.48%,84.16,0.58,12.90%,172.50%,1.20%,-30.84%,96.40%,0.01%,-,-,1336,2.00
2018-10-29,20:44:48 ,95.81,1.11%,"240,177",175.76K,1.49B,10.00M,234.50M,5.58,166.63,47.79,6.67,8.61,6.34,5.00,5.00,0.00,8.15%,2.22%,27.68%,58.59,-0.50%,-0.60%,1.90%,66.60%,4.30%,-0.70%,15.52M,15.52M,1.49%,1.31,87.67,-4.84%,112.82%,94.76,0.58,12.90%,172.50%,1.20%,-33.95%,96.40%,0.07%,-,-,1336,2.00
