date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:41:08 ,37.00,2.15%,"179,401",190.44K,22.96B,596.70M,12.41B,1.49,38.11,9.10,5.60,22.05,1.85,0.90,1.40,0.50,-1.93%,-2.04%,2.03%,48.26,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,620.47M,573.16M,0.28%,8.33,44.00,-6.87%,30.70%,36.22,0.97,5.50%,-69.40%,-,-,2.30%,1.32%,0.97,2.62%,31020,1.00
2018-10-17,20:33:40 ,36.67,-0.89%,"260,082",190.44K,22.75B,596.70M,12.41B,1.47,37.77,9.02,5.55,21.85,1.83,0.90,1.40,0.50,-2.79%,-2.82%,1.08%,46.54,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,620.47M,573.16M,0.28%,8.33,44.00,-7.70%,29.53%,37.00,0.97,5.50%,-69.40%,-,-,2.30%,1.32%,0.97,2.65%,31020,1.00
2018-10-18,21:12:32 ,34.82,-5.04%,"323,266",192.72K,21.60B,596.70M,12.41B,1.40,35.86,8.56,5.27,20.75,1.74,0.90,1.40,0.50,-7.57%,-7.60%,-4.05%,36.03,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,620.47M,573.16M,0.28%,8.23,44.00,-12.36%,23.00%,36.67,0.97,5.50%,-69.40%,-,-,2.30%,1.32%,0.97,2.79%,31020,1.00
2018-10-19,21:20:28 ,35.30,1.38%,"243,314",195.58K,21.90B,596.70M,12.41B,1.42,36.35,8.68,5.35,21.03,1.77,0.90,1.40,0.50,-5.88%,-6.12%,-2.74%,38.52,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,620.47M,573.16M,0.28%,8.11,44.00,-11.15%,24.69%,34.82,0.97,5.50%,-69.40%,-,-,2.30%,1.32%,0.97,2.75%,31020,1.00
2018-10-22,18:34:00 ,35.23,-0.20%,"99,500",196.29K,22.42B,604.70M,12.57B,1.40,35.80,8.81,6.17,21.25,1.78,0.90,1.40,0.50,-5.79%,-6.14%,-2.94%,38.49,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,636.33M,573.16M,0.28%,8.08,43.00,-11.33%,24.44%,35.30,0.98,5.50%,-69.40%,-,-,2.30%,1.53%,0.97,2.75%,31020,1.00
2018-10-23,18:34:40 ,33.78,-4.12%,"184,117",194.43K,21.50B,604.70M,12.57B,1.34,34.33,8.45,5.92,20.37,1.71,0.90,1.40,0.50,-9.35%,-9.89%,-6.94%,31.79,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,636.33M,573.16M,0.28%,8.16,43.00,-14.98%,19.32%,35.23,0.98,5.50%,-69.40%,-,-,2.30%,1.53%,0.97,2.87%,31020,1.00
2018-10-24,18:34:39 ,32.56,-3.61%,"228,499",194.47K,20.72B,604.70M,12.57B,1.29,33.09,8.14,5.71,19.64,1.65,0.90,1.40,0.50,-12.04%,-12.99%,-10.29%,26.74,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,636.33M,573.16M,0.28%,8.16,43.00,-18.05%,15.01%,33.78,0.98,5.50%,-69.40%,-,-,2.30%,1.53%,0.97,2.98%,31020,1.00
2018-10-25,18:34:34 ,33.50,2.89%,"138,694",195.50K,21.32B,604.70M,12.57B,1.33,34.04,8.38,5.87,20.20,1.70,0.90,1.40,0.50,-8.67%,-10.27%,-7.67%,33.85,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,636.33M,573.16M,0.28%,8.12,43.00,-15.68%,18.33%,32.56,0.98,5.50%,-69.40%,-,-,2.30%,1.53%,0.97,2.90%,31020,1.00
2018-10-26,18:32:57 ,32.75,-2.24%,"252,270",194.10K,20.84B,604.70M,12.57B,1.30,33.28,8.19,5.74,19.75,1.66,0.90,1.40,0.50,-10.05%,-12.18%,-9.72%,31.28,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,636.33M,573.16M,0.28%,8.17,43.00,-17.57%,15.68%,33.50,0.98,5.50%,-69.40%,-,-,2.30%,1.53%,0.97,2.96%,31020,1.00
2018-10-29,18:33:07 ,32.36,-1.19%,"131,134",196.47K,20.74B,597.50M,12.42B,1.30,33.29,8.09,5.74,19.89,1.67,0.90,1.40,0.50,-10.40%,-13.09%,-10.76%,30.31,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,640.93M,573.16M,0.27%,8.01,43.00,-18.55%,14.31%,32.75,0.97,5.50%,-69.40%,-,-,2.30%,2.55%,0.97,3.00%,31020,1.00
2018-10-30,18:34:00 ,32.83,1.45%,"122,453",195.90K,21.04B,597.50M,12.42B,1.32,33.78,8.21,5.82,20.18,1.69,0.90,1.40,0.50,-8.28%,-11.65%,-9.42%,33.31,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,640.93M,573.16M,0.27%,8.03,43.00,-17.37%,14.31%,32.36,0.97,5.50%,-69.40%,-,-,2.30%,2.55%,0.97,2.95%,31020,1.00
2018-10-31,18:33:45 ,32.52,-0.94%,"238,138",195.69K,20.84B,597.50M,12.42B,1.31,33.46,8.13,5.77,19.99,1.68,0.90,1.40,0.50,-8.35%,-12.35%,-10.23%,32.68,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,640.93M,573.16M,0.27%,8.04,43.00,-18.15%,12.68%,32.83,0.97,5.50%,-69.40%,-,-,2.30%,2.55%,0.97,2.98%,31020,1.00
2018-11-01,18:34:44 ,33.30,2.40%,"289,672",196.97K,21.34B,597.50M,12.42B,1.34,34.26,8.33,5.91,20.47,1.72,0.90,1.40,0.50,-5.30%,-10.03%,-8.02%,38.58,2.20%,4.10%,3.20%,57.80%,9.00%,4.80%,640.93M,573.16M,0.27%,7.99,43.00,-16.18%,13.42%,32.52,0.97,5.50%,-69.40%,-,-,2.30%,2.55%,0.97,2.91%,31020,1.00
