date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:54:20 ,21.04,2.94%,"342,875",565.25K,1.11B,-36.70M,659.30M,1.01,-,40.15,-,3.15,1.68,3.00,3.70,0.03,-5.81%,-9.74%,-0.83%,39.87,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,52.68M,49.89M,16.02%,14.14,20.38,-19.60%,22.54%,20.44,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.16%,-,-,2300,3.10
2018-10-17,22:49:53 ,21.08,0.19%,"246,465",565.25K,1.11B,-36.70M,659.30M,1.01,-,40.23,-,3.16,1.68,3.00,3.70,0.03,-5.07%,-9.46%,-0.67%,38.43,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,52.68M,49.89M,16.02%,14.14,20.38,-19.45%,22.77%,21.04,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.16%,-,-,2300,3.10
2018-10-18,23:25:06 ,20.32,-3.61%,"289,873",562.77K,1.07B,-36.70M,659.30M,0.97,-,38.78,-,3.05,1.62,3.00,3.70,0.03,-7.91%,-12.62%,-4.26%,31.85,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,52.68M,49.89M,16.02%,14.20,20.38,-22.35%,18.35%,21.08,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.16%,-,-,2300,3.10
2018-10-19,23:31:48 ,20.07,-1.23%,"408,302",562.11K,1.06B,-36.70M,659.30M,0.96,-,38.30,-,3.01,1.60,3.00,3.70,0.03,-8.26%,-13.48%,-5.42%,30.89,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,52.68M,49.89M,16.02%,14.22,20.38,-23.31%,16.89%,20.32,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.16%,-,-,2300,3.10
2018-10-22,20:56:23 ,20.37,1.49%,"245,228",560.90K,1.11B,-36.70M,659.30M,0.97,-,38.87,-,3.15,1.68,3.00,3.70,0.03,-6.25%,-11.94%,-3.98%,34.84,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.41M,49.89M,16.02%,14.25,20.43,-22.16%,18.64%,20.07,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.17%,-,-,2300,3.20
2018-10-23,20:57:38 ,20.47,0.49%,"355,310",557.44K,1.11B,-36.70M,659.30M,0.98,-,39.06,-,3.17,1.69,3.00,3.70,0.03,-5.15%,-11.22%,-3.49%,36.08,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.41M,49.89M,16.02%,14.34,20.43,-21.78%,19.22%,20.37,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.17%,-,-,2300,3.20
2018-10-24,20:55:45 ,19.79,-3.32%,"636,862",557.39K,1.08B,-36.70M,659.30M,0.95,-,37.77,-,3.06,1.63,3.00,3.70,0.03,-7.67%,-13.98%,-6.68%,31.11,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.41M,49.89M,16.02%,14.34,20.43,-24.38%,15.26%,20.47,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.17%,-,-,2300,3.20
2018-10-25,20:56:57 ,20.07,1.41%,"344,576",551.06K,1.09B,-36.70M,659.30M,0.96,-,38.30,-,3.11,1.66,3.00,3.70,0.03,-5.64%,-12.46%,-5.33%,34.30,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.41M,49.89M,16.02%,14.50,20.43,-23.31%,16.89%,19.79,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.17%,-,-,2300,3.20
2018-10-26,20:57:02 ,19.77,-1.49%,"684,330",550.12K,1.08B,-36.70M,659.30M,0.94,-,37.73,-,3.06,1.63,3.00,3.70,0.03,-6.38%,-13.51%,-6.71%,31.76,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.41M,49.89M,16.02%,14.53,20.43,-24.46%,15.14%,20.07,-0.69,0.10%,41.70%,7.17%,0.00%,79.50%,0.17%,-,-,2300,3.20
2018-10-29,20:45:56 ,19.14,-3.19%,"519,022",555.28K,1.04B,-36.70M,659.30M,0.91,-,36.53,-,2.97,1.58,3.00,3.70,0.03,-8.64%,-15.94%,-9.63%,28.21,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.55M,49.89M,15.18%,13.64,20.43,-26.86%,11.47%,19.77,-0.69,0.10%,41.70%,7.17%,0.00%,79.30%,-0.02%,-,-,2300,3.20
2018-10-30,20:47:54 ,20.10,5.02%,"318,324",555.93K,1.10B,-36.70M,659.30M,0.96,-,38.36,-,3.12,1.66,3.00,3.70,0.03,-3.30%,-11.38%,-5.00%,40.08,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.55M,49.89M,15.18%,13.62,20.43,-23.19%,17.06%,19.14,-0.69,0.10%,41.70%,7.17%,0.00%,79.30%,-0.02%,-,-,2300,3.20
2018-10-31,20:46:17 ,19.06,-5.17%,"740,832",552.78K,1.04B,-36.70M,659.30M,0.91,-,36.37,-,2.96,1.58,3.00,3.70,0.03,-7.88%,-15.61%,-9.85%,34.36,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.55M,49.89M,15.18%,13.70,20.43,-27.17%,11.01%,20.10,-0.69,0.10%,41.70%,7.17%,0.00%,79.30%,-0.02%,-,-,2300,3.20
2018-11-01,20:48:39 ,22.85,19.88%,"2,520,144",555.76K,1.25B,-36.70M,659.30M,1.09,-,43.61,-,3.55,1.89,3.00,3.70,0.03,11.38%,1.77%,8.16%,59.68,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.55M,49.89M,15.18%,13.63,20.43,-12.69%,33.08%,19.06,-0.69,0.10%,41.70%,7.17%,0.00%,79.30%,-0.02%,-,-,2300,3.20
2018-11-03,02:17:16 ,24.11,5.51%,"1,134,499",567.39K,1.32B,-36.70M,659.30M,1.15,-,46.01,-,3.74,1.99,3.00,3.70,0.03,17.36%,7.59%,14.13%,64.93,-2.70%,-3.30%,-3.40%,48.80%,-3.20%,-5.60%,54.55M,49.89M,15.18%,13.35,20.43,-7.87%,40.42%,22.85,-0.69,0.10%,41.70%,7.17%,0.00%,79.30%,-0.02%,-,-,2300,3.20
2018-11-05,19:50:17 ,23.50,-2.53%,"720,366",570.19K,1.20B,-36.70M,659.30M,1.12,-,40.31,-,3.40,1.82,3.20,4.00,0.03,13.82%,4.94%,11.21%,61.08,-,-,-3.40%,48.80%,-,-,50.93M,49.89M,15.18%,13.28,21.29,-10.20%,36.87%,24.11,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.67%,-,-,2300,3.20
2018-11-06,19:47:59 ,23.77,1.15%,"352,094",572.89K,1.21B,-36.70M,659.30M,1.13,-,40.77,-,3.44,1.84,3.20,4.00,0.03,14.65%,6.28%,12.46%,62.07,-,-,-3.40%,48.80%,-,-,50.93M,49.89M,15.18%,13.22,21.29,-9.17%,38.44%,23.50,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.67%,-,-,2300,3.20
2018-11-07,19:57:21 ,24.16,1.64%,"513,595",570.67K,1.23B,-36.70M,659.30M,1.15,-,41.44,-,3.49,1.87,3.20,4.00,0.03,15.97%,8.16%,14.28%,63.44,-,-,-3.40%,48.80%,-,-,50.93M,49.89M,15.18%,13.27,21.29,-7.68%,40.71%,23.77,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.67%,-,-,2300,3.20
2018-11-08,20:08:21 ,24.31,0.62%,"337,607",570.94K,1.24B,-36.70M,659.30M,1.16,-,41.70,-,3.51,1.88,3.20,4.00,0.03,15.68%,8.95%,14.94%,63.85,-,-,-3.40%,48.80%,-,-,50.93M,49.89M,15.18%,13.26,21.29,-7.11%,41.58%,24.16,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.67%,-,-,2300,3.20
2018-11-09,20:23:57 ,23.76,-2.26%,"412,195",546.27K,1.21B,-36.70M,659.30M,1.13,-,40.75,-,3.43,1.84,3.20,4.00,0.03,11.89%,6.62%,12.29%,60.02,-,-,-3.40%,48.80%,-,-,50.93M,49.89M,15.18%,13.86,21.29,-9.21%,38.38%,24.31,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.67%,-,-,2300,3.20
2018-11-12,22:27:56 ,23.03,-3.07%,"370,966",531.31K,1.27B,-36.70M,659.30M,1.10,-,39.78,-,3.59,1.92,3.20,4.00,0.03,7.57%,3.51%,8.80%,55.36,-,-,-3.40%,48.80%,-,-,54.98M,49.89M,13.11%,12.31,21.29,-12.00%,34.13%,23.76,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.61%,-,-,2300,3.20
2018-11-13,19:59:44 ,22.79,-1.04%,"408,513",519.16K,1.25B,-36.70M,659.30M,1.08,-,39.36,-,3.56,1.90,3.20,4.00,0.03,5.81%,2.61%,7.64%,54.10,-,-,-3.40%,48.80%,-,-,54.98M,49.89M,13.11%,12.60,21.29,-12.92%,32.73%,23.03,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.61%,-,-,2300,3.20
2018-11-14,19:48:21 ,22.15,-2.81%,"483,325",516.72K,1.22B,-36.70M,659.30M,1.05,-,38.26,-,3.46,1.85,3.20,4.00,0.03,2.42%,-0.15%,4.58%,49.27,-,-,-3.40%,48.80%,-,-,54.98M,49.89M,13.11%,12.66,21.29,-15.36%,29.00%,22.79,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.61%,-,-,2300,3.20
2018-11-15,19:45:18 ,21.96,-0.86%,"1,101,557",514.81K,1.21B,-36.70M,659.30M,1.05,-,37.93,-,3.43,1.83,3.20,4.00,0.03,1.29%,-0.86%,3.67%,47.84,-,-,-3.40%,48.80%,-,-,54.98M,49.89M,13.11%,12.71,21.29,-16.09%,27.90%,22.15,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.61%,-,-,2300,3.20
2018-11-16,19:45:44 ,22.40,2.00%,"548,908",521.12K,1.23B,-36.70M,659.30M,1.07,-,38.69,-,3.49,1.87,3.20,4.00,0.03,2.93%,1.23%,5.73%,50.35,-,-,-3.40%,48.80%,-,-,54.98M,49.89M,13.11%,12.55,21.29,-14.41%,30.46%,21.96,-0.69,3.90%,-,7.17%,0.00%,79.80%,0.61%,-,-,2300,3.20
2018-11-19,19:44:50 ,21.50,-4.02%,"482,736",520.67K,1.16B,-27.30M,665.50M,1.02,-,36.94,-,3.28,1.74,3.20,4.00,0.03,-1.73%,-2.77%,1.43%,45.58,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.74M,49.81M,13.13%,12.56,21.17,-17.84%,25.22%,22.40,-0.51,3.90%,93.40%,7.17%,0.00%,77.70%,-2.01%,-,-,2200,3.20
2018-11-20,19:46:42 ,20.86,-2.98%,"658,957",522.00K,1.12B,-27.30M,665.50M,0.99,-,35.84,-,3.18,1.68,3.20,4.00,0.03,-4.90%,-5.53%,-1.64%,41.75,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.74M,49.81M,13.13%,12.53,21.17,-20.29%,21.49%,21.50,-0.51,3.90%,93.40%,7.17%,0.00%,77.70%,-2.01%,-,-,2200,3.20
2018-11-21,19:45:39 ,21.14,1.34%,"330,203",518.28K,1.14B,-27.30M,665.50M,1.01,-,36.32,-,3.22,1.71,3.20,4.00,0.03,-3.71%,-4.04%,-0.34%,43.48,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.74M,49.81M,13.13%,12.62,21.17,-19.22%,23.12%,20.86,-0.51,3.90%,93.40%,7.17%,0.00%,77.70%,-2.01%,-,-,2200,3.20
2018-11-23,19:44:50 ,21.29,0.71%,"104,660",499.22K,1.14B,-27.30M,665.50M,1.01,-,36.58,-,3.25,1.72,3.20,4.00,0.03,-3.32%,-3.15%,0.35%,44.70,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.74M,49.81M,13.13%,13.10,21.17,-18.65%,24.00%,21.14,-0.51,3.90%,93.40%,7.17%,0.00%,77.70%,-2.01%,-,-,2200,3.20
2018-11-26,19:55:42 ,22.03,3.48%,"331,769",490.15K,1.18B,-27.30M,665.50M,1.05,-,37.85,-,3.34,1.77,3.20,4.00,0.03,-0.24%,0.39%,3.81%,49.76,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.36M,49.81M,13.13%,13.35,21.17,-15.82%,28.31%,21.29,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.32%,-,-,2200,3.20
2018-11-27,19:44:29 ,21.41,-2.81%,"315,456",489.35K,1.14B,-27.30M,665.50M,1.02,-,36.79,-,3.24,1.72,3.20,4.00,0.03,-3.54%,-2.35%,0.83%,45.80,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.36M,49.81M,13.13%,13.37,21.17,-18.19%,24.69%,22.03,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.32%,-,-,2200,3.20
2018-11-28,19:43:02 ,21.84,2.01%,"225,724",487.07K,1.17B,-27.30M,665.50M,1.04,-,37.53,-,3.31,1.75,3.20,4.00,0.03,-2.10%,-0.28%,2.81%,49.18,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.36M,49.81M,13.13%,13.43,21.17,-16.55%,27.20%,21.41,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.32%,-,-,2200,3.20
2018-11-29,19:44:56 ,21.63,-0.96%,"292,546",484.12K,1.15B,-27.30M,665.50M,1.03,-,37.16,-,3.28,1.73,3.20,4.00,0.03,-3.42%,-1.07%,1.79%,48.00,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.36M,49.81M,13.13%,13.51,21.17,-17.35%,25.98%,21.84,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.32%,-,-,2200,3.20
2018-11-30,19:44:59 ,21.39,-1.11%,"242,245",479.60K,1.14B,-27.30M,665.50M,1.02,-,36.75,-,3.24,1.72,3.20,4.00,0.03,-5.04%,-1.97%,0.64%,45.78,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,53.36M,49.81M,13.13%,13.64,21.17,-18.27%,24.58%,21.63,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.32%,-,-,2200,3.20
2018-12-03,19:58:34 ,21.73,1.59%,"315,908",475.20K,1.18B,-27.30M,665.50M,1.03,-,37.34,-,3.35,1.77,3.20,4.00,0.03,-3.21%,-0.16%,2.23%,48.54,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,54.34M,49.81M,12.96%,13.58,21.17,-16.97%,26.56%,21.39,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.28%,-,-,2200,3.20
2018-12-04,19:46:29 ,20.71,-4.69%,"323,050",474.01K,1.13B,-27.30M,665.50M,0.99,-,35.58,-,3.19,1.69,3.20,4.00,0.03,-7.27%,-4.73%,-2.58%,42.05,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,54.34M,49.81M,12.96%,13.61,21.17,-20.86%,20.62%,21.73,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.28%,-,-,2200,3.20
2018-12-06,19:45:12 ,20.75,0.19%,"316,569",465.63K,1.13B,-27.30M,665.50M,0.99,-,35.65,-,3.20,1.69,3.20,4.00,0.03,-6.50%,-4.32%,-2.38%,42.52,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,54.34M,49.81M,12.96%,13.86,21.17,-20.71%,20.85%,20.71,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.28%,-,-,2200,3.20
2018-12-07,19:44:58 ,20.25,-2.41%,"351,338",458.71K,1.10B,-27.30M,665.50M,0.96,-,34.79,-,3.12,1.65,3.20,4.00,0.03,-8.13%,-6.40%,-4.72%,39.47,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,54.34M,49.81M,12.96%,14.07,21.17,-22.62%,17.94%,20.75,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.28%,-,-,2200,3.20
2018-12-10,19:45:02 ,20.14,-0.54%,"491,807",457.52K,1.11B,-27.30M,665.50M,0.96,-,34.60,-,3.15,1.67,3.20,4.00,0.03,-7.81%,-6.66%,-5.21%,39.72,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.07M,49.81M,12.96%,14.11,21.17,-23.04%,17.30%,20.25,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.25%,-,-,2200,3.20
2018-12-11,19:44:42 ,20.30,0.79%,"288,075",458.72K,1.12B,-27.30M,665.50M,0.97,-,34.88,-,3.17,1.68,3.20,4.00,0.03,-6.18%,-5.66%,-4.43%,41.85,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.07M,49.81M,12.96%,14.07,21.17,-22.43%,18.23%,20.14,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.25%,-,-,2200,3.20
2018-12-12,19:48:32 ,20.70,1.97%,"455,648",458.61K,1.14B,-27.30M,665.50M,0.99,-,35.57,-,3.23,1.71,3.20,4.00,0.03,-3.56%,-3.55%,-2.50%,45.09,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.07M,49.81M,12.96%,14.07,21.17,-20.90%,20.56%,20.30,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.25%,-,-,2200,3.20
2018-12-13,19:47:22 ,20.12,-2.80%,"309,666",460.30K,1.11B,-27.30M,665.50M,0.96,-,34.57,-,3.14,1.66,3.20,4.00,0.03,-5.75%,-6.10%,-5.21%,41.14,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.07M,49.81M,12.96%,14.02,21.17,-23.12%,17.18%,20.70,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.25%,-,-,2200,3.20
2018-12-14,19:44:52 ,19.55,-2.83%,"262,770",460.06K,1.08B,-27.30M,665.50M,0.93,-,33.59,-,3.06,1.62,3.20,4.00,0.03,-7.85%,-8.60%,-7.94%,37.27,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.07M,49.81M,12.96%,14.03,21.17,-25.30%,13.86%,20.12,-0.51,3.90%,93.40%,7.17%,0.00%,77.50%,-2.25%,-,-,2200,3.20
2018-12-17,19:43:16 ,18.88,-3.43%,"607,711",459.52K,1.04B,-27.30M,665.50M,0.90,-,32.44,-,2.96,1.57,3.20,4.00,0.03,-10.46%,-11.48%,-11.11%,33.96,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.98,21.17,-27.86%,9.96%,19.55,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-18,19:43:19 ,18.66,-1.17%,"533,656",464.01K,1.03B,-27.30M,665.50M,0.89,-,32.06,-,2.93,1.55,3.20,4.00,0.03,-10.85%,-12.23%,-12.11%,33.82,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.84,21.17,-28.70%,8.68%,18.88,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-19,19:43:03 ,19.35,3.70%,"1,183,731",463.13K,1.07B,-27.30M,665.50M,0.92,-,33.25,-,3.04,1.61,3.20,4.00,0.03,-6.72%,-8.70%,-8.80%,41.11,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.87,21.17,-26.06%,12.70%,18.66,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-20,19:43:23 ,18.96,-2.02%,"675,217",474.71K,1.05B,-27.30M,665.50M,0.90,-,32.58,-,2.98,1.58,3.20,4.00,0.03,-8.12%,-10.33%,-10.56%,38.86,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.53,21.17,-27.55%,10.43%,19.35,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-21,19:42:58 ,17.41,-8.18%,"678,326",477.64K,962.77M,-27.30M,665.50M,0.83,-,29.91,-,2.73,1.45,3.20,4.00,0.03,-15.24%,-17.44%,-17.81%,31.60,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.45,21.17,-33.47%,1.40%,18.96,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-24,19:46:29 ,17.41,0.00%,"291,982",474.53K,962.77M,-27.30M,665.50M,0.83,-,29.91,-,2.73,1.45,3.20,4.00,0.03,-14.47%,-17.20%,-17.71%,32.43,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.54,21.17,-33.47%,1.40%,17.41,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-25,19:44:53 ,17.41,0.00%,"291,982",474.53K,962.77M,-27.30M,665.50M,0.83,-,29.91,-,2.73,1.45,3.20,4.00,0.03,-14.47%,-17.20%,-17.71%,32.43,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.54,21.17,-33.47%,1.40%,17.41,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
2018-12-26,19:44:21 ,18.40,5.69%,"853,014",475.34K,1.02B,-27.30M,665.50M,0.88,-,31.62,-,2.89,1.53,3.20,4.00,0.03,-8.73%,-12.28%,-12.93%,40.89,-2.00%,-2.40%,-3.40%,48.90%,-1.70%,-4.10%,55.30M,49.81M,12.90%,13.51,21.17,-29.69%,7.35%,17.41,-0.51,3.90%,93.40%,7.16%,0.00%,77.50%,-2.24%,-,-,2200,3.20
