date,title,source
Oct-26-18,"Strategic Education, Inc. Launches SEI Ventures to Fund and Support Promising Ed Tech Start-Ups",Business Wire
Oct-29-18,Strayer parent launches seed-stage venture fund. Its first focus: better writing.,American City Business Journals
Oct-29-18,"Report: Developing Opportunities within Strategic Education, Semtech, Immune Pharmaceuticals, American Renal Associates, Thor Industries, and American Woodmark  Future Expectations, Projections Moving into 2018",GlobeNewswire
Nov-05-18,Should Strategic Education Inc (NASDAQ:STRA) Be Part Of Your Portfolio?,Simply Wall St.
Nov-06-18,Strategic Education (STRA) Q3 Earnings: What's in the Cards?,Zacks
Nov-08-18,Edited Transcript of STRA earnings conference call or presentation 8-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-08-18,Strayer Education Inc. (STRA) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-08-18,"Strategic Education, Inc. Reports Third Quarter 2018 Results; Strong Enrollment Growth at Both Strayer University and Capella University",Business Wire
Nov-09-18,Strategic Education's (STRA) Shares Jump on Q3 Earnings Beat,Zacks
Nov-13-18,Edited Transcript of STRA earnings conference call or presentation 8-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-15-18,Strayer University Opens New Campus in El Paso to Serve Working Adults,Business Wire
Nov-16-18,Strategic Education (STRA) Boosts Campus Count in Texas,Zacks
Dec-04-18,Capella University Fellows Program to Foster a New Generation of Leaders in the Twin Cities,Business Wire
Dec-06-18,Capella Universitys Educator Preparation Program Receives Accreditation by Council for the Accreditation of Educator Preparation,Business Wire
Dec-06-18,"Recent Analysis Shows Athenex, National CineMedia, Macy's, Manulife Financial, CBS, and Strategic Education Market Influences  Renewed Outlook, Key Drivers of Growth",GlobeNewswire
Dec-12-18,"Why Fundamental Investors Might Love Strategic Education, Inc. (NASDAQ:STRA)",Simply Wall St.
Jan-10-19,"Strategic Education, Inc. (NASDAQ:STRA) Insiders Have Been Selling",Simply Wall St.
Jan-22-19,"Strategic Education, Inc. Schedules Fourth Quarter 2018 Earnings Conference Call and Announces Date for Annual Meeting",Business Wire
Jan-23-19,New Oriental (EDU) Jumps: Stock Rises 7.8%,Zacks
Feb-07-19,Bright Horizons (BFAM) to Post Q4 Earnings: What's in Store?,Zacks
Feb-08-19,"Adtalem (ATGE) Beats Q2 Earnings Estimates, Lags Revenues",Zacks
Feb-13-19,"Is Strategic Education, Inc.s (NASDAQ:STRA) CEO Paid At A Competitive Rate?",Simply Wall St.
Feb-13-19,"Bright Horizons' (BFAM) Q4 Earnings Beat Estimates, Up Y/Y",Zacks
Feb-22-19,Strategic Education (STRA) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Feb-28-19,Strategic Education (STRA) Q4 Earnings: Enrollments Hold Key,Zacks
Feb-28-19,Will Investments in Content &amp; Technology Aid YY Q4 Earnings?,Zacks
Feb-28-19,"Cable One (CABO) Q4 Earnings Miss Estimates, Revenues Up Y/Y",Zacks
Mar-01-19,Strayer Education Inc. (STRA) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Mar-01-19,Edited Transcript of STRA earnings conference call or presentation 1-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-01-19,"Strategic Education, Inc. Reports Fourth Quarter 2018 Results; Strong Enrollment Growth at Both Strayer University and Capella University",Business Wire
Mar-04-19,"Strategic Education (STRA) Q4 Earnings Beat, Enrollment High",Zacks
Mar-04-19,"Strategic Education, Inc. Publishes 2018 Annual Report and Letter to Shareholders",Business Wire
Mar-04-19,Will Strategic Education Continue to Surge Higher?,Zacks
Mar-05-19,Edited Transcript of STRA earnings conference call or presentation 1-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-07-19,Edited Transcript of STRA earnings conference call or presentation 1-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-08-19,Edited Transcript of STRA earnings conference call or presentation 1-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-13-19,ATGE vs. STRA: Which Stock Is the Better Value Option?,Zacks
Mar-21-19,"Strategic Education Rides on Solid Enrollment, Regulations Ail",Zacks
Mar-27-19,"Strategic Education, Inc. Schedules First Quarter 2019 Earnings Conference Call",Business Wire
Mar-28-19,Strayer University Opens Doors at New Campus in Fort Worth,Business Wire
Apr-01-19,"Report: Developing Opportunities within Procter & Gamble, Texas Instruments, Tactile Systems Technology, Renasant, EMC Insurance Group, and Strategic Education  Future Expectations, Projections Moving into 2019",GlobeNewswire
Apr-10-19,"The Strategic Education (NASDAQ:STRA) Share Price Has Gained 218%, So Why Not Pay It Some Attention?",Simply Wall St.
Apr-18-19,Strategic Initiatives to Aid New Oriental (EDU) Q3 Earnings,Zacks
Apr-24-19,Strategic Education (STRA) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Zacks
Apr-26-19,IBD Stock Of The Day Strategic Education Nears Buy Point With Earnings On Tap,Investor's Business Daily
Apr-29-19,"Heres What Hedge Funds Think About Strategic Education, Inc. (STRA)",Insider Monkey
Apr-30-19,Why Strategic Education (STRA) Could Beat Earnings Estimates Again,Zacks
May-01-19,Edited Transcript of STRA earnings conference call or presentation 1-May-19 1:00pm GMT,Thomson Reuters StreetEvents
May-01-19,Strategic Education (STRA) Surpasses Q1 Earnings and Revenue Estimates,Zacks
May-01-19,Strayer Education Inc. (STRA) Q1 2019 Earnings Call Transcript,Motley Fool
May-01-19,"Strategic Education, Inc. Reports First Quarter 2019 Results; Strong Performance at Both Strayer University and Capella University; Merger Integration and Synergies on Track",Business Wire
