date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:55:00 ,24.87,3.02%,"149,143",222.91K,1.02B,66.60M,2.50B,1.78,15.25,10.29,1.52,30.49,0.41,2.00,2.00,0.00,-0.98%,-8.71%,-8.08%,42.67,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,40.95M,40.02M,2.31%,4.15,29.33,-16.68%,8.13%,24.14,1.63,0.70%,39.60%,1.10%,-12.82%,99.30%,-0.49%,-,-,5500,3.00
2018-10-17,20:47:22 ,24.62,-1.01%,"187,288",222.91K,1.01B,66.60M,2.50B,1.76,15.10,10.19,1.51,30.19,0.40,2.00,2.00,0.00,-1.68%,-9.35%,-8.96%,39.95,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,40.95M,40.02M,2.31%,4.15,29.33,-17.52%,7.04%,24.87,1.63,0.70%,39.60%,1.10%,-12.82%,99.30%,-0.49%,-,-,5500,3.00
2018-10-18,21:26:10 ,23.96,-2.68%,"203,641",218.05K,981.16M,66.60M,2.50B,1.71,14.69,9.91,1.47,29.38,0.39,2.00,2.00,0.00,-4.27%,-11.54%,-11.36%,34.72,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,40.95M,40.02M,2.31%,4.24,29.33,-19.73%,4.17%,24.62,1.63,0.70%,39.60%,1.10%,-12.82%,99.30%,-0.49%,-,-,5500,3.00
2018-10-19,21:34:09 ,23.61,-1.46%,"162,636",217.58K,966.83M,66.60M,2.50B,1.69,14.48,9.77,1.45,28.95,0.39,2.00,2.00,0.00,-5.40%,-12.55%,-12.60%,32.70,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,40.95M,40.02M,2.31%,4.25,29.33,-20.90%,2.65%,23.96,1.63,0.70%,39.60%,1.10%,-12.82%,99.30%,-0.49%,-,-,5500,3.00
2018-10-22,18:47:56 ,24.13,2.20%,"136,072",216.98K,994.88M,66.60M,2.50B,1.72,14.79,9.98,1.48,29.79,0.40,2.00,2.00,0.00,-3.05%,-10.30%,-10.62%,38.74,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.23M,40.02M,2.31%,4.26,28.00,-19.16%,4.91%,23.61,1.63,0.70%,39.60%,1.10%,-12.74%,99.40%,-0.43%,-,-,5500,3.00
2018-10-23,18:48:51 ,23.76,-1.53%,"187,522",216.67K,979.62M,66.60M,2.50B,1.70,14.57,9.83,1.46,29.33,0.39,2.00,2.00,0.00,-4.37%,-11.37%,-11.94%,35.95,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.23M,40.02M,2.31%,4.27,28.00,-20.40%,3.30%,24.13,1.63,0.70%,39.60%,1.10%,-12.74%,99.40%,-0.43%,-,-,5500,3.00
2018-10-24,18:48:41 ,22.82,-3.96%,"152,899",216.76K,940.87M,66.60M,2.50B,1.63,13.99,9.44,1.40,28.17,0.38,2.00,2.00,0.00,-7.87%,-14.59%,-15.35%,30.28,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.23M,40.02M,2.31%,4.27,28.00,-23.55%,-0.78%,23.76,1.63,0.70%,39.60%,1.10%,-12.74%,99.40%,-0.43%,-,-,5500,3.00
2018-10-25,18:48:39 ,23.59,3.37%,"166,095",216.93K,972.62M,66.60M,2.50B,1.69,14.46,9.76,1.45,29.12,0.39,2.00,2.00,0.00,-4.24%,-11.31%,-12.42%,38.39,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.23M,40.02M,2.31%,4.27,28.00,-20.97%,3.56%,22.82,1.63,0.70%,39.60%,1.10%,-12.74%,99.40%,-0.43%,-,-,5500,3.00
2018-10-26,18:46:59 ,23.28,-1.31%,"164,980",216.97K,959.83M,66.60M,2.50B,1.66,14.27,9.63,1.43,28.74,0.38,2.00,2.00,0.00,-5.14%,-12.14%,-13.52%,36.37,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.23M,40.02M,2.31%,4.26,28.00,-22.01%,2.19%,23.59,1.63,0.70%,39.60%,1.10%,-12.74%,99.40%,-0.43%,-,-,5500,3.00
2018-10-29,18:47:02 ,23.07,-0.90%,"183,364",213.78K,949.79M,66.60M,2.50B,1.65,14.14,9.54,1.41,28.44,0.38,2.00,2.00,0.00,-5.46%,-12.58%,-14.22%,34.94,5.80%,11.50%,8.60%,26.00%,3.30%,2.60%,41.17M,40.02M,2.23%,4.17,28.00,-22.71%,1.27%,23.28,1.63,0.70%,39.60%,1.10%,-12.76%,98.90%,0.06%,-,-,5500,3.00
