date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:59:30 ,9.71,0.10%,"171,471",195.80K,13.10M,-,-,15.15,-,-,-,-,-,-,-,-,-0.10%,0.19%,0.19%,50.52,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.61%,1.15%,9.70,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-17,22:55:20 ,9.71,0.00%,0,195.80K,13.10M,-,-,15.15,-,-,-,-,-,-,-,-,-0.10%,0.19%,0.19%,50.52,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.61%,1.15%,9.71,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-18,23:30:16 ,9.69,-0.21%,100,195.80K,13.07M,-,-,15.12,-,-,-,-,-,-,-,-,-0.31%,-0.02%,-0.02%,45.65,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.82%,0.94%,9.71,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-19,23:37:00 ,9.69,0.00%,0,153.18K,13.07M,-,-,15.12,-,-,-,-,-,-,-,-,-0.28%,-0.02%,-0.02%,45.65,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.82%,0.94%,9.69,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-22,21:02:01 ,9.69,0.00%,0,153.18K,13.07M,-,-,15.12,-,-,-,-,-,-,-,-,-0.28%,-0.02%,-0.02%,45.65,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.82%,0.94%,9.69,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-23,21:03:16 ,9.69,0.00%,0,153.18K,13.07M,-,-,15.12,-,-,-,-,-,-,-,-,-0.28%,-0.02%,-0.02%,45.65,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.82%,0.94%,9.69,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-24,21:01:22 ,9.70,0.10%,"1,074",153.18K,13.09M,-,-,15.13,-,-,-,-,-,-,-,-,-0.17%,0.08%,0.08%,48.64,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.72%,1.04%,9.69,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-25,21:02:37 ,9.70,0.00%,18,153.33K,13.09M,-,-,15.13,-,-,-,-,-,-,-,-,-0.15%,0.08%,0.08%,48.82,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.72%,1.04%,9.70,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-26,21:02:40 ,9.70,0.00%,4,153.19K,13.09M,-,-,15.13,-,-,-,-,-,-,-,-,-0.12%,0.08%,0.08%,49.00,-,-,-,-,-,-,1.35M,-,-,0.02,-,-0.72%,1.04%,9.70,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-29,20:51:01 ,9.70,0.00%,"507,237",150.53K,13.09M,-,-,15.13,-,-,-,-,-,-,-,-,-0.10%,0.08%,0.08%,49.66,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.72%,1.04%,9.70,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-30,20:53:09 ,9.72,0.21%,7,167.39K,13.11M,-,-,15.16,-,-,-,-,-,-,-,-,0.08%,0.29%,0.29%,54.26,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.51%,1.25%,9.70,-,-,-,-,-,8.45%,-,-,-,-,-
2018-10-31,20:51:34 ,9.72,0.00%,821,162.92K,13.11M,-,-,15.16,-,-,-,-,-,-,-,-,0.09%,0.28%,0.28%,54.81,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.51%,1.25%,9.72,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-01,20:53:45 ,9.73,0.10%,"474,082",162.94K,13.13M,-,-,15.18,-,-,-,-,-,-,-,-,0.20%,0.38%,0.38%,57.17,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.41%,1.35%,9.72,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-03,02:22:28 ,9.74,0.10%,"200,326",170.72K,13.14M,-,-,15.20,-,-,-,-,-,-,-,-,0.30%,0.48%,0.48%,59.25,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.31%,1.46%,9.73,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-05,19:55:36 ,9.74,0.00%,0,168.83K,13.14M,-,-,15.20,-,-,-,-,-,-,-,-,0.30%,0.47%,0.47%,59.25,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.31%,1.46%,9.74,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-06,19:53:12 ,9.69,-0.51%,"1,343",168.83K,13.07M,-,-,15.12,-,-,-,-,-,-,-,-,-0.22%,-0.05%,-0.05%,46.10,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.82%,0.94%,9.74,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-07,20:02:34 ,9.77,0.83%,"284,265",168.65K,13.18M,-,-,15.24,-,-,-,-,-,-,-,-,0.61%,0.77%,0.78%,62.40,-,-,-,-,-,-,1.35M,-,-,0.03,-,0.00%,1.77%,9.69,-,-,-,-,-,8.45%,-,-,-,-,-
2018-11-08,20:13:26 ,9.72,-0.51%,"5,224",153.89K,13.11M,-,-,15.16,-,-,-,-,-,-,-,-,0.06%,0.23%,0.25%,52.56,-,-,-,-,-,-,1.35M,-,-,0.03,-,-0.51%,1.25%,9.77,-,-,-,-,-,8.45%,-,-,-,-,-
