date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:52:20 ,113.42,0.35%,"178,525",189.95K,4.91B,268.70M,5.36B,1.64,18.22,13.62,-,20.06,0.92,-,-,0.27,-3.99%,-7.00%,-4.06%,36.13,1.50%,7.80%,7.20%,-,7.10%,4.30%,43.32M,42.26M,1.64%,3.65,136.00,-13.71%,17.11%,113.02,6.23,7.60%,25.60%,0.40%,-9.01%,87.50%,0.42%,2.16,1.90%,4600,2.40
2018-10-17,20:44:44 ,113.61,0.17%,"220,204",189.95K,4.92B,268.70M,5.36B,1.64,18.25,13.65,-,20.10,0.92,-,-,0.27,-3.67%,-6.65%,-3.92%,36.47,1.50%,7.80%,7.20%,-,7.10%,4.30%,43.32M,42.26M,1.64%,3.65,136.00,-13.57%,17.31%,113.42,6.23,7.60%,25.60%,0.40%,-9.01%,87.50%,0.42%,2.16,1.90%,4600,2.40
2018-10-18,21:23:32 ,112.89,-0.63%,"212,200",191.73K,4.89B,268.70M,5.36B,1.63,18.13,13.56,-,19.97,0.91,-,-,0.27,-4.18%,-7.06%,-4.56%,34.90,1.50%,7.80%,7.20%,-,7.10%,4.30%,43.32M,42.26M,1.64%,3.62,136.00,-14.11%,15.67%,113.61,6.23,7.60%,25.60%,0.40%,-9.01%,87.50%,0.42%,2.16,1.91%,4600,2.40
2018-10-19,21:31:31 ,113.08,0.17%,"137,346",193.72K,4.90B,268.70M,5.36B,1.63,18.16,13.58,-,20.00,0.91,-,-,0.27,-3.86%,-6.72%,-4.42%,35.79,1.50%,7.80%,7.20%,-,7.10%,4.30%,43.32M,42.26M,1.64%,3.58,136.00,-13.97%,15.71%,112.89,6.23,7.60%,25.60%,0.40%,-9.01%,87.50%,0.42%,2.16,1.91%,4600,2.40
2018-10-22,18:45:14 ,112.43,-0.57%,"120,072",193.96K,4.77B,268.70M,5.36B,1.63,18.06,13.51,-,19.49,0.89,-,-,0.27,-4.21%,-7.08%,-5.00%,34.48,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.46M,42.26M,1.64%,3.58,136.00,-14.46%,14.74%,113.08,6.23,7.60%,25.60%,0.40%,-9.18%,87.50%,0.43%,2.16,1.92%,4600,2.40
2018-10-23,18:46:05 ,111.74,-0.61%,"318,007",194.44K,4.74B,268.70M,5.36B,1.62,17.95,13.42,-,19.37,0.89,-,-,0.27,-4.56%,-7.46%,-5.60%,33.17,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.46M,42.26M,1.64%,3.57,136.00,-14.99%,14.03%,112.43,6.23,7.60%,25.60%,0.40%,-9.18%,87.50%,0.43%,2.16,1.93%,4600,2.40
2018-10-24,18:46:01 ,109.26,-2.22%,"441,927",198.21K,4.64B,268.70M,5.36B,1.58,17.55,13.12,-,18.94,0.87,-,-,0.27,-6.34%,-9.30%,-7.71%,28.56,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.46M,42.26M,1.64%,3.50,136.00,-16.87%,11.50%,111.74,6.23,7.60%,25.60%,0.40%,-9.18%,87.50%,0.43%,2.16,1.98%,4600,2.40
2018-10-25,18:45:55 ,111.32,1.89%,"209,643",202.05K,4.73B,268.70M,5.36B,1.61,17.88,13.37,-,19.30,0.88,-,-,0.27,-4.00%,-7.32%,-5.98%,35.91,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.46M,42.26M,1.64%,3.43,136.00,-15.31%,13.60%,109.26,6.23,7.60%,25.60%,0.40%,-9.18%,87.50%,0.43%,2.16,1.94%,4600,2.40
2018-10-26,18:44:15 ,110.27,-0.94%,"270,225",203.67K,4.68B,268.70M,5.36B,1.59,17.71,13.25,-,19.12,0.87,-,-,0.27,-4.45%,-7.93%,-6.87%,34.22,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.46M,42.26M,1.64%,3.41,136.00,-16.11%,12.53%,111.32,6.23,7.60%,25.60%,0.40%,-9.18%,87.50%,0.43%,2.16,1.96%,4600,2.40
2018-10-29,18:44:19 ,111.51,1.12%,"349,549",206.02K,4.79B,268.70M,5.36B,1.61,17.91,13.39,-,19.55,0.89,-,-,0.27,-2.83%,-6.60%,-5.83%,39.72,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.94M,42.26M,1.54%,3.16,136.00,-15.16%,13.80%,110.27,6.23,7.60%,25.60%,0.40%,-9.08%,87.50%,0.44%,2.16,1.94%,4600,2.40
2018-10-30,18:45:13 ,113.00,1.34%,"179,484",209.84K,4.85B,268.70M,5.36B,1.63,18.15,13.57,-,19.81,0.91,-,-,0.27,-1.20%,-5.05%,-4.57%,44.22,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.94M,42.26M,1.54%,3.10,136.00,-14.03%,15.29%,111.51,6.23,7.60%,25.60%,0.40%,-9.08%,87.50%,0.44%,2.16,1.91%,4600,2.40
2018-10-31,18:44:59 ,111.38,-1.43%,"274,293",211.65K,4.78B,268.70M,5.36B,1.61,17.89,13.38,-,19.53,0.89,-,-,0.27,-2.40%,-6.14%,-5.95%,40.34,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.94M,42.26M,1.54%,3.07,136.00,-15.26%,13.64%,113.00,6.23,7.60%,25.60%,0.40%,-9.08%,87.50%,0.44%,2.16,1.94%,4600,2.40
2018-11-01,18:46:19 ,109.26,-1.90%,"290,882",214.25K,4.69B,268.70M,5.36B,1.58,17.55,13.12,-,19.16,0.88,-,-,0.27,-3.94%,-7.63%,-7.73%,35.69,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.94M,42.26M,1.54%,3.04,136.00,-16.87%,10.90%,111.38,6.23,7.60%,25.60%,0.40%,-9.08%,87.50%,0.44%,2.16,1.98%,4600,2.40
2018-11-03,00:09:26 ,109.00,-0.24%,"480,703",217.15K,4.68B,268.70M,5.36B,1.58,17.51,13.09,-,19.11,0.87,-,-,0.27,-3.79%,-7.54%,-7.94%,35.51,1.50%,7.80%,7.20%,-,7.10%,4.30%,42.94M,42.26M,1.54%,3.00,136.00,-17.07%,8.87%,109.26,6.23,7.60%,25.60%,0.40%,-9.08%,87.50%,0.44%,2.16,1.98%,4600,2.40
2018-11-05,17:46:15 ,110.36,1.25%,"188,639",221.36K,4.71B,360.40M,5.20B,1.57,13.21,13.28,-,39.91,0.91,-,-,0.26,-2.21%,-6.08%,-6.78%,40.55,2.10%,10.80%,7.20%,-,9.50%,6.10%,42.64M,42.30M,1.54%,2.94,136.00,-16.04%,8.99%,109.00,8.35,7.30%,74.00%,0.40%,-9.14%,87.70%,0.69%,2.16,1.96%,4600,2.40
2018-11-06,17:43:04 ,111.76,1.27%,"180,515",221.97K,4.77B,360.40M,5.20B,1.59,13.38,13.44,-,40.42,0.92,-,-,0.26,-0.62%,-4.61%,-5.58%,45.66,2.10%,10.80%,7.20%,-,9.50%,6.10%,42.64M,42.30M,1.54%,2.93,136.00,-14.97%,9.77%,110.36,8.35,7.30%,74.00%,0.40%,-9.14%,87.70%,0.69%,2.16,1.93%,4600,2.40
2018-11-07,17:48:45 ,112.06,0.27%,"131,522",222.24K,4.78B,360.40M,5.20B,1.60,13.42,13.48,-,40.53,0.92,-,-,0.26,0.02%,-4.09%,-5.32%,47.12,2.10%,10.80%,7.20%,-,9.50%,6.10%,42.64M,42.30M,1.54%,2.93,136.00,-14.74%,10.07%,111.76,8.35,7.30%,74.00%,0.40%,-9.14%,87.70%,0.69%,2.16,1.93%,4600,2.40
