date,title,source
Oct-24-18,Turkcell Iletisim Hizmetleri: Third Quarter 2018 Results,Business Wire
Nov-05-18,Turkeys First Live 5G Trial Performed by Turkcell and Samsung,Business Wire
Nov-09-18,Turkeys Search Engine Yaani Has Been Downloaded 7 Million Within a Year,Business Wire
Nov-13-18,Turkcell CEO Kaan Terziolu to Continue Serving the Mobile Community as a Member of the GSMA Board,Business Wire
Nov-16-18,Turkcell Foundation Inaugurated,Business Wire
Nov-27-18,Turkcells Community and Human-Oriented Projects Voiced at United Nations,Business Wire
Dec-12-18,"In Selling It's Fintur Shares, Turkcell is Further Focused on Global Growth Through Digital Services",Business Wire
Dec-20-18,"The Zacks Analyst Blog Highlights: Altice, Mobile TeleSystems, PLDT and Turkcell",Zacks
Jan-03-19,Turkcell to Present at the Citi 2019 Global TMT West Conference,Business Wire
Jan-10-19,Turkcell Presented at the Citi 2019 Global TMT West Conference,Business Wire
Jan-23-19,BiP: Turkeys Most Downloaded Local App,Business Wire
Jan-24-19,Turkcell and DQ Institute Announce the Launch of #DQEveryChild in Turkey During the World Economic Forums Annual Meeting at Davos,Business Wire
Jan-25-19,Turkeys Troubled Economy Still Offers Opportunity,Barrons.com
Jan-29-19,"Turkcell Iletisim Hizmetleri A.S. (TKC) Shares March Higher, Can It Continue?",Zacks
Feb-01-19,New Strong Buy Stocks for February 1st,Zacks
Feb-05-19,Huawei: A Reliable Business Partner of Turkcell,Business Wire
Feb-05-19,Is Turkcell Iletisim Hizmetleri AS (TKC) Stock Undervalued Right Now?,Zacks
Feb-05-19,Moving Average Crossover Alert: Turkcell Iletisim Hizmetleri,Zacks
Feb-07-19,New Strong Buy Stocks for February 7th,Zacks
Feb-15-19,South African's ex-ambassador to Iran arrested in MTN investigation,Reuters
Feb-15-19,South Africa Ex-Ambassador Seized Over MTN Iran License Win,Bloomberg
Feb-20-19,Turkcell Iletisim Hizmetleri: Fourth Quarter and Full Year 2018 Results,Business Wire
Feb-20-19,Top Ranked Value Stocks to Buy for February 20th,Zacks
Feb-21-19,Is Turkcell Iletisim Hizmetleri AS (TKC) Stock Undervalued Right Now?,Zacks
Feb-25-19,Turkeys Search Engine Yaani Introduces Navigation and E-mail Services,Business Wire
Feb-25-19,GSMA Recognizes Turkcell for Outstanding Contribution to the Mobile Industry,Business Wire
Feb-26-19,Digital Operator Turkcell Introduces Blockchain-applied ID Management Solution,Business Wire
Feb-27-19,Moldcells Digital Transformation Journey Started with Lifecell Digital Services,Business Wire
Feb-27-19,Lifecell and ALBtelecom Announce Partnership to Launch Digital Services in Albania,Business Wire
Feb-27-19,Lifecell and CG Corp Global to Establish Nepals Digital Operator,Business Wire
Feb-27-19,Lifecell and Digicel Group Announce Groundbreaking Partnership for Digital Future,Business Wire
Feb-28-19,Turkcells Women Developers of the Future Programme Wins the Glomo Awards at MWC,Business Wire
Mar-01-19,Turkcell Wins GSMA Internet of Things Security Leadership Award,Business Wire
Mar-04-19,Renowned Turkish Dr. Oz is on BiP Now!,Business Wire
Mar-08-19,7 High-Yield Telecom Stocks to Avoid,InvestorPlace
Mar-12-19,Building the Future with Digital Services: Turkcell Celebrates its 25th Year,Business Wire
Apr-08-19,Turkcell to Host Turkeys Largest Technology Summit,Business Wire
Apr-10-19,Turkcell Launches Turkeys Yaani Assistant,Business Wire
Apr-23-19,Hedge Funds Have Never Been This Bullish On Turkcell Iletisim Hizmetleri A.S. (TKC),Insider Monkey
Apr-30-19,Turkcell Iletisim Hizmetleri: First Quarter 2019 Results,Business Wire
May-10-19,Turkcell Signed a Sustainability Linked Loan Agreement of 50 Million Euros,Business Wire
May-30-19,6 High-Yield Telecom Stocks to Avoid,InvestorPlace
