date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:00:08 ,10.11,-0.10%,"76,907",185.04K,58.13M,-,-,-,-,-,-,-,-,-,-,-,-0.09%,0.25%,0.25%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.88%,1.10%,10.12,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,22:55:58 ,10.11,0.00%,"59,927",185.04K,58.13M,-,-,-,-,-,-,-,-,-,-,-,-0.09%,0.25%,0.25%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.88%,1.10%,10.11,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,23:30:53 ,10.12,0.10%,"2,700",181.56K,58.19M,-,-,-,-,-,-,-,-,-,-,-,-0.02%,0.34%,0.34%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.78%,1.20%,10.11,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,23:37:36 ,10.15,0.30%,"6,935",176.73K,58.36M,-,-,-,-,-,-,-,-,-,-,-,0.26%,0.63%,0.63%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.49%,1.50%,10.12,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,21:02:41 ,10.14,-0.10%,"56,331",172.26K,58.31M,-,-,-,-,-,-,-,-,-,-,-,0.13%,0.52%,0.52%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.59%,1.40%,10.15,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,21:03:55 ,10.13,-0.10%,"59,700",169.29K,58.25M,-,-,-,-,-,-,-,-,-,-,-,0.05%,0.40%,0.40%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.69%,1.30%,10.14,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,21:02:01 ,10.14,0.10%,300,166.55K,58.31M,-,-,-,-,-,-,-,-,-,-,-,0.17%,0.49%,0.49%,-,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.59%,1.40%,10.13,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,21:03:16 ,10.17,0.30%,"7,300",162.49K,58.48M,-,-,-,-,-,-,-,-,-,-,-,0.48%,0.78%,0.78%,62.06,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.29%,1.70%,10.14,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,21:03:19 ,10.14,-0.29%,930,158.80K,58.31M,-,-,-,-,-,-,-,-,-,-,-,0.17%,0.46%,0.46%,54.99,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.59%,1.40%,10.17,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,20:51:37 ,10.19,0.49%,600,155.13K,58.59M,-,-,-,-,-,-,-,-,-,-,-,0.67%,0.95%,0.95%,62.75,-,-,-,-,-,-,5.75M,-,-,0.02,-,-0.10%,1.90%,10.14,-,-,-,-,-,-,-,-,-,-,-
