date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:53:04 ,43.36,1.50%,"517,590",650.65K,3.41B,289.20M,3.34B,2.20,11.80,8.96,4.72,23.47,1.02,1.30,2.40,0.69,-10.83%,-10.28%,-8.36%,26.61,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.60M,67.25M,1.85%,1.91,58.57,-22.08%,3.61%,42.72,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.58%,15000,2.10
2018-10-17,20:45:27 ,42.80,-1.29%,"620,850",650.65K,3.36B,289.20M,3.34B,2.18,11.65,8.84,4.66,23.17,1.01,1.30,2.40,0.69,-11.50%,-11.27%,-9.49%,24.97,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.60M,67.25M,1.85%,1.91,58.57,-23.09%,2.27%,43.36,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.62%,15000,2.10
2018-10-18,21:24:16 ,41.17,-3.81%,"1,089,056",649.68K,3.24B,289.20M,3.34B,2.09,11.20,8.51,4.48,22.29,0.97,1.30,2.40,0.69,-14.28%,-14.45%,-12.85%,19.90,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.60M,67.25M,1.85%,1.91,58.57,-26.02%,-1.62%,42.80,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.72%,15000,2.10
2018-10-19,21:32:15 ,40.47,-1.70%,"626,819",659.03K,3.18B,289.20M,3.34B,2.06,11.01,8.36,4.40,21.91,0.95,1.30,2.40,0.69,-14.82%,-15.65%,-14.25%,18.89,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.60M,67.25M,1.85%,1.89,58.57,-27.28%,-0.95%,41.17,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.77%,15000,2.10
2018-10-22,18:45:59 ,40.52,0.12%,"905,509",657.63K,3.18B,289.20M,3.34B,2.06,11.03,8.37,4.41,21.89,0.95,1.30,2.40,0.69,-13.66%,-15.28%,-14.06%,19.68,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.44M,67.25M,1.85%,1.89,58.57,-27.19%,0.90%,40.47,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.76%,15000,2.10
2018-10-23,18:46:51 ,39.62,-2.22%,"634,662",666.09K,3.11B,289.20M,3.34B,2.01,10.78,8.19,4.31,21.40,0.93,1.30,2.40,0.69,-14.58%,-16.89%,-15.87%,17.62,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.44M,67.25M,1.85%,1.87,58.57,-28.81%,-1.34%,40.52,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.83%,15000,2.10
2018-10-24,18:46:46 ,37.42,-5.55%,"1,121,707",669.95K,2.94B,289.20M,3.34B,1.90,10.18,7.73,4.07,20.22,0.88,1.30,2.40,0.69,-18.32%,-21.22%,-20.44%,13.02,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.44M,67.25M,1.85%,1.85,58.57,-32.76%,-3.66%,39.62,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.99%,15000,2.10
2018-10-25,18:46:40 ,37.19,-0.61%,"1,402,635",677.50K,2.92B,289.20M,3.34B,1.89,10.12,7.68,4.05,20.09,0.87,1.30,2.40,0.69,-17.68%,-21.35%,-20.82%,12.90,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.44M,67.25M,1.85%,1.83,58.57,-33.17%,-0.46%,37.42,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,3.01%,15000,2.10
2018-10-26,18:44:59 ,37.56,0.99%,"1,148,991",689.01K,2.95B,289.20M,3.34B,1.91,10.22,7.76,4.09,20.29,0.88,1.30,2.40,0.69,-15.66%,-20.24%,-19.91%,15.70,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,78.44M,67.25M,1.85%,1.80,58.57,-32.51%,1.65%,37.19,3.68,20.70%,11.10%,1.20%,-1.09%,79.60%,-0.61%,1.12,2.98%,15000,2.10
2018-10-29,18:45:05 ,37.25,-0.83%,"909,875",698.56K,2.84B,289.20M,3.34B,1.89,10.14,7.70,4.05,19.59,0.85,1.30,2.40,0.69,-15.18%,-20.57%,-20.45%,15.38,7.30%,17.20%,10.90%,28.80%,11.70%,7.60%,76.35M,67.25M,1.88%,1.81,58.57,-33.06%,2.05%,37.56,3.68,20.70%,11.10%,1.20%,-1.12%,79.70%,-0.61%,1.12,3.01%,15000,2.10
