date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:49:00 ,23.29,2.24%,"635,488",1.47M,1.16B,99.20M,3.31B,-,11.80,8.02,1.42,17.02,0.35,0.50,2.10,-,-1.22%,1.25%,-8.15%,52.26,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,49.84M,49.19M,26.16%,8.76,34.50,-35.20%,77.65%,22.78,1.97,-3.20%,-18.60%,2.00%,-2.38%,-,-0.09%,0.72,3.09%,15400,2.00
2018-10-17,20:41:25 ,22.93,-1.55%,"722,644",1.47M,1.14B,99.20M,3.31B,-,11.62,7.89,1.40,16.76,0.35,0.50,2.10,-,-2.37%,-0.52%,-9.59%,49.25,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,49.84M,49.19M,26.16%,8.76,34.50,-36.20%,72.93%,23.29,1.97,-3.20%,-18.60%,2.00%,-2.38%,-,-0.09%,0.72,3.14%,15400,2.00
2018-10-18,21:20:16 ,22.40,-2.31%,"897,833",1.45M,1.12B,99.20M,3.31B,-,11.35,7.71,1.37,16.37,0.34,0.50,2.10,-,-4.22%,-2.96%,-11.68%,45.45,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,49.84M,49.19M,26.16%,8.86,34.50,-37.67%,67.16%,22.93,1.97,-3.20%,-18.60%,2.00%,-1.77%,-,-0.09%,0.72,3.21%,15400,2.00
2018-10-19,21:28:11 ,21.94,-2.05%,"1,168,492",1.44M,1.09B,99.20M,3.31B,-,11.12,7.55,1.34,16.03,0.33,0.50,2.10,-,-5.60%,-5.02%,-13.51%,42.82,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,49.84M,49.19M,26.16%,8.91,34.50,-38.95%,63.73%,22.40,1.97,-3.20%,-18.60%,2.00%,-1.77%,-,-0.09%,0.72,3.28%,15400,2.00
2018-10-22,18:41:54 ,22.17,1.05%,"886,780",1.45M,1.13B,99.20M,3.31B,-,11.24,7.63,1.35,16.57,0.34,0.50,2.10,-,-3.92%,-4.04%,-12.61%,44.97,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.96M,49.19M,26.16%,8.90,34.50,-38.31%,59.96%,21.94,1.97,-3.20%,-18.60%,2.00%,-1.74%,-,0.21%,0.72,3.25%,15400,2.00
2018-10-23,18:42:40 ,21.75,-1.89%,"923,474",1.44M,1.11B,99.20M,3.31B,-,11.02,7.49,1.33,16.25,0.33,0.50,2.10,-,-5.11%,-5.87%,-14.28%,42.22,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.96M,49.19M,26.16%,8.91,34.50,-39.48%,55.36%,22.17,1.97,-3.20%,-18.60%,2.00%,-1.74%,-,0.21%,0.72,3.31%,15400,2.00
2018-10-24,18:42:41 ,20.96,-3.63%,"1,089,317",1.44M,1.07B,99.20M,3.31B,-,10.62,7.22,1.28,15.66,0.32,0.50,2.10,-,-7.89%,-9.28%,-17.40%,38.41,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.96M,49.19M,26.16%,8.96,34.50,-41.68%,43.86%,21.75,1.97,-3.20%,-18.60%,2.00%,-1.74%,-,0.21%,0.72,3.44%,15400,2.00
2018-10-25,18:42:32 ,21.28,1.53%,"1,118,490",1.43M,1.08B,99.20M,3.31B,-,10.79,7.33,1.30,15.90,0.33,0.50,2.10,-,-5.51%,-7.76%,-16.14%,40.62,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.96M,49.19M,26.16%,9.01,34.50,-40.79%,46.05%,20.96,1.97,-3.20%,-18.60%,2.00%,-1.74%,-,0.21%,0.72,3.38%,15400,2.00
2018-10-26,18:40:55 ,21.21,-0.33%,"847,618",1.43M,1.08B,99.20M,3.31B,-,10.75,7.30,1.30,15.85,0.33,0.50,2.10,-,-4.88%,-8.13%,-16.42%,39.37,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.96M,49.19M,26.16%,9.02,34.50,-40.98%,45.57%,21.28,1.97,-3.20%,-18.60%,2.00%,-1.74%,-,0.21%,0.72,3.39%,15400,2.00
2018-10-29,18:40:58 ,21.02,-0.90%,"1,092,537",1.42M,1.05B,99.20M,3.31B,-,10.65,7.24,1.28,15.44,0.32,0.50,2.10,-,-4.89%,-8.94%,-17.15%,39.08,5.00%,-796.00%,14.00%,42.10%,6.40%,3.00%,50.08M,49.19M,29.56%,10.27,34.50,-41.51%,44.27%,21.21,1.97,-3.20%,-18.60%,2.00%,-1.77%,-,0.46%,0.72,3.43%,15400,2.00
