date,title,source
Oct-19-18,"Report: Developing Opportunities within Spotify Technology SA, Vornado Realty Trust, Merus N.V, Teekay Tankers, PagSeguro Digital, and Liberty Oilfield Services  Future Expectations, Projections Moving into 2018",GlobeNewswire
Oct-23-18,"Global LNG shipping rates double since end-August, slow Asia deliveries",Reuters
Oct-26-18,Teekay Group Announces Third Quarter 2018 Earnings Results Conference Calls,GlobeNewswire
Nov-06-18,4 Shipping Stocks Poised to Trump Estimates in Q3 Earnings,Zacks
Nov-08-18,Teekay Tankers (TNK) Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,Zacks
Nov-14-18,Is a Surprise Coming for Teekay Tankers (TNK) This Earnings Season?,Zacks
Nov-15-18,"Teekay Tankers (TNK) Reports Q3 Loss, Tops Revenue Estimates",Zacks
Nov-15-18,Do Directors Own Teekay Tankers Ltd (NYSE:TNK) Shares?,Simply Wall St.
Nov-15-18,Teekay Tankers: 3Q Earnings Snapshot,Associated Press
Nov-15-18,Teekay Tankers Ltd. Reports Third Quarter 2018 Results,GlobeNewswire
Nov-16-18,Edited Transcript of TNK earnings conference call or presentation 15-Nov-18 6:00pm GMT,Thomson Reuters StreetEvents
Nov-29-18,"Investor Expectations to Drive Momentum within Mammoth Energy Services, Horizon Pharma Public, SBA Communications, International Flavors & Fragrances, WillScot, and Teekay Tankers  Discovering Underlying Factors of Influence",GlobeNewswire
