date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:50:22 ,19.56,3.11%,"58,791",82.73K,517.75M,0.80M,42.10M,1.27,558.86,-,37.26,6.42,12.30,7.50,8.10,0.17,-7.27%,-9.83%,-15.24%,31.20,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,26.47M,24.44M,2.89%,8.54,65.00,-25.49%,5.22%,18.97,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.94%,-,-,131,-
2018-10-17,20:42:47 ,19.75,0.97%,"62,987",82.73K,522.78M,0.80M,42.10M,1.28,564.29,-,37.62,6.49,12.42,7.50,8.10,0.17,-5.79%,-8.65%,-14.40%,34.90,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,26.47M,24.44M,2.89%,8.54,65.00,-24.76%,6.24%,19.56,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.94%,-,-,131,-
2018-10-18,21:21:36 ,19.59,-0.81%,"61,896",81.63K,518.55M,0.80M,42.10M,1.27,559.71,-,37.31,6.43,12.32,7.50,8.10,0.17,-5.95%,-9.15%,-15.07%,33.24,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,26.47M,24.44M,2.89%,8.65,65.00,-25.37%,5.38%,19.75,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.94%,-,-,131,-
2018-10-19,21:29:34 ,19.76,0.87%,"62,965",81.51K,523.05M,0.80M,42.10M,1.28,564.57,-,37.64,6.49,12.42,7.50,8.10,0.17,-4.36%,-8.14%,-14.30%,36.53,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,26.47M,24.44M,2.89%,8.66,65.00,-24.72%,6.29%,19.59,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.94%,-,-,131,-
2018-10-22,18:43:16 ,19.58,-0.91%,"47,675",81.61K,503.99M,0.80M,42.10M,1.27,559.43,-,37.30,6.25,11.97,7.50,8.10,0.17,-4.61%,-8.75%,-15.06%,34.93,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.74M,24.44M,2.89%,8.65,65.00,-25.41%,5.32%,19.76,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.99%,-,-,131,-
2018-10-23,18:44:04 ,19.43,-0.77%,"45,123",81.52K,500.13M,0.80M,42.10M,1.26,555.14,-,37.01,6.21,11.88,7.50,8.10,0.17,-4.78%,-9.22%,-15.68%,33.67,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.74M,24.44M,2.89%,8.66,65.00,-25.98%,4.52%,19.58,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.99%,-,-,131,-
2018-10-24,18:44:04 ,18.86,-2.93%,"39,085",81.60K,485.46M,0.80M,42.10M,1.22,538.86,-,35.92,6.02,11.53,7.50,8.10,0.17,-7.04%,-11.65%,-18.14%,27.99,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.74M,24.44M,2.89%,8.65,65.00,-28.15%,1.45%,19.43,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.99%,-,-,131,-
2018-10-25,18:43:56 ,19.16,1.59%,"61,818",80.65K,493.18M,0.80M,42.10M,1.24,547.43,-,36.50,6.12,11.71,7.50,8.10,0.17,-4.92%,-9.95%,-16.80%,33.20,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.74M,24.44M,2.89%,8.76,65.00,-27.01%,3.07%,18.86,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.99%,-,-,131,-
2018-10-26,18:42:16 ,19.34,0.94%,"90,175",80.42K,497.81M,0.80M,42.10M,1.25,552.57,-,36.84,6.18,11.82,7.50,8.10,0.17,-3.44%,-8.86%,-16.00%,36.72,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.74M,24.44M,2.89%,8.78,65.00,-26.32%,4.03%,19.16,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-1.99%,-,-,131,-
2018-10-29,18:42:20 ,19.25,-0.47%,"57,187",81.03K,495.11M,0.80M,42.10M,1.25,550.00,-,36.67,6.14,11.76,7.50,8.10,0.17,-3.31%,-9.05%,-16.36%,35.71,0.20%,0.20%,-1.40%,16.80%,-6.50%,1.90%,25.72M,24.44M,3.04%,9.16,65.00,-26.67%,3.55%,19.34,0.04,-15.00%,-355.20%,0.70%,0.00%,75.30%,-2.01%,-,-,131,-
