date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:00:25 ,0.91,-2.36%,"99,566",192.36K,63.12M,-2.10M,1.30M,3.14,-,-,-,20.36,48.55,2.30,2.30,0.00,-5.63%,-13.17%,-23.58%,38.60,-7.00%,-13.50%,-12.70%,56.40%,-,-,69.36M,44.75M,4.05%,9.43,1.75,-39.87%,5.80%,0.93,-0.05,2029.30%,-22.70%,0.20%,16.85%,8.40%,0.03%,-,-,4,2.00
2018-10-17,22:56:16 ,0.90,-0.88%,"98,269",192.36K,62.56M,-2.10M,1.30M,3.11,-,-,-,20.18,48.13,2.30,2.30,0.00,-6.51%,-13.47%,-24.11%,37.64,-7.00%,-13.50%,-12.70%,56.40%,-,-,69.36M,44.75M,4.05%,9.43,1.75,-40.40%,4.87%,0.91,-0.05,2029.30%,-22.70%,0.20%,16.85%,8.40%,0.03%,-,-,4,2.00
2018-10-18,23:31:11 ,0.91,0.89%,"298,787",189.51K,63.12M,-2.10M,1.30M,3.14,-,-,-,20.36,48.55,2.30,2.30,0.00,-5.44%,-12.26%,-23.31%,39.74,-7.00%,-13.50%,-12.70%,56.40%,-,-,69.36M,44.75M,4.05%,9.58,1.75,-39.87%,5.80%,0.90,-0.05,2029.30%,-22.70%,0.20%,16.85%,8.40%,0.03%,-,-,4,2.00
2018-10-19,23:37:54 ,0.88,-3.29%,"135,925",191.12K,61.04M,-2.10M,1.30M,3.03,-,-,-,19.69,46.96,2.30,2.30,0.00,-8.02%,-14.70%,-25.69%,35.71,-7.00%,-13.50%,-12.70%,56.40%,-,-,69.36M,44.75M,4.05%,9.49,1.75,-41.85%,2.33%,0.91,-0.05,2029.30%,-22.70%,0.20%,16.85%,8.40%,0.03%,-,-,4,2.00
2018-10-22,21:03:00 ,0.81,-7.40%,"343,264",189.13K,59.09M,-2.10M,1.30M,2.81,-,-,-,19.06,45.45,2.30,2.30,0.00,-13.93%,-20.49%,-31.06%,29.07,-7.00%,-13.50%,-12.70%,56.40%,-,-,72.50M,44.75M,4.05%,9.59,1.75,-46.15%,-5.24%,0.88,-0.05,2029.30%,-22.70%,0.20%,16.00%,8.40%,0.03%,-,-,4,2.00
2018-10-23,21:04:15 ,0.81,-0.61%,"336,360",190.97K,58.73M,-2.10M,1.30M,2.79,-,-,-,18.94,45.17,2.30,2.30,0.00,-13.61%,-20.37%,-31.34%,28.07,-7.00%,-13.50%,-12.70%,56.40%,-,-,72.50M,44.75M,4.05%,9.50,1.75,-46.48%,0.00%,0.81,-0.05,2029.30%,-22.70%,0.20%,16.00%,8.40%,0.03%,-,-,4,2.00
2018-10-24,21:02:21 ,0.78,-3.83%,"230,442",194.28K,56.48M,-2.10M,1.30M,2.69,-,-,-,18.22,43.44,2.30,2.30,0.00,-15.93%,-22.86%,-33.84%,25.77,-7.00%,-13.50%,-12.70%,56.40%,-,-,72.50M,44.75M,4.05%,9.34,1.75,-48.53%,6.96%,0.81,-0.05,2029.30%,-22.70%,0.20%,16.00%,8.40%,0.03%,-,-,4,2.00
2018-10-25,21:03:36 ,0.75,-3.72%,"108,279",195.23K,54.38M,-2.10M,1.30M,2.59,-,-,-,17.54,41.83,2.30,2.30,0.00,-18.22%,-25.15%,-36.18%,23.30,-7.00%,-13.50%,-12.70%,56.40%,-,-,72.50M,44.75M,4.05%,9.29,1.75,-50.44%,2.98%,0.78,-0.05,2029.30%,-22.70%,0.20%,16.00%,8.40%,0.03%,-,-,4,2.00
2018-10-26,21:03:38 ,0.76,1.33%,"65,419",194.60K,55.10M,-2.10M,1.30M,2.62,-,-,-,17.77,42.38,2.30,2.30,0.00,-16.03%,-23.62%,-35.19%,24.68,-7.00%,-13.50%,-12.70%,56.40%,-,-,72.50M,44.75M,4.05%,9.32,1.75,-49.78%,4.35%,0.75,-0.05,2029.30%,-22.70%,0.20%,16.00%,8.40%,0.03%,-,-,4,2.00
2018-10-29,20:51:54 ,0.79,3.95%,"29,398",178.58K,54.57M,-2.10M,1.30M,2.72,-,-,-,17.60,41.98,2.30,2.30,0.00,-11.74%,-19.96%,-32.49%,31.62,-7.00%,-13.50%,-12.70%,56.40%,-,-,69.08M,44.75M,4.13%,10.34,1.75,-47.80%,8.47%,0.76,-0.05,2029.30%,-22.70%,0.20%,16.93%,8.50%,1.07%,-,-,4,2.00
