date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:59:09 ,24.12,1.94%,"1,224,929",1.54M,4.34B,-,1.49B,1.92,95.34,9.80,-,-,2.91,-,-,-,-0.01%,-7.82%,-18.61%,47.82,-,-,-,-,-,-,180.10M,149.48M,1.16%,1.13,27.78,-38.07%,22.44%,23.66,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-17,22:54:56 ,24.21,0.37%,"593,951",1.54M,4.36B,-,1.49B,1.92,95.69,9.84,-,-,2.92,-,-,-,0.43%,-6.88%,-18.31%,48.70,-,-,-,-,-,-,180.10M,149.48M,1.16%,1.13,27.78,-37.84%,22.89%,24.12,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-18,23:29:54 ,23.60,-2.52%,"1,476,270",1.53M,4.25B,-,1.49B,1.88,93.28,9.59,-,-,2.84,-,-,-,-2.02%,-8.68%,-20.38%,43.64,-,-,-,-,-,-,180.10M,149.48M,1.16%,1.14,27.78,-39.41%,19.80%,24.21,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-19,23:36:38 ,23.25,-1.48%,"1,111,065",1.54M,4.19B,-,1.49B,1.85,91.90,9.45,-,-,2.80,-,-,-,-3.05%,-9.45%,-21.57%,40.94,-,-,-,-,-,-,180.10M,149.48M,1.16%,1.12,27.78,-40.31%,18.02%,23.60,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-22,21:01:37 ,22.45,-3.44%,"887,642",1.57M,6.11B,-,1.49B,1.78,88.74,9.13,-,-,4.09,-,-,-,-6.03%,-11.98%,-24.26%,36.25,-,-,-,-,-,-,271.99M,139.21M,1.25%,1.11,27.78,-42.36%,13.96%,23.25,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-23,21:02:52 ,21.62,-3.70%,"2,081,514",1.56M,5.88B,-,1.49B,1.72,85.45,8.79,-,-,3.94,-,-,-,-9.03%,-14.60%,-27.05%,31.17,-,-,-,-,-,-,271.99M,139.21M,1.25%,1.11,27.78,-44.49%,9.75%,22.45,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-24,21:00:58 ,20.76,-3.98%,"2,720,574",1.58M,5.65B,-,1.49B,1.65,82.06,8.44,-,-,3.78,-,-,-,-11.99%,-17.56%,-29.93%,26.41,-,-,-,-,-,-,271.99M,139.21M,1.25%,1.10,27.78,-46.70%,5.38%,21.62,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-25,21:02:13 ,21.11,1.69%,"1,624,378",1.62M,5.74B,-,1.49B,1.68,83.44,8.58,-,-,3.84,-,-,-,-9.71%,-15.68%,-28.71%,29.77,-,-,-,-,-,-,271.99M,139.21M,1.25%,1.07,27.78,-45.80%,7.16%,20.76,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-26,21:02:16 ,20.58,-2.51%,"2,698,482",1.62M,5.60B,-,1.49B,1.64,81.34,8.37,-,-,3.75,-,-,-,-11.13%,-17.43%,-30.48%,27.21,-,-,-,-,-,-,271.99M,139.21M,1.25%,1.07,27.78,-47.16%,4.20%,21.11,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
2018-10-29,20:50:39 ,19.84,-3.60%,"1,406,005",1.65M,5.40B,-,1.49B,1.58,78.42,8.07,-,-,3.61,-,-,-,-13.52%,-19.92%,-32.95%,24.92,-,-,-,-,-,-,271.99M,139.21M,1.54%,1.30,27.78,-49.06%,0.20%,20.58,0.25,34.80%,-,6.35%,-,28.20%,-,-,-,2110,2.00
