date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:53:24 ,57.39,2.37%,"458,528",450.52K,5.97B,257.50M,2.57B,9.33,24.30,18.95,1.25,23.81,2.33,1.00,1.70,0.48,-3.05%,-4.80%,-6.47%,41.85,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.11M,103.42M,1.80%,4.13,64.00,-15.37%,5.94%,56.06,2.36,4.40%,7.10%,0.40%,-23.84%,78.20%,0.02%,0.80,1.39%,6853,3.00
2018-10-17,20:45:47 ,57.50,0.19%,"504,504",450.52K,5.99B,257.50M,2.57B,9.35,24.34,18.99,1.25,23.86,2.33,1.00,1.70,0.48,-2.44%,-4.53%,-6.23%,42.69,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.11M,103.42M,1.80%,4.13,64.00,-15.20%,6.15%,57.39,2.36,4.40%,7.10%,0.40%,-23.84%,78.20%,0.02%,0.80,1.39%,6853,3.00
2018-10-18,21:24:35 ,56.43,-1.86%,"778,751",451.29K,5.87B,257.50M,2.57B,9.18,23.89,18.64,1.23,23.42,2.29,1.00,1.70,0.48,-3.86%,-6.22%,-7.91%,36.41,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.11M,103.42M,1.80%,4.13,64.00,-16.78%,4.17%,57.50,2.36,4.40%,7.10%,0.40%,-23.84%,78.20%,0.02%,0.80,1.42%,6853,3.00
2018-10-19,21:32:35 ,56.93,0.89%,"545,320",457.03K,5.93B,257.50M,2.57B,9.26,24.10,18.80,1.24,23.62,2.31,1.00,1.70,0.48,-2.51%,-5.28%,-7.03%,40.40,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.11M,103.42M,1.80%,4.07,64.00,-16.04%,5.10%,56.43,2.36,4.40%,7.10%,0.40%,-23.84%,78.20%,0.02%,0.80,1.41%,6853,3.00
2018-10-22,18:46:19 ,55.96,-1.70%,"839,676",460.62K,5.85B,269.10M,2.57B,9.10,22.68,18.48,1.16,23.33,2.28,1.00,1.70,0.48,-3.74%,-6.82%,-8.55%,37.55,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.60M,103.42M,1.80%,4.04,64.00,-17.48%,3.30%,56.93,2.47,4.40%,4.80%,0.40%,-23.75%,77.80%,-0.50%,0.80,1.43%,6853,3.00
2018-10-23,18:47:12 ,55.02,-1.68%,"574,255",468.40K,5.76B,269.10M,2.57B,8.95,22.30,18.17,1.14,22.94,2.24,1.00,1.70,0.48,-4.88%,-8.28%,-10.01%,33.65,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.60M,103.42M,1.80%,3.98,64.00,-18.86%,1.57%,55.96,2.47,4.40%,4.80%,0.40%,-23.75%,77.80%,-0.50%,0.80,1.45%,6853,3.00
2018-10-24,18:47:05 ,54.50,-0.95%,"631,230",469.95K,5.70B,269.10M,2.57B,8.86,22.09,18.00,1.13,22.72,2.22,1.00,1.70,0.48,-5.31%,-9.02%,-10.78%,30.60,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.60M,103.42M,1.80%,3.96,64.00,-19.63%,1.30%,55.02,2.47,4.40%,4.80%,0.40%,-23.75%,77.80%,-0.50%,0.80,1.47%,6853,3.00
2018-10-25,18:47:00 ,55.31,1.49%,"434,928",470.12K,5.79B,269.10M,2.57B,8.99,22.42,18.27,1.15,23.06,2.25,1.00,1.70,0.48,-3.45%,-7.52%,-9.36%,36.92,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.60M,103.42M,1.80%,3.96,64.00,-18.43%,2.80%,54.50,2.47,4.40%,4.80%,0.40%,-23.75%,77.80%,-0.50%,0.80,1.45%,6853,3.00
2018-10-26,18:45:20 ,54.86,-0.81%,"366,265",469.72K,5.74B,269.10M,2.57B,8.92,22.24,18.12,1.14,22.87,2.23,1.00,1.70,0.48,-3.79%,-8.14%,-10.02%,35.48,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,104.60M,103.42M,1.80%,3.96,64.00,-19.10%,1.97%,55.31,2.47,4.40%,4.80%,0.40%,-23.75%,77.80%,-0.50%,0.80,1.46%,6853,3.00
2018-10-29,18:45:25 ,54.82,-0.07%,"425,757",471.22K,5.83B,269.10M,2.57B,8.91,22.22,18.10,1.14,23.25,2.27,1.00,1.70,0.48,-3.43%,-8.06%,-9.99%,35.51,17.30%,43.20%,28.40%,36.80%,14.70%,10.40%,106.40M,103.42M,2.29%,5.02,64.00,-19.16%,1.89%,54.86,2.47,4.40%,4.80%,0.40%,-23.44%,77.60%,-0.73%,0.80,1.46%,6853,3.00
