date,title,source
Oct-18-18,Gulfport Energy Corporation Provides Third Quarter 2018 Production and Pricing,GlobeNewswire
Oct-22-18,"Analysis: Positioning to Benefit within Mesa Laboratories, World Acceptance, Mammoth Energy Services, Yintech Investment, Stamps, and Vera Bradley  Research Highlights Growth, Revenue, and Consolidated Results",GlobeNewswire
Oct-22-18,Mammoth Energy Announces Amended and Restated 5-Year Credit Facility; Timing of 3Q Earnings Release,GlobeNewswire
Oct-30-18,Mammoth Declares Quarterly Cash Dividend,GlobeNewswire
Oct-31-18,"Mammoth Energy Services, Inc. Announces Third Quarter 2018 Operational and Financial Results",GlobeNewswire
Nov-01-18,Gulfport Energy Corporation Reports Third Quarter 2018 Results,GlobeNewswire
Nov-01-18,Gulfport Energy Corporation Appoints Donnie Moore as Interim Chief Executive Officer,GlobeNewswire
Nov-01-18,Gulfport Energy Corporation Schedules Third Quarter 2018 Financial and Operational Results Conference Call,GlobeNewswire
Nov-09-18,Edited Transcript of TUSK earnings conference call or presentation 1-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-29-18,"Investor Expectations to Drive Momentum within Mammoth Energy Services, Horizon Pharma Public, SBA Communications, International Flavors & Fragrances, WillScot, and Teekay Tankers  Discovering Underlying Factors of Influence",GlobeNewswire
Dec-18-18,"Boasting A 34% Return On Equity, Is Mammoth Energy Services, Inc. (NASDAQ:TUSK) A Top Quality Stock?",Simply Wall St.
Dec-18-18,"Gulfport Energy Corporation Appoints David M. Wood President, Chief Executive Officer and Member of the Board of Directors",GlobeNewswire
Jan-02-19,Mammoth Expands Logistics / Transmission Offering via ARS/Brim Helicopter Acquisition,GlobeNewswire
Jan-24-19,"How Does Mammoth Energy Services, Inc. (NASDAQ:TUSK) Affect Your Portfolio Volatility?",Simply Wall St.
Jan-28-19,Mammoth Declares Quarterly Cash Dividend,GlobeNewswire
Feb-13-19,"Earnings Preview: Mammoth Energy Services, Inc. (TUSK) Q4 Earnings Expected to Decline",Zacks
Feb-13-19,Gulfport Energy Corporation Schedules Fourth Quarter and Full Year 2018 Financial and Operational Results Conference Call,GlobeNewswire
Feb-15-19,"Research Report Identifies NRG Energy, Hudson, LyondellBasell Industries N.V, Bitauto, Mammoth Energy Services, and Teledyne Technologies with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Feb-25-19,"Have Insiders Been Selling Mammoth Energy Services, Inc. (NASDAQ:TUSK) Shares This Year?",Simply Wall St.
Feb-27-19,Gulfport Energy Corporation Reports Fourth Quarter and Year End 2018 Results,GlobeNewswire
Mar-08-19,Mammoth Energy Announces Timing of 4Q and Full Year Earnings Release,GlobeNewswire
Mar-14-19,"Mammoth Energy Services, Inc. Announces Fourth Quarter and Full Year 2018 Operational and Financial Results",GlobeNewswire
Mar-15-19,"Mammoth Energy Services, Inc. (TUSK) Q4 2018 Earnings Conference Call Transcript",Motley Fool
Mar-15-19,"Mammoth Energy Services, Inc. to Host Earnings Call",ACCESSWIRE
Mar-18-19,Edited Transcript of TUSK earnings conference call or presentation 15-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-22-19,Edited Transcript of TUSK earnings conference call or presentation 15-Mar-19 3:00pm GMT,Thomson Reuters StreetEvents
Mar-27-19,"Charles Davidsons and Joseph Jacobs Wexford Capitals Return, AUM, and Holdings",Insider Monkey
Apr-17-19,Gulfport Energy Corporation Provides First Quarter 2019 Production and Pricing and Schedules First Quarter 2019 Financial and Operational Results Conference Call,GlobeNewswire
Apr-18-19,Volatility 101: Should Mammoth Energy Services (NASDAQ:TUSK) Shares Have Dropped 48%?,Simply Wall St.
Apr-24-19,Brokers Currently Love These 5 Stocks: Do You?,Zacks
Apr-24-19,"Earnings Preview: Mammoth Energy Services, Inc. (TUSK) Q1 Earnings Expected to Decline",Zacks
Apr-25-19,"Zacks.com featured expert Kevin Matras highlights: Mammoth Energy Services, Ashford Hospitality Trust, Diebold Nixdorf, Brookdale Senior Living and AMC Entertainment",Zacks
Apr-26-19,Mammoth Energy Announces Timing of 1Q 2019 Earnings Release and Upcoming Conference Appearances,GlobeNewswire
Apr-30-19,Mammoth Declares Quarterly Cash Dividend,GlobeNewswire
May-01-19,"Mammoth Energy Services, Inc. (TUSK) Q1 Earnings Match Estimates",Zacks
May-03-19,Edited Transcript of TUSK earnings conference call or presentation 2-May-19 3:00pm GMT,Thomson Reuters StreetEvents
May-03-19,Mammoth Energy Partners LP (TUSK) Q1 2019 Earnings Call Transcript,Motley Fool
May-08-19,Edited Transcript of TUSK earnings conference call or presentation 2-May-19 3:00pm GMT,Thomson Reuters StreetEvents
May-20-19,Gulfport Energy Corporation Selects Patrick K. Craine as General Counsel and Corporate Secretary,GlobeNewswire
May-24-19,Mammoth Energy Investigated by Block & Leviton LLP For Violations of Federal Securities Laws,GlobeNewswire
