date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:59:20 ,5.97,7.57%,"2,267,735",2.52M,1.44B,-93.70M,16.10M,16.58,-,-,-,9.31,89.30,7.80,7.90,0.94,-2.61%,-0.03%,0.44%,51.00,-62.60%,-80.70%,-59.80%,85.20%,-,-,240.83M,190.60M,34.38%,26.04,15.86,-22.06%,37.56%,5.55,-0.44,-11.60%,-58.50%,8.60%,-8.19%,67.10%,0.02%,-,-,173,1.60
2018-10-17,22:55:08 ,5.81,-2.68%,"1,368,982",2.52M,1.40B,-93.70M,16.10M,16.14,-,-,-,9.06,86.91,7.80,7.90,0.94,-5.10%,-2.94%,-2.25%,47.78,-62.60%,-80.70%,-59.80%,85.20%,-,-,240.83M,190.60M,34.38%,26.04,15.86,-24.15%,33.87%,5.97,-0.44,-11.60%,-58.50%,8.60%,-8.19%,67.10%,0.02%,-,-,173,1.60
2018-10-18,23:30:06 ,5.56,-4.30%,"2,874,322",2.52M,1.34B,-93.70M,16.10M,15.44,-,-,-,8.67,83.17,7.80,7.90,0.94,-8.88%,-7.26%,-6.42%,43.22,-62.60%,-80.70%,-59.80%,85.20%,-,-,240.83M,190.60M,34.38%,25.97,15.86,-27.42%,28.11%,5.81,-0.44,-11.60%,-58.50%,8.60%,-8.19%,67.10%,0.02%,-,-,173,1.60
2018-10-19,23:36:49 ,5.48,-1.44%,"2,928,811",2.55M,1.32B,-93.70M,16.10M,15.22,-,-,-,8.55,81.97,7.80,7.90,0.94,-9.31%,-8.70%,-7.70%,41.82,-62.60%,-80.70%,-59.80%,85.20%,-,-,240.83M,190.60M,34.38%,25.66,15.86,-28.46%,26.27%,5.56,-0.44,-11.60%,-58.50%,8.60%,-8.19%,67.10%,0.02%,-,-,173,1.60
2018-10-22,21:01:49 ,5.37,-2.01%,"1,622,606",2.57M,1.27B,-93.70M,16.10M,14.92,-,-,-,8.24,79.02,7.80,7.90,0.94,-10.28%,-10.62%,-9.48%,40.03,-62.60%,-80.70%,-59.80%,85.20%,-,-,236.92M,190.60M,34.38%,25.46,15.86,-29.90%,23.73%,5.48,-0.44,-11.60%,-58.50%,8.60%,-9.06%,67.10%,0.00%,-,-,173,1.60
2018-10-23,21:03:04 ,5.38,0.19%,"1,886,242",2.58M,1.27B,-93.70M,16.10M,14.94,-,-,-,8.26,79.17,7.80,7.90,0.94,-9.11%,-10.49%,-9.24%,39.08,-62.60%,-80.70%,-59.80%,85.20%,-,-,236.92M,190.60M,34.38%,25.42,15.86,-29.77%,23.96%,5.37,-0.44,-11.60%,-58.50%,8.60%,-9.06%,67.10%,0.00%,-,-,173,1.60
2018-10-24,21:01:10 ,5.19,-3.53%,"2,343,209",2.59M,1.23B,-93.70M,16.10M,14.42,-,-,-,7.96,76.37,7.80,7.90,0.94,-11.23%,-13.71%,-12.37%,35.60,-62.60%,-80.70%,-59.80%,85.20%,-,-,236.92M,190.60M,34.38%,25.32,15.86,-32.25%,19.59%,5.38,-0.44,-11.60%,-58.50%,8.60%,-9.06%,67.10%,0.00%,-,-,173,1.60
2018-10-25,21:02:26 ,5.49,5.78%,"3,091,128",2.60M,1.30B,-93.70M,16.10M,15.25,-,-,-,8.42,80.79,7.80,7.90,0.94,-4.86%,-8.63%,-7.21%,43.29,-62.60%,-80.70%,-59.80%,85.20%,-,-,236.92M,190.60M,34.38%,25.24,15.86,-28.33%,26.50%,5.19,-0.44,-11.60%,-58.50%,8.60%,-10.06%,67.10%,0.00%,-,-,173,1.60
2018-10-26,21:02:28 ,5.09,-7.29%,"3,842,517",2.62M,1.21B,-93.70M,16.10M,14.14,-,-,-,7.81,74.90,7.80,7.90,0.94,-10.92%,-15.30%,-13.91%,36.64,-62.60%,-80.70%,-59.80%,85.20%,-,-,236.92M,190.60M,34.38%,25.02,15.86,-33.55%,17.28%,5.49,-0.44,-11.60%,-58.50%,8.60%,-10.06%,67.10%,0.00%,-,-,173,1.60
2018-10-29,20:50:50 ,4.76,-6.48%,"12,118,566",2.65M,1.20B,-93.70M,16.10M,13.22,-,-,-,7.76,74.46,7.80,7.90,0.94,-15.61%,-20.67%,-19.41%,31.90,-62.60%,-80.70%,-59.80%,85.20%,-,-,251.85M,190.60M,35.01%,25.14,15.86,-37.86%,9.68%,5.09,-0.44,-11.60%,-58.50%,8.60%,-10.21%,67.10%,0.03%,-,-,173,1.60
2018-10-30,20:52:59 ,4.94,3.78%,"6,522,002",2.81M,1.24B,-93.70M,16.10M,13.72,-,-,-,8.06,77.28,7.80,7.90,0.94,-11.54%,-17.50%,-16.26%,36.34,-62.60%,-80.70%,-59.80%,85.20%,-,-,251.85M,190.60M,35.01%,23.78,15.86,-35.51%,13.82%,4.76,-0.44,-11.60%,-58.50%,8.60%,-10.21%,67.10%,0.03%,-,-,173,1.60
2018-10-31,20:51:24 ,4.89,-1.01%,"3,393,359",2.84M,1.23B,-93.70M,16.10M,13.58,-,-,-,7.98,76.49,7.80,7.90,0.94,-11.68%,-18.19%,-17.02%,35.93,-62.60%,-80.70%,-59.80%,85.20%,-,-,251.85M,190.60M,35.01%,23.49,15.86,-36.16%,13.72%,4.94,-0.44,-11.60%,-58.50%,8.60%,-10.21%,67.10%,0.03%,-,-,173,1.60
2018-11-01,20:53:34 ,4.97,1.64%,"3,471,632",2.82M,1.25B,-93.70M,16.10M,13.81,-,-,-,8.11,77.74,7.80,7.90,0.94,-9.30%,-16.67%,-15.57%,38.15,-62.60%,-80.70%,-59.80%,85.20%,-,-,251.85M,190.60M,35.01%,23.70,15.86,-35.12%,15.58%,4.89,-0.44,-11.60%,-58.50%,8.60%,-10.21%,67.10%,0.03%,-,-,173,1.60
2018-11-03,02:22:18 ,5.00,0.60%,"2,357,158",2.82M,1.26B,-93.70M,16.10M,13.89,-,-,-,8.16,78.21,7.80,7.90,0.94,-8.01%,-15.98%,-14.97%,39.36,-62.60%,-80.70%,-59.80%,85.20%,-,-,251.85M,190.60M,35.01%,23.67,15.86,-34.73%,16.28%,4.97,-0.44,-11.60%,-58.50%,8.60%,-10.21%,67.10%,0.03%,-,-,173,1.60
2018-11-05,19:55:25 ,4.85,-3.00%,"3,322,911",2.75M,1.13B,-93.70M,16.10M,13.47,-,-,-,7.29,69.92,7.80,7.90,0.94,-9.98%,-18.32%,-17.43%,37.25,-62.60%,-80.70%,-59.80%,85.20%,-,-,232.10M,190.60M,35.01%,24.27,16.00,-36.68%,12.79%,5.00,-0.44,-11.60%,-58.50%,8.60%,-10.98%,67.10%,0.03%,-,-,173,1.60
2018-11-06,19:53:01 ,4.69,-3.30%,"2,640,354",2.76M,1.09B,-93.70M,16.10M,13.03,-,-,-,7.05,67.61,7.80,7.90,0.94,-12.11%,-20.69%,-20.05%,34.57,-62.60%,-80.70%,-59.80%,85.20%,-,-,232.10M,190.60M,35.01%,24.17,16.00,-38.77%,9.07%,4.85,-0.44,-11.60%,-58.50%,8.60%,-10.98%,67.10%,0.03%,-,-,173,1.60
2018-11-07,20:02:23 ,4.67,-0.43%,"3,524,990",2.78M,1.08B,-93.70M,16.10M,12.97,-,-,-,7.02,67.32,7.80,7.90,0.94,-11.39%,-20.64%,-20.27%,34.55,-62.60%,-80.70%,-59.80%,85.20%,-,-,232.10M,190.60M,35.01%,24.02,16.00,-39.03%,8.60%,4.69,-0.44,-11.60%,-58.50%,8.60%,-10.98%,67.10%,0.03%,-,-,173,1.60
2018-11-08,20:13:15 ,4.97,6.42%,"3,789,410",2.79M,1.15B,-93.70M,16.10M,13.81,-,-,-,7.47,71.65,7.80,7.90,0.94,-5.03%,-15.09%,-15.03%,42.40,-62.60%,-80.70%,-59.80%,85.20%,-,-,232.10M,190.60M,35.01%,23.92,16.00,-35.12%,15.58%,4.67,-0.44,-11.60%,-58.50%,8.60%,-10.98%,67.10%,0.03%,-,-,173,1.60
