date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:55:45 ,223.74,4.60%,"274,330",165.86K,8.53B,155.40M,889.20M,6.41,57.06,41.07,5.71,55.88,9.60,1.30,1.30,0.00,-3.74%,-5.74%,1.20%,42.82,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,38.14M,37.97M,2.57%,5.88,238.33,-11.38%,33.08%,213.90,3.92,13.10%,20.10%,0.70%,-58.35%,93.70%,0.51%,-,-,4367,2.20
2018-10-17,20:48:06 ,220.38,-1.50%,"130,032",165.86K,8.41B,155.40M,889.20M,6.31,56.21,40.45,5.62,55.04,9.45,1.30,1.30,0.00,-4.80%,-7.10%,-0.43%,39.80,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,38.14M,37.97M,2.57%,5.88,238.33,-12.71%,31.08%,223.74,3.92,13.10%,20.10%,0.70%,-58.35%,93.70%,0.51%,-,-,4367,2.20
2018-10-18,21:26:54 ,215.72,-2.11%,"108,790",166.54K,8.23B,155.40M,889.20M,6.18,55.02,39.60,5.50,53.88,9.25,1.30,1.30,0.00,-6.42%,-8.96%,-2.62%,35.79,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,38.14M,37.97M,2.57%,5.85,238.33,-14.56%,28.31%,220.38,3.92,13.10%,20.10%,0.70%,-58.35%,93.70%,0.51%,-,-,4367,2.20
2018-10-19,21:34:53 ,212.53,-1.48%,"155,641",166.55K,8.11B,155.40M,889.20M,6.09,54.20,39.01,5.42,53.08,9.12,1.30,1.30,0.00,-7.27%,-10.17%,-4.14%,33.46,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,38.14M,37.97M,2.57%,5.85,238.33,-15.82%,26.42%,215.72,3.92,13.10%,20.10%,0.70%,-58.35%,93.70%,0.51%,-,-,4367,2.20
2018-10-22,18:48:41 ,211.12,-0.66%,"334,683",167.27K,8.28B,155.40M,889.20M,6.05,53.84,38.75,5.38,54.24,9.31,1.30,1.30,0.00,-7.31%,-10.61%,-4.84%,32.62,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.23M,37.97M,2.57%,5.83,238.33,-16.38%,25.58%,212.53,3.92,13.10%,20.10%,0.70%,-57.67%,93.70%,0.46%,-,-,4367,2.20
2018-10-23,18:49:36 ,213.28,1.02%,"185,814",170.30K,8.37B,155.40M,889.20M,6.11,54.39,39.15,5.44,54.79,9.41,1.30,1.30,0.00,-5.64%,-9.52%,-3.92%,35.15,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.23M,37.97M,2.57%,5.72,238.33,-15.52%,26.86%,211.12,3.92,13.10%,20.10%,0.70%,-57.67%,93.70%,0.46%,-,-,4367,2.20
2018-10-24,18:49:26 ,206.10,-3.37%,"246,638",171.70K,8.09B,155.40M,889.20M,5.90,52.56,37.83,5.26,52.95,9.09,1.30,1.30,0.00,-8.19%,-12.43%,-7.22%,30.03,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.23M,37.97M,2.57%,5.68,238.33,-18.37%,22.59%,213.28,3.92,13.10%,20.10%,0.70%,-57.67%,93.70%,0.46%,-,-,4367,2.20
2018-10-25,18:49:23 ,210.56,2.16%,"207,154",173.55K,8.26B,155.40M,889.20M,6.03,53.70,38.65,5.37,54.09,9.29,1.30,1.30,0.00,-5.40%,-10.32%,-5.25%,36.26,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.23M,37.97M,2.57%,5.61,238.33,-16.60%,25.24%,206.10,3.92,13.10%,20.10%,0.70%,-57.67%,93.70%,0.46%,-,-,4367,2.20
2018-10-26,18:47:43 ,206.21,-2.07%,"163,710",174.62K,8.09B,155.40M,889.20M,5.91,52.59,37.85,5.26,52.98,9.10,1.30,1.30,0.00,-6.64%,-12.02%,-7.26%,32.90,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.23M,37.97M,2.57%,5.58,238.33,-18.32%,22.66%,210.56,3.92,13.10%,20.10%,0.70%,-57.67%,93.70%,0.46%,-,-,4367,2.20
2018-10-29,18:47:45 ,205.44,-0.37%,"202,292",174.83K,8.11B,155.40M,889.20M,5.88,52.39,37.71,5.24,53.10,9.12,1.30,1.30,0.00,-6.16%,-12.13%,-7.64%,32.40,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.47M,37.97M,1.92%,4.18,238.33,-18.63%,22.20%,206.21,3.92,13.10%,20.10%,0.70%,-57.52%,93.60%,0.50%,-,-,4367,2.20
2018-10-30,18:48:40 ,208.21,1.35%,"195,850",173.61K,8.22B,155.40M,889.20M,5.96,53.10,38.22,5.31,53.82,9.24,1.30,1.30,0.00,-4.15%,-10.73%,-6.43%,36.16,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.47M,37.97M,1.92%,4.21,238.33,-17.53%,23.85%,205.44,3.92,13.10%,20.10%,0.70%,-57.52%,93.60%,0.50%,-,-,4367,2.20
2018-10-31,18:48:24 ,211.66,1.66%,"257,591",172.52K,8.35B,155.40M,889.20M,6.06,53.98,38.85,5.40,54.71,9.40,1.30,1.30,0.00,-1.93%,-9.04%,-4.92%,40.16,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.47M,37.97M,1.92%,4.23,238.33,-16.16%,25.90%,208.21,3.92,13.10%,20.10%,0.70%,-57.52%,93.60%,0.50%,-,-,4367,2.20
2018-11-01,18:49:47 ,195.00,-7.87%,"734,656",174.01K,7.70B,155.40M,889.20M,5.59,49.73,35.79,4.97,50.40,8.66,1.30,1.30,0.00,-9.11%,-16.02%,-12.45%,29.52,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.47M,37.97M,1.92%,4.20,238.33,-22.76%,15.99%,211.66,3.92,13.10%,20.10%,0.70%,-57.52%,93.60%,0.50%,-,-,4367,2.20
2018-11-03,00:13:04 ,194.90,-0.05%,"406,039",183.02K,7.69B,155.40M,889.20M,5.58,49.71,35.77,4.97,50.38,8.65,1.30,1.30,0.00,-8.42%,-15.76%,-12.50%,29.22,10.90%,14.50%,11.90%,47.30%,18.40%,19.90%,39.47M,37.97M,1.92%,3.99,238.33,-22.80%,15.93%,195.00,3.92,13.10%,20.10%,0.70%,-57.52%,93.60%,0.50%,-,-,4367,2.20
