date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:03:28 ,22.85,0.00%,"2,105",2.05K,74.03M,5.00M,30.80M,0.98,14.88,-,-,4.14,2.40,-,-,0.17,-0.94%,-0.23%,2.99%,47.94,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.24M,2.55M,0.31%,3.91,-,-4.79%,12.29%,22.85,1.54,47.50%,-5.10%,1.20%,7.27%,17.90%,-,0.48,2.10%,142,-
2018-10-17,22:59:54 ,22.85,0.00%,105,2.05K,74.03M,5.00M,30.80M,0.98,14.88,-,-,4.14,2.40,-,-,0.17,-0.94%,-0.30%,2.98%,46.92,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.24M,2.55M,0.31%,3.91,-,-4.79%,12.29%,22.85,1.54,47.50%,-5.10%,1.20%,7.27%,17.90%,-,0.48,2.10%,142,-
2018-10-18,23:34:14 ,22.85,0.00%,504,2.01K,74.03M,5.00M,30.80M,0.98,14.88,-,-,4.14,2.40,-,-,0.17,-0.87%,-0.39%,2.97%,45.51,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.24M,2.55M,0.31%,3.98,-,-4.79%,12.29%,22.85,1.54,47.50%,-5.10%,1.20%,7.27%,17.90%,-,0.48,2.10%,142,-
2018-10-19,23:40:59 ,22.89,0.18%,229,2.00K,74.16M,5.00M,30.80M,0.98,14.90,-,-,4.14,2.41,-,-,0.17,-0.65%,-0.29%,3.14%,46.66,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.24M,2.55M,0.31%,4.01,-,-4.62%,12.48%,22.85,1.54,47.50%,-5.10%,1.20%,7.27%,17.90%,-,0.48,2.10%,142,-
2018-10-22,21:06:24 ,23.18,1.27%,520,1.99K,75.57M,5.00M,30.80M,0.99,15.09,-,-,4.22,2.45,-,-,0.17,0.54%,0.89%,4.43%,53.45,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.26M,2.55M,0.31%,4.02,-,-3.41%,13.91%,22.89,1.54,47.50%,-5.10%,1.20%,7.22%,17.90%,-,0.48,2.07%,142,-
2018-10-23,21:07:31 ,23.16,-0.09%,276,1.98K,75.50M,5.00M,30.80M,0.99,15.08,-,-,4.22,2.45,-,-,0.17,0.33%,0.75%,4.32%,52.22,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.26M,2.55M,0.31%,4.04,-,-3.50%,13.81%,23.18,1.54,47.50%,-5.10%,1.20%,7.22%,17.90%,-,0.48,2.07%,142,-
2018-10-24,21:05:37 ,22.61,-2.37%,"2,109",1.98K,73.71M,5.00M,30.80M,0.97,14.72,-,-,4.12,2.39,-,-,0.17,-1.99%,-1.68%,1.83%,40.73,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.26M,2.55M,0.31%,4.05,-,-5.79%,11.11%,23.16,1.54,47.50%,-5.10%,1.20%,7.22%,17.90%,-,0.48,2.12%,142,-
2018-10-25,21:06:58 ,22.05,-2.48%,"2,973",1.92K,71.88M,5.00M,30.80M,0.94,14.36,-,-,4.02,2.33,-,-,0.17,-4.25%,-4.10%,-0.71%,32.85,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.26M,2.55M,0.31%,4.17,-,-8.12%,8.35%,22.61,1.54,47.50%,-5.10%,1.20%,7.22%,17.90%,-,0.48,2.18%,142,-
2018-10-26,21:06:54 ,22.05,0.00%,"1,430",1.92K,71.88M,5.00M,30.80M,0.94,14.36,-,-,4.02,2.33,-,-,0.17,-3.98%,-4.07%,-0.69%,34.24,0.70%,7.00%,24.00%,-,84.80%,17.10%,3.26M,2.55M,0.31%,4.17,-,-8.12%,8.35%,22.05,1.54,47.50%,-5.10%,1.20%,7.22%,17.90%,-,0.48,2.18%,142,-
2018-10-29,20:54:54 ,22.64,2.68%,101,1.86K,74.03M,5.00M,30.80M,0.97,14.74,-,-,4.14,2.40,-,-,0.17,-1.24%,-1.50%,1.97%,46.23,0.50%,5.60%,24.00%,-,78.40%,13.80%,3.27M,2.56M,0.17%,2.38,-,-5.66%,11.25%,22.05,1.54,47.50%,-5.10%,0.10%,414.15%,17.90%,-,0.48,2.12%,142,-
2018-10-30,20:57:15 ,22.76,0.53%,365,1.83K,74.43M,5.00M,30.80M,0.97,14.82,-,-,4.16,2.42,-,-,0.17,-0.66%,-1.01%,2.49%,48.35,0.50%,5.60%,24.00%,-,78.40%,13.80%,3.27M,2.56M,0.17%,2.43,-,-5.16%,11.84%,22.64,1.54,47.50%,-5.10%,0.10%,414.15%,17.90%,-,0.48,2.11%,142,-
2018-10-31,20:55:39 ,21.75,-4.44%,"4,937",1.82K,71.12M,5.00M,30.80M,0.93,14.16,-,-,3.97,2.31,-,-,0.17,-5.00%,-5.42%,-2.06%,34.70,0.50%,5.60%,24.00%,-,78.40%,13.80%,3.27M,2.56M,0.17%,2.44,-,-9.37%,6.88%,22.76,1.54,47.50%,-5.10%,0.10%,414.15%,17.90%,-,0.48,2.21%,142,-
