date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:56:16 ,10.75,3.66%,"636,092",860.00K,5.81B,337.30M,22.61B,2.38,17.39,15.25,-,3.68,0.26,1.80,2.30,1.63,7.42%,5.02%,-33.53%,54.78,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,540.52M,393.94M,0.79%,3.62,17.20,-59.40%,21.33%,10.37,0.62,19.20%,2.60%,26.80%,0.00%,5.70%,-0.63%,0.30,2.79%,16448,2.80
2018-10-17,20:48:37 ,11.05,2.79%,"1,084,633",860.00K,5.97B,337.30M,22.61B,2.45,17.88,15.67,-,3.78,0.26,1.80,2.30,1.63,9.74%,8.20%,-31.43%,57.64,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,540.52M,393.94M,0.79%,3.62,17.20,-58.26%,24.72%,10.75,0.62,19.20%,2.60%,26.80%,0.00%,5.70%,-0.63%,0.30,2.71%,16448,2.80
2018-10-18,21:27:25 ,10.62,-3.89%,"867,968",865.52K,5.74B,337.30M,22.61B,2.35,17.18,15.06,-,3.64,0.25,1.80,2.30,1.63,4.64%,4.20%,-33.84%,53.15,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,540.52M,393.94M,0.79%,3.59,17.20,-59.89%,19.86%,11.05,0.62,19.20%,2.60%,26.80%,0.00%,5.70%,-0.63%,0.30,2.82%,16448,2.80
2018-10-19,21:35:23 ,10.71,0.85%,"1,140,858",867.66K,5.79B,337.30M,22.61B,2.37,17.33,15.19,-,3.67,0.26,1.80,2.30,1.63,4.88%,5.36%,-33.00%,53.62,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,540.52M,393.94M,0.79%,3.59,17.20,-59.55%,20.88%,10.62,0.62,19.20%,2.60%,26.80%,0.00%,5.70%,-0.63%,0.30,2.80%,16448,2.80
2018-10-22,18:49:12 ,10.78,0.65%,"516,375",877.33K,5.96B,342.70M,22.98B,2.35,17.17,15.29,-,3.71,0.26,1.80,2.30,1.63,4.75%,6.22%,-32.28%,54.39,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,552.55M,393.94M,0.79%,3.55,17.20,-59.28%,21.67%,10.71,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-0.61%,0.30,2.78%,16448,2.80
2018-10-23,18:50:07 ,10.79,0.09%,"785,283",874.73K,5.96B,342.70M,22.98B,2.36,17.18,15.30,-,3.72,0.26,1.80,2.30,1.63,4.01%,6.30%,-31.94%,54.57,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,552.55M,393.94M,0.79%,3.56,17.20,-59.24%,21.78%,10.78,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-0.61%,0.30,2.78%,16448,2.80
2018-10-24,18:49:56 ,10.37,-3.89%,"713,160",866.49K,5.73B,342.70M,22.98B,2.26,16.51,14.71,-,3.57,0.25,1.80,2.30,1.63,-0.87%,2.13%,-34.31%,48.49,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,552.55M,393.94M,0.79%,3.59,17.20,-60.83%,17.04%,10.79,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-0.61%,0.30,2.89%,16448,2.80
2018-10-25,18:49:54 ,11.25,8.49%,"1,779,242",868.70K,6.22B,342.70M,22.98B,2.46,17.91,15.96,-,3.87,0.27,1.80,2.30,1.63,7.14%,11.01%,-28.44%,58.42,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,552.55M,393.94M,0.79%,3.58,17.20,-57.51%,26.98%,10.37,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-0.61%,0.30,2.67%,16448,2.80
2018-10-26,18:48:14 ,11.57,2.84%,"1,125,611",879.69K,6.39B,342.70M,22.98B,2.53,18.42,16.41,-,3.98,0.28,1.80,2.30,1.63,9.36%,14.08%,-26.11%,60.74,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,552.55M,393.94M,0.79%,3.54,17.20,-56.30%,30.59%,11.25,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-0.61%,0.30,2.59%,16448,2.80
2018-10-29,18:48:16 ,11.22,-3.03%,"1,242,071",886.18K,6.02B,344.30M,23.08B,2.44,17.78,15.91,-,3.73,0.26,1.80,2.30,1.63,4.90%,10.55%,-28.06%,57.00,4.60%,13.90%,9.00%,8.20%,2.80%,1.50%,536.26M,393.94M,0.55%,2.46,17.20,-57.62%,26.64%,11.57,0.63,19.20%,2.60%,26.80%,0.00%,5.70%,-1.39%,0.30,2.67%,16448,2.80
