date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:56:58 ,117.48,1.48%,"2,681,254",2.50M,99.43B,4.94B,69.38B,43.67,20.72,14.83,1.87,20.15,1.43,1.20,1.20,9.76,0.27%,-2.05%,1.90%,48.26,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,846.36M,689.84M,1.17%,3.22,128.30,-13.32%,15.80%,115.77,5.67,9.60%,8.00%,-,-,69.40%,-0.02%,3.64,3.10%,454000,2.40
2018-10-17,20:49:18 ,118.01,0.45%,"2,070,125",2.50M,99.88B,4.94B,69.38B,43.87,20.82,14.90,1.88,20.24,1.44,1.20,1.20,9.76,0.76%,-1.57%,2.36%,49.96,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,846.36M,689.84M,1.17%,3.22,128.30,-12.93%,16.32%,117.48,5.67,9.60%,8.00%,-,-,69.40%,-0.02%,3.64,3.08%,454000,2.40
2018-10-18,21:28:06 ,114.73,-2.78%,"2,262,097",2.50M,97.10B,4.94B,69.38B,42.65,20.24,14.49,1.83,19.68,1.40,1.20,1.20,9.76,-2.03%,-4.28%,-0.46%,39.48,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,846.36M,689.84M,1.17%,3.22,128.30,-15.35%,13.09%,118.01,5.67,9.60%,8.00%,-,-,69.40%,-0.02%,3.64,3.17%,454000,2.40
2018-10-19,21:36:05 ,116.49,1.53%,"2,448,129",2.49M,98.59B,4.94B,69.38B,43.30,20.55,14.71,1.85,19.98,1.42,1.20,1.20,9.76,-0.34%,-2.71%,1.12%,46.40,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,846.36M,689.84M,1.17%,3.23,128.30,-14.05%,14.82%,114.73,5.67,9.60%,8.00%,-,-,69.40%,-0.02%,3.64,3.12%,454000,2.40
2018-10-22,18:49:53 ,115.64,-0.73%,"2,358,829",2.49M,97.99B,4.94B,69.38B,42.99,20.40,14.60,1.84,19.86,1.41,1.20,1.20,9.76,-0.98%,-3.35%,0.43%,44.10,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,847.35M,689.84M,1.17%,3.23,128.58,-14.68%,13.98%,116.49,5.67,9.60%,8.00%,-,-,69.40%,-0.04%,3.64,3.15%,454000,2.40
2018-10-24,18:50:38 ,107.93,-5.52%,"5,752,441",2.52M,91.45B,4.94B,69.38B,40.12,19.04,13.63,1.72,18.54,1.32,1.20,1.20,9.76,-7.44%,-9.68%,-6.16%,27.79,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,847.35M,689.84M,1.17%,3.20,128.58,-20.36%,6.38%,114.24,5.67,9.60%,8.00%,-,-,69.40%,-0.04%,3.64,3.37%,454000,2.40
2018-10-26,18:48:55 ,105.31,-2.33%,"3,962,893",2.53M,89.23B,4.94B,69.38B,39.15,18.58,13.30,1.68,18.09,1.29,1.20,1.20,9.76,-9.00%,-11.53%,-8.26%,24.29,11.80%,336.70%,19.90%,74.20%,9.80%,7.50%,847.35M,689.84M,1.17%,3.18,128.58,-22.30%,3.80%,107.82,5.67,9.60%,8.00%,-,-,69.40%,-0.04%,3.64,3.46%,454000,2.40
2018-10-29,18:48:58 ,105.13,-0.17%,"3,311,808",2.53M,92.60B,5.18B,70.84B,39.08,17.65,13.41,1.58,18.77,1.31,1.20,1.20,9.76,-8.70%,-11.45%,-8.31%,24.22,-,-,19.90%,80.20%,-,-,880.85M,689.84M,1.57%,4.26,125.75,-22.43%,3.62%,105.31,5.96,-44.50%,-41.40%,-,-,69.40%,-0.06%,3.64,3.46%,454000,2.50
2018-10-30,18:49:54 ,107.07,1.85%,"3,047,426",2.55M,94.31B,5.18B,70.84B,39.80,17.98,13.65,1.61,19.11,1.33,1.20,1.20,9.76,-6.51%,-9.56%,-6.50%,31.42,-,-,19.90%,80.20%,-,-,880.85M,689.84M,1.57%,4.23,125.75,-21.00%,5.54%,105.13,5.96,-44.50%,-41.40%,-,-,69.40%,-0.06%,3.64,3.40%,454000,2.50
2018-10-31,18:49:38 ,106.54,-0.50%,"3,619,203",2.57M,93.85B,5.18B,70.84B,39.61,17.89,13.59,1.61,19.02,1.32,1.20,1.20,9.76,-6.57%,-9.77%,-6.85%,29.90,-,-,19.90%,80.20%,-,-,880.85M,689.84M,1.57%,4.20,125.75,-21.39%,5.01%,107.07,5.96,-44.50%,-41.40%,-,-,69.40%,-0.06%,3.64,3.42%,454000,2.50
