date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:57:01 ,141.22,2.62%,"1,792,336",1.25M,11.85B,860.00M,7.31B,3.73,13.98,7.91,0.77,101.29,1.62,0.60,0.70,2.84,-11.57%,-10.43%,-14.27%,32.74,10.60%,53.70%,8.90%,41.40%,23.50%,21.20%,83.92M,82.38M,4.09%,2.69,189.92,-25.96%,4.08%,137.62,10.10,18.40%,94.20%,0.40%,-16.22%,90.50%,0.39%,-,-,14800,2.10
2018-10-17,20:49:21 ,139.04,-1.54%,"2,540,855",1.25M,11.67B,860.00M,7.31B,3.67,13.76,7.79,0.75,99.73,1.60,0.60,0.70,2.84,-12.23%,-11.70%,-15.51%,30.24,10.60%,53.70%,8.90%,41.40%,23.50%,21.20%,83.92M,82.38M,4.09%,2.69,189.92,-27.10%,2.48%,141.22,10.10,18.40%,94.20%,0.40%,-16.22%,90.50%,0.39%,-,-,14800,2.10
2018-10-18,21:28:08 ,118.13,-15.04%,"9,428,341",1.28M,9.91B,860.00M,7.31B,3.12,11.69,6.62,0.64,84.73,1.36,0.60,0.70,2.84,-24.72%,-24.84%,-28.14%,18.99,10.60%,53.70%,8.90%,41.40%,23.50%,21.20%,83.92M,82.38M,4.09%,2.64,189.92,-38.07%,-12.93%,139.04,10.10,18.40%,94.20%,0.40%,-16.22%,90.50%,0.39%,-,-,14800,2.10
2018-10-19,21:36:07 ,117.12,-0.85%,"4,750,359",1.38M,9.83B,860.00M,7.31B,3.09,11.59,6.56,0.64,84.01,1.34,0.60,0.70,2.84,-24.06%,-25.16%,-28.63%,18.98,10.60%,53.70%,8.90%,41.40%,23.50%,21.20%,83.92M,82.38M,4.09%,2.44,189.92,-38.60%,-0.37%,118.13,10.10,18.40%,94.20%,0.40%,-16.22%,90.50%,0.39%,-,-,14800,2.10
2018-10-22,18:49:55 ,114.91,-1.89%,"3,363,434",1.41M,9.59B,994.00M,7.66B,2.84,9.75,6.27,0.54,147.54,1.25,0.80,0.80,3.02,-24.22%,-26.25%,-29.86%,18.66,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,83.46M,82.37M,4.10%,2.39,186.17,-39.76%,-1.69%,117.12,11.78,19.80%,72.20%,0.40%,-16.30%,90.10%,0.01%,-,-,14800,2.10
2018-10-23,18:50:51 ,114.41,-0.44%,"3,643,359",1.43M,9.55B,994.00M,7.66B,2.83,9.71,6.25,0.54,146.90,1.25,0.80,0.80,3.02,-23.20%,-26.26%,-30.05%,18.37,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,83.46M,82.37M,4.10%,2.35,186.17,-40.02%,0.46%,114.91,11.78,19.80%,72.20%,0.40%,-16.21%,90.10%,0.01%,-,-,14800,2.10
2018-10-24,18:50:40 ,106.99,-6.49%,"3,402,863",1.46M,8.93B,994.00M,7.66B,2.64,9.08,5.84,0.50,137.38,1.17,0.80,0.80,3.02,-26.85%,-30.74%,-34.47%,15.54,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,83.46M,82.37M,4.10%,2.31,186.17,-43.91%,-0.85%,114.41,11.78,19.80%,72.20%,0.40%,-9.38%,90.10%,0.01%,-,-,14800,2.10
2018-10-25,18:50:38 ,111.33,4.06%,"2,320,895",1.49M,9.29B,994.00M,7.66B,2.75,9.45,6.08,0.53,142.95,1.21,0.80,0.80,3.02,-22.27%,-27.51%,-31.67%,22.53,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,83.46M,82.37M,4.10%,2.26,186.17,-41.63%,4.31%,106.99,11.78,19.80%,72.20%,0.40%,-9.38%,90.10%,0.01%,-,-,14800,2.10
2018-10-26,18:48:58 ,109.23,-1.89%,"2,309,107",1.50M,9.12B,994.00M,7.66B,2.70,9.27,5.96,0.52,140.25,1.19,0.80,0.80,3.02,-22.17%,-28.55%,-32.84%,21.66,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,83.46M,82.37M,4.10%,2.24,186.17,-42.73%,2.34%,111.33,11.78,19.80%,72.20%,0.40%,-9.19%,90.10%,0.01%,-,-,14800,2.10
2018-10-29,18:49:00 ,109.29,0.05%,"2,134,091",1.52M,9.03B,994.00M,7.66B,2.70,9.28,6.08,0.52,138.98,1.18,0.80,0.80,3.02,-20.59%,-28.14%,-32.65%,22.24,11.00%,53.20%,8.90%,41.70%,24.10%,22.00%,82.66M,80.73M,4.08%,2.17,171.50,-42.70%,2.64%,109.23,11.78,19.80%,72.20%,0.40%,-9.27%,92.00%,0.04%,-,-,14800,1.90
