date,title,source
Oct-18-18,"USA Truck Has Acquired Privately Held Davis Transfer Company of Carnesville, Georgia",Business Wire
Oct-25-18,USA Truck (USAK) Tops Q3 Earnings Estimates,Zacks
Oct-25-18,USA Truck: 3Q Earnings Snapshot,Associated Press
Oct-25-18,USA Truck Reports Third Quarter 2018 Results,Business Wire
Oct-26-18,Edited Transcript of USAK earnings conference call or presentation 26-Oct-18 1:00pm GMT,Thomson Reuters StreetEvents
Oct-26-18,"Thursday Earnings Recap: Stronger Numbers For Hub, Universal And USA Truck",Benzinga
Oct-29-18,Edited Transcript of USAK earnings conference call or presentation 26-Oct-18 1:00pm GMT,Thomson Reuters StreetEvents
Oct-30-18,Edited Transcript of USAK earnings conference call or presentation 26-Oct-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-01-18,"New Research: Key Drivers of Growth for Interface, USA Truck, Weingarten Realty Investors, Unum Group, Trivago N.V. ADS, and Vical  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Nov-16-18,Demand for Trucks Surges on Strong Freight Transport: 4 Picks,Zacks
Nov-23-18,Is USA Truck Inc (NASDAQ:USAK) Worth US$20.08 Based On Intrinsic Value?,Simply Wall St.
Dec-24-18,"Is It Too Late To Consider Buying USA Truck, Inc. (NASDAQ:USAK)?",Simply Wall St.
Jan-09-19,"USA Truck to Announce Fourth Quarter 2018 Results on February 4, 2019",Business Wire
Jan-22-19,"Market Trends Toward New Normal in Agilent Technologies, Xilinx, Interpublic Group of Companies, Progenics Pharmaceuticals, Flexsteel Industries, and USA Truck  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Jan-23-19,"Boasting A 29% Return On Equity, Is USA Truck, Inc. (NASDAQ:USAK) A Top Quality Stock?",Simply Wall St.
Jan-28-19,USA Truck (USAK) Earnings Expected to Grow: Should You Buy?,Zacks
Feb-01-19,USA Truck Completes $225 Million Amended and Restated Senior Secured Revolving Credit Facility,Business Wire
Feb-04-19,USA Truck (USAK) Beats Q4 Earnings Estimates,Zacks
Feb-04-19,USA Truck: 4Q Earnings Snapshot,Associated Press
Feb-04-19,USA Truck Reports Fourth Quarter 2018 Results,Business Wire
Feb-06-19,USA Truck to Participate in Stifel Transportation and Logistics Conference,Business Wire
Feb-06-19,Edited Transcript of USAK earnings conference call or presentation 5-Feb-19 2:00pm GMT,Thomson Reuters StreetEvents
Feb-06-19,"USA Truck Continues The Trend: Another Strong Quarter, Improvement In OR, A Jump In The Stock Price",Benzinga
