date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:04:48 ,6.50,3.01%,"647,633",914.67K,2.01B,-575.40M,371.60M,4.06,-,-,-,11.35,5.40,2.00,2.00,0.59,6.66%,9.28%,-1.00%,59.35,-66.80%,73.80%,24.90%,63.90%,-,-,308.78M,25.00M,11.37%,3.11,10.97,-38.04%,33.20%,6.31,-1.97,79.60%,108.10%,-,-,29.60%,-0.02%,-,-,12461,2.30
2018-10-17,23:01:17 ,6.32,-2.77%,"253,396",914.67K,1.95B,-575.40M,371.60M,3.95,-,-,-,11.03,5.25,2.00,2.00,0.59,2.47%,6.26%,-3.73%,55.76,-66.80%,73.80%,24.90%,63.90%,-,-,308.78M,25.00M,11.37%,3.11,10.97,-39.75%,29.51%,6.50,-1.97,79.60%,108.10%,-,-,29.60%,-0.02%,-,-,12461,2.30
2018-10-18,23:35:34 ,5.94,-6.01%,"429,582",906.24K,1.83B,-575.40M,371.60M,3.71,-,-,-,10.37,4.94,2.00,2.00,0.59,-4.59%,0.01%,-9.48%,46.47,-66.80%,73.80%,24.90%,63.90%,-,-,308.78M,25.00M,11.37%,3.14,10.97,-43.37%,21.72%,6.32,-1.97,79.60%,108.10%,-,-,29.60%,-0.02%,-,-,12461,2.30
2018-10-19,23:42:20 ,5.60,-5.72%,"357,197",895.41K,1.73B,-575.40M,371.60M,3.50,-,-,-,9.77,4.65,2.00,2.00,0.59,-10.51%,-5.50%,-14.56%,40.24,-66.80%,73.80%,24.90%,63.90%,-,-,308.78M,25.00M,11.37%,3.18,10.97,-46.62%,14.75%,5.94,-1.97,79.60%,108.10%,-,-,29.60%,-0.02%,-,-,12461,2.30
2018-10-22,21:07:51 ,5.61,0.18%,"256,944",881.43K,1.83B,-571.40M,369.00M,3.53,-,-,-,10.39,4.95,2.00,2.00,0.59,-10.46%,-4.98%,-14.25%,40.22,-66.80%,73.80%,24.90%,63.90%,-,-,325.43M,25.00M,11.37%,3.23,10.90,-46.52%,14.96%,5.60,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
2018-10-23,21:09:00 ,5.40,-3.74%,"508,409",874.45K,1.76B,-571.40M,369.00M,3.40,-,-,-,10.00,4.76,2.00,2.00,0.59,-13.64%,-8.24%,-17.32%,37.90,-66.80%,73.80%,24.90%,63.90%,-,-,325.43M,25.00M,11.37%,3.25,10.90,-48.52%,10.66%,5.61,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
2018-10-24,21:07:05 ,5.06,-6.30%,"276,081",872.92K,1.65B,-571.40M,369.00M,3.18,-,-,-,9.37,4.46,2.00,2.00,0.59,-18.43%,-13.80%,-22.36%,33.43,-66.80%,73.80%,24.90%,63.90%,-,-,325.43M,25.00M,11.37%,3.26,10.90,-51.76%,3.69%,5.40,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
2018-10-25,21:08:26 ,5.15,1.78%,"424,259",860.91K,1.68B,-571.40M,369.00M,3.24,-,-,-,9.54,4.54,2.00,2.00,0.59,-15.86%,-12.08%,-20.77%,35.23,-66.80%,73.80%,24.90%,63.90%,-,-,325.43M,25.00M,11.37%,3.30,10.90,-50.91%,5.53%,5.06,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
2018-10-26,21:08:20 ,5.13,-0.39%,"269,049",857.11K,1.67B,-571.40M,369.00M,3.23,-,-,-,9.50,4.52,2.00,2.00,0.59,-15.25%,-12.39%,-20.88%,35.01,-66.80%,73.80%,24.90%,63.90%,-,-,325.43M,25.00M,11.37%,3.32,10.90,-51.10%,5.12%,5.15,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
2018-10-29,20:56:14 ,5.13,0.00%,"284,237",833.10K,1.58B,-570.50M,368.40M,3.23,-,-,-,9.01,4.29,2.00,2.00,0.59,-14.07%,-12.26%,-20.69%,35.37,-66.80%,73.80%,24.90%,63.90%,-,-,307.99M,25.00M,15.22%,4.57,10.91,-51.10%,5.12%,5.13,-1.95,79.60%,108.10%,-,-,29.60%,-0.01%,-,-,12461,2.30
