date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:43:31 ,47.13,0.15%,"44,309",31.37K,-,-,-,-,-,-,-,-,-,-,-,-,-0.26%,-0.84%,-1.46%,41.80,-,-,-,-,-,-,-,-,-,-,-,-18.33%,0.45%,47.06,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-17,21:36:30 ,47.09,-0.08%,"64,066",31.37K,-,-,-,-,-,-,-,-,-,-,-,-,-0.31%,-0.91%,-1.52%,39.50,-,-,-,-,-,-,-,-,-,-,-,-18.40%,0.36%,47.13,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-18,22:14:02 ,47.03,-0.13%,"42,189",30.80K,-,-,-,-,-,-,-,-,-,-,-,-,-0.41%,-1.02%,-1.62%,37.94,-,-,-,-,-,-,-,-,-,-,-,-18.51%,0.23%,47.09,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-19,22:21:50 ,46.97,-0.13%,"20,878",29.76K,-,-,-,-,-,-,-,-,-,-,-,-,-0.51%,-1.12%,-1.73%,35.12,-,-,-,-,-,-,-,-,-,-,-,-18.61%,0.11%,47.03,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-22,19:39:36 ,46.96,-0.02%,"11,330",28.25K,-,-,-,-,-,-,-,-,-,-,-,-,-0.49%,-1.12%,-1.73%,34.23,-,-,-,-,-,-,-,-,-,-,-,-18.63%,0.09%,46.97,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-23,19:41:01 ,47.02,0.13%,"16,084",27.83K,-,-,-,-,-,-,-,-,-,-,-,-,-0.32%,-0.96%,-1.58%,38.41,-,-,-,-,-,-,-,-,-,-,-,-18.52%,0.21%,46.96,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-24,19:39:53 ,47.13,0.23%,"28,652",27.01K,-,-,-,-,-,-,-,-,-,-,-,-,-0.06%,-0.70%,-1.33%,45.22,-,-,-,-,-,-,-,-,-,-,-,-18.33%,0.45%,47.02,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-25,19:40:16 ,47.09,-0.08%,"10,225",26.81K,-,-,-,-,-,-,-,-,-,-,-,-,-0.12%,-0.76%,-1.39%,43.80,-,-,-,-,-,-,-,-,-,-,-,-18.40%,0.36%,47.13,-,-,-,-,-,-,-,1.11,2.36%,-,-
2018-10-26,19:38:49 ,47.23,0.30%,"18,115",26.57K,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,-0.44%,-1.08%,51.31,-,-,-,-,-,-,-,-,-,-,-,-18.16%,0.66%,47.09,-,-,-,-,-,-,-,1.11,2.35%,-,-
2018-10-29,19:35:32 ,47.24,0.01%,"2,129",26.60K,-,-,-,-,-,-,-,-,-,-,-,-,0.24%,-0.40%,-1.05%,50.98,-,-,-,-,-,-,-,-,-,-,-,-18.15%,0.67%,47.23,-,-,-,-,-,-,-,1.11,2.35%,-,-
