date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:04:51 ,6.12,-2.48%,"13,955",42.79K,73.32M,-25.80M,0.40M,-,-,-,-,56.40,183.29,0.30,0.30,-,-16.45%,-32.84%,-32.84%,24.88,-,-,-,-53.10%,-,-,11.98M,1.75M,0.80%,0.33,21.33,-49.00%,0.82%,6.28,-2.25,-,-13.80%,5.60%,-,-,-,-,-,44,1.00
2018-10-17,23:01:19 ,6.25,2.12%,"19,093",42.79K,74.88M,-25.80M,0.40M,-,-,-,-,57.60,187.19,0.30,0.30,-,-14.62%,-31.40%,-31.40%,27.66,-,-,-,-53.10%,-,-,11.98M,1.75M,0.80%,0.33,21.33,-47.92%,7.76%,6.12,-2.25,-,-13.80%,5.60%,-,-,-,-,-,44,1.00
2018-10-18,23:35:36 ,7.00,12.00%,"4,244",42.30K,83.86M,-25.80M,0.40M,-,-,-,-,64.51,209.65,0.30,0.30,-,-1.83%,-22.66%,-22.66%,41.14,-,-,-,-53.10%,-,-,11.98M,1.75M,0.80%,0.33,21.33,-41.67%,27.04%,6.25,-2.25,-,-13.80%,5.60%,-,-,-,-,-,44,1.00
2018-10-19,23:42:23 ,7.00,0.00%,529,41.52K,83.86M,-25.80M,0.40M,-,-,-,-,64.51,209.65,0.30,0.30,-,-0.61%,-22.31%,-22.31%,41.53,-,-,-,-53.10%,-,-,11.98M,1.75M,0.80%,0.34,21.33,-41.67%,27.04%,7.00,-2.25,-,-13.80%,5.60%,-,-,-,-,-,44,1.00
2018-10-22,21:07:53 ,6.25,-10.71%,"1,758",40.70K,71.69M,-25.80M,0.40M,-,-,-,-,55.14,179.22,0.30,0.30,-,-10.04%,-30.32%,-30.32%,34.28,-,-,-,-53.10%,-,-,11.47M,1.75M,0.80%,0.34,21.33,-47.92%,13.43%,7.00,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-23,21:09:02 ,6.44,3.04%,"1,075",39.94K,73.87M,-25.80M,0.40M,-,-,-,-,56.82,184.67,0.30,0.30,-,-6.00%,-27.37%,-27.77%,37.28,-,-,-,-53.10%,-,-,11.47M,1.75M,0.80%,0.35,21.33,-46.33%,16.88%,6.25,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-24,21:07:08 ,6.35,-1.40%,494,39.19K,72.83M,-25.80M,0.40M,-,-,-,-,56.03,182.09,0.30,0.30,-,-6.47%,-27.56%,-28.40%,37.13,-,-,-,-53.10%,-,-,11.47M,1.75M,0.80%,0.36,21.33,-47.08%,15.25%,6.44,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-25,21:08:29 ,6.25,-1.57%,"1,221",38.46K,71.69M,-25.80M,0.40M,-,-,-,-,55.14,179.22,0.30,0.30,-,-7.31%,-27.87%,-29.15%,36.15,-,-,-,-53.10%,-,-,11.47M,1.75M,0.80%,0.36,21.33,-47.92%,13.43%,6.35,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-26,21:08:22 ,6.05,-3.20%,"2,819",37.77K,69.39M,-25.80M,0.40M,-,-,-,-,53.38,173.48,0.30,0.30,-,-9.74%,-29.32%,-31.04%,35.71,-,-,-,-53.10%,-,-,11.47M,1.75M,0.80%,0.37,21.33,-49.58%,9.80%,6.25,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-29,20:56:16 ,6.35,4.96%,"12,815",37.13K,75.25M,-25.80M,0.40M,-,-,-,-,57.88,188.12,0.30,0.30,-,-4.62%,-24.84%,-27.21%,39.06,-,-,-,-53.10%,-,-,11.85M,1.75M,0.48%,0.23,21.33,-47.08%,15.25%,6.05,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-30,20:58:39 ,6.07,-4.41%,722,36.70K,71.93M,-25.80M,0.40M,-,-,-,-,55.33,179.82,0.30,0.30,-,-8.18%,-27.27%,-30.08%,36.18,-,-,-,-53.10%,-,-,11.85M,1.75M,0.48%,0.23,21.33,-49.42%,10.16%,6.35,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-10-31,20:57:05 ,6.00,-1.15%,"3,820",36.07K,71.10M,-25.80M,0.40M,-,-,-,-,54.69,177.75,0.30,0.30,-,-8.65%,-27.16%,-30.52%,35.63,-,-,-,-53.10%,-,-,11.85M,1.75M,0.48%,0.23,21.33,-50.00%,8.89%,6.07,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-01,20:59:00 ,6.00,0.00%,"1,804",35.51K,71.10M,-25.80M,0.40M,-,-,-,-,54.69,177.75,0.30,0.30,-,-8.02%,-26.21%,-30.15%,34.67,-,-,-,-53.10%,-,-,11.85M,1.75M,0.48%,0.24,21.33,-50.00%,8.89%,6.00,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-03,02:27:50 ,6.50,8.33%,"1,103",34.94K,77.03M,-25.80M,0.40M,-,-,-,-,59.25,192.56,0.30,0.30,-,0.51%,-19.06%,-23.94%,44.18,-,-,-,-53.10%,-,-,11.85M,1.75M,0.48%,0.24,21.33,-45.83%,17.97%,6.00,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-05,20:01:01 ,6.30,-3.08%,670,34.38K,66.78M,-25.80M,0.40M,-,-,-,-,51.37,166.95,0.30,0.30,-,-2.27%,-20.66%,-25.99%,41.49,-,-,-,-53.10%,-,-,10.60M,1.75M,0.48%,0.24,21.33,-47.50%,14.34%,6.50,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-06,19:58:46 ,6.57,4.37%,"1,033",33.82K,69.69M,-25.80M,0.40M,-,-,-,-,53.61,174.24,0.30,0.30,-,2.45%,-16.21%,-22.43%,45.89,-,-,-,-53.10%,-,-,10.60M,1.75M,0.48%,0.25,21.33,-45.21%,19.33%,6.30,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-07,20:07:56 ,6.25,-4.94%,"1,795",33.30K,66.25M,-25.80M,0.40M,-,-,-,-,50.96,165.63,0.30,0.30,-,-2.34%,-19.58%,-25.99%,41.16,-,-,-,-53.10%,-,-,10.60M,1.75M,0.48%,0.25,21.33,-47.92%,13.43%,6.57,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-08,20:18:47 ,6.13,-1.92%,"7,682",32.80K,64.98M,-25.80M,0.40M,-,-,-,-,49.98,162.45,0.30,0.30,-,-3.74%,-20.27%,-27.11%,39.60,-,-,-,-53.10%,-,-,10.60M,1.75M,0.48%,0.26,21.33,-48.92%,11.25%,6.25,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-09,20:33:56 ,6.09,-0.65%,"4,747",32.40K,64.55M,-25.80M,0.40M,-,-,-,-,49.66,161.39,0.30,0.30,-,-3.88%,-20.15%,-27.28%,39.97,-,-,-,-53.10%,-,-,10.60M,1.75M,0.48%,0.26,21.33,-49.25%,10.53%,6.13,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-12,22:38:42 ,6.15,0.99%,"1,801",21.72K,70.97M,-25.80M,0.40M,-,-,-,-,54.59,177.43,0.30,0.30,-,-2.57%,-18.50%,-26.26%,40.46,-,-,-,-53.10%,-,-,11.54M,1.75M,0.59%,0.48,21.33,-48.75%,11.62%,6.09,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-13,20:10:41 ,6.52,6.02%,458,19.63K,75.24M,-25.80M,0.40M,-,-,-,-,57.88,188.10,0.30,0.30,-,3.39%,-12.68%,-21.51%,47.67,-,-,-,-53.10%,-,-,11.54M,1.75M,0.59%,0.53,21.33,-45.67%,18.33%,6.15,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
2018-11-14,19:58:54 ,6.25,-4.14%,"1,090",17.63K,72.13M,-25.80M,0.40M,-,-,-,-,55.48,180.32,0.30,0.30,-,-1.20%,-15.51%,-24.51%,44.08,-,-,-,-53.10%,-,-,11.54M,1.75M,0.59%,0.59,21.33,-47.92%,13.43%,6.52,-2.25,-,-13.80%,5.60%,-,0.40%,-,-,-,44,1.00
