date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:59:38 ,35.84,0.42%,"85,666",72.98K,487.78M,19.40M,279.60M,2.34,24.91,15.52,1.56,6.53,1.74,2.80,4.10,0.15,-3.05%,-10.98%,3.98%,38.12,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.61M,13.26M,1.69%,3.08,49.50,-20.36%,74.83%,35.69,1.44,19.10%,111.20%,1.40%,-27.97%,87.10%,0.19%,-,-,2250,1.50
2018-10-17,20:51:58 ,34.49,-3.77%,"51,824",72.98K,469.41M,19.40M,279.60M,2.25,23.97,14.93,1.50,6.28,1.68,2.80,4.10,0.15,-6.31%,-14.09%,-0.09%,29.21,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.61M,13.26M,1.69%,3.08,49.50,-23.36%,68.24%,35.84,1.44,19.10%,111.20%,1.40%,-27.97%,87.10%,0.19%,-,-,2250,1.50
2018-10-18,21:30:42 ,33.79,-2.03%,"138,340",72.89K,459.88M,19.40M,279.60M,2.21,23.48,14.63,1.47,6.16,1.64,2.80,4.10,0.15,-7.71%,-15.65%,-2.25%,26.48,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.61M,13.26M,1.69%,3.08,49.50,-24.91%,64.83%,34.49,1.44,19.10%,111.20%,1.40%,-27.97%,87.10%,0.19%,-,-,2250,1.50
2018-10-19,21:38:40 ,33.02,-2.28%,"88,369",73.96K,449.40M,19.40M,279.60M,2.16,22.95,14.29,1.43,6.02,1.61,2.80,4.10,0.15,-9.26%,-17.18%,-4.59%,24.19,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.61M,13.26M,1.69%,3.04,49.50,-26.62%,61.07%,33.79,1.44,19.10%,111.20%,1.40%,-27.97%,87.10%,0.19%,-,-,2250,1.50
2018-10-22,18:52:32 ,34.52,4.54%,"69,789",74.73K,476.03M,19.40M,279.60M,2.25,23.99,14.94,1.50,6.37,1.70,2.80,4.10,0.15,-4.57%,-12.99%,-0.35%,36.40,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.79M,13.26M,1.69%,3.01,49.50,-23.29%,68.39%,33.02,1.44,19.10%,111.20%,1.40%,-27.71%,87.10%,0.16%,-,-,2250,1.50
2018-10-23,18:53:30 ,33.61,-2.64%,"37,982",73.67K,463.48M,19.40M,279.60M,2.19,23.36,14.55,1.46,6.20,1.66,2.80,4.10,0.15,-6.64%,-14.87%,-3.10%,32.52,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.79M,13.26M,1.69%,3.05,49.50,-25.31%,63.95%,34.52,1.44,19.10%,111.20%,1.40%,-27.71%,87.10%,0.16%,-,-,2250,1.50
2018-10-24,18:53:16 ,31.41,-6.55%,"56,198",73.54K,433.14M,19.40M,279.60M,2.05,21.83,13.60,1.36,5.80,1.55,2.80,4.10,0.15,-12.16%,-20.04%,-9.54%,26.17,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.79M,13.26M,1.69%,3.06,49.50,-30.20%,53.22%,33.61,1.44,19.10%,111.20%,1.40%,-27.71%,87.10%,0.16%,-,-,2250,1.50
2018-10-25,18:53:17 ,32.00,1.88%,"46,000",73.33K,441.28M,19.40M,279.60M,2.09,22.24,13.85,1.39,5.91,1.58,2.80,4.10,0.15,-9.76%,-18.04%,-7.91%,30.15,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.79M,13.26M,1.69%,3.06,49.50,-28.89%,56.10%,31.41,1.44,19.10%,111.20%,1.40%,-27.71%,87.10%,0.16%,-,-,2250,1.50
2018-10-26,18:51:35 ,31.79,-0.66%,"47,174",73.42K,438.38M,19.40M,279.60M,2.08,22.09,13.76,1.38,5.87,1.57,2.80,4.10,0.15,-9.65%,-18.16%,-8.59%,29.77,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.79M,13.26M,1.69%,3.06,49.50,-29.36%,55.07%,32.00,1.44,19.10%,111.20%,1.40%,-27.71%,87.10%,0.16%,-,-,2250,1.50
2018-10-29,18:51:38 ,30.81,-3.08%,"49,533",73.52K,417.78M,19.40M,279.60M,2.01,21.41,13.34,1.34,5.59,1.49,2.80,4.10,0.15,-11.73%,-20.27%,-11.47%,27.19,6.90%,10.80%,6.00%,39.70%,11.30%,7.70%,13.56M,13.26M,1.98%,3.57,49.50,-31.53%,50.29%,31.79,1.44,19.10%,111.20%,1.40%,-28.05%,87.00%,0.09%,-,-,2250,1.50
