date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:07:53 ,9.43,3.74%,"669,881",1.84M,856.72M,-65.40M,74.80M,18.49,-,-,-,12.96,11.45,2.50,3.30,1.17,0.70%,-2.95%,10.72%,50.48,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,90.85M,67.97M,24.60%,9.11,13.04,-28.61%,71.45%,9.09,-0.97,2255.70%,-102.20%,20.90%,-,70.90%,-3.81%,-,-,139,2.00
2018-10-17,23:04:28 ,9.48,0.53%,"887,898",1.84M,861.26M,-65.40M,74.80M,18.59,-,-,-,13.03,11.51,2.50,3.30,1.17,1.20%,-2.23%,11.30%,51.11,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,90.85M,67.97M,24.60%,9.11,13.04,-28.24%,72.36%,9.43,-0.97,2255.70%,-102.20%,20.90%,-,70.90%,-3.81%,-,-,139,2.00
2018-10-18,23:38:39 ,9.42,-0.63%,"668,184",1.84M,855.81M,-65.40M,74.80M,18.47,-,-,-,12.95,11.44,2.50,3.30,1.17,0.54%,-2.75%,10.59%,50.25,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,90.85M,67.97M,24.60%,9.08,13.04,-28.69%,57.79%,9.48,-0.97,2255.70%,-102.20%,20.90%,-,70.90%,-3.81%,-,-,139,2.00
2018-10-19,23:45:32 ,9.50,0.85%,"2,356,025",1.83M,863.08M,-65.40M,74.80M,18.63,-,-,-,13.06,11.54,2.50,3.30,1.17,1.61%,-1.81%,11.53%,51.36,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,90.85M,67.97M,24.60%,9.12,13.04,-28.08%,57.02%,9.42,-0.97,2255.70%,-102.20%,20.90%,-,70.90%,-3.81%,-,-,139,2.00
2018-10-22,21:11:15 ,8.59,-9.63%,"1,328,830",1.85M,798.92M,-65.40M,74.80M,16.83,-,-,-,12.09,10.68,2.50,3.30,1.17,-8.06%,-11.22%,0.78%,39.68,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,93.06M,67.97M,24.60%,9.02,12.89,-35.01%,41.90%,9.50,-0.97,2255.70%,-102.20%,20.90%,-,71.10%,-3.46%,-,-,139,2.00
2018-10-23,21:12:20 ,8.37,-2.50%,"1,589,761",1.86M,778.91M,-65.40M,74.80M,16.41,-,-,-,11.78,10.41,2.50,3.30,1.17,-9.94%,-13.21%,-1.69%,37.71,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,93.06M,67.97M,24.60%,8.99,12.89,-36.64%,38.35%,8.59,-0.97,2255.70%,-102.20%,20.90%,-,71.10%,-3.46%,-,-,139,2.00
2018-10-24,21:10:24 ,7.92,-5.38%,"1,245,469",1.87M,737.04M,-65.40M,74.80M,15.53,-,-,-,11.15,9.85,2.50,3.30,1.17,-14.32%,-17.61%,-6.94%,33.42,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,93.06M,67.97M,24.60%,8.96,12.89,-40.05%,30.91%,8.37,-0.97,2255.70%,-102.20%,20.90%,-,71.10%,-3.46%,-,-,139,2.00
2018-10-25,21:11:49 ,8.21,3.66%,"1,014,356",1.87M,764.02M,-65.40M,74.80M,16.10,-,-,-,11.56,10.21,2.50,3.30,1.17,-10.49%,-14.24%,-3.46%,37.95,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,93.06M,67.97M,24.60%,8.92,12.89,-37.85%,35.70%,7.92,-0.97,2255.70%,-102.20%,20.90%,-,71.10%,-3.46%,-,-,139,2.00
2018-10-26,21:11:38 ,7.85,-4.38%,"1,270,001",1.64M,730.52M,-65.40M,74.80M,15.39,-,-,-,11.05,9.77,2.50,3.30,1.17,-13.71%,-17.76%,-7.62%,33.74,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,93.06M,67.97M,24.60%,10.19,12.89,-40.58%,29.75%,8.21,-0.97,2255.70%,-102.20%,20.90%,-,71.10%,-3.46%,-,-,139,2.00
2018-10-29,20:59:24 ,7.73,-1.53%,"802,350",1.63M,758.85M,-65.40M,74.80M,15.16,-,-,-,11.48,10.15,2.50,3.30,1.17,-14.31%,-18.65%,-8.91%,32.86,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,98.17M,67.97M,25.03%,10.46,13.03,-41.48%,27.77%,7.85,-0.97,2255.70%,-102.20%,20.90%,-,71.20%,-3.20%,-,-,139,1.90
2018-10-30,21:01:51 ,8.17,5.69%,"641,700",1.61M,802.05M,-65.40M,74.80M,16.02,-,-,-,12.13,10.72,2.50,3.30,1.17,-8.40%,-13.61%,-3.62%,40.37,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,98.17M,67.97M,25.03%,10.57,13.03,-38.15%,35.04%,7.73,-0.97,2255.70%,-102.20%,20.90%,-,71.20%,-3.20%,-,-,139,1.90
2018-10-31,21:00:12 ,8.65,5.88%,"852,295",1.60M,849.17M,-65.40M,74.80M,16.96,-,-,-,12.85,11.35,2.50,3.30,1.17,-2.28%,-8.18%,2.11%,47.23,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,98.17M,67.97M,25.03%,10.62,13.03,-34.52%,42.98%,8.17,-0.97,2255.70%,-102.20%,20.90%,-,71.20%,-3.20%,-,-,139,1.90
2018-11-01,21:02:00 ,8.89,2.77%,"983,124",1.60M,872.73M,-65.40M,74.80M,17.43,-,-,-,13.20,11.67,2.50,3.30,1.17,1.36%,-5.37%,4.94%,50.10,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,98.17M,67.97M,25.03%,10.65,13.03,-32.70%,46.94%,8.65,-0.97,2255.70%,-102.20%,20.90%,-,71.20%,-3.20%,-,-,139,1.90
2018-11-03,02:30:52 ,9.10,2.36%,"1,114,111",1.59M,893.35M,-65.40M,74.80M,17.84,-,-,-,13.52,11.94,2.50,3.30,1.17,4.32%,-2.90%,7.40%,52.82,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,98.17M,67.97M,25.03%,10.67,13.03,-31.11%,50.41%,8.89,-0.97,2255.70%,-102.20%,20.90%,-,71.20%,-3.20%,-,-,139,1.90
2018-11-05,20:04:07 ,9.20,1.10%,"641,182",1.60M,843.55M,-65.40M,74.80M,18.04,-,-,-,12.76,11.28,2.50,3.30,1.17,5.70%,-1.65%,8.57%,53.87,-48.00%,-368.40%,-103.60%,15.90%,-72.30%,-87.50%,91.69M,67.95M,25.04%,10.65,13.03,-30.36%,52.07%,9.10,-0.97,2255.70%,-102.20%,20.90%,-,73.10%,-0.70%,-,-,139,1.90
