date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:08:16 ,112.14,0.55%,"55,216",46.36K,804.04M,75.40M,513.70M,1.57,12.20,8.04,0.52,3.56,1.57,4.30,4.30,3.76,-2.84%,-8.55%,-10.34%,34.35,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.17M,6.86M,11.50%,17.01,145.80,-18.75%,5.25%,111.53,9.20,41.20%,838.60%,1.50%,0.00%,-,0.08%,2.20,1.96%,543,2.80
2018-10-17,23:04:50 ,111.70,-0.39%,"58,490",46.36K,800.89M,75.40M,513.70M,1.57,12.15,8.01,0.51,3.54,1.56,4.30,4.30,3.76,-2.94%,-8.64%,-10.69%,33.31,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.17M,6.86M,11.50%,17.01,145.80,-19.07%,4.83%,112.14,9.20,41.20%,838.60%,1.50%,0.00%,-,0.08%,2.20,1.97%,543,2.80
2018-10-18,23:39:01 ,108.69,-2.69%,"46,889",46.29K,779.31M,75.40M,513.70M,1.53,11.82,7.79,0.50,3.45,1.52,4.30,4.30,3.76,-5.15%,-10.81%,-13.08%,26.50,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.17M,6.86M,11.50%,17.04,145.80,-21.25%,2.01%,111.70,9.20,41.20%,838.60%,1.50%,0.00%,-,0.08%,2.20,2.02%,543,2.80
2018-10-19,23:45:54 ,108.51,-0.17%,"25,430",45.66K,778.02M,75.40M,513.70M,1.52,11.80,7.78,0.50,3.44,1.51,4.30,4.30,3.76,-4.74%,-10.60%,-13.19%,26.48,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.17M,6.86M,11.50%,17.27,145.80,-21.38%,1.84%,108.69,9.20,41.20%,838.60%,1.50%,0.00%,-,0.08%,2.20,2.03%,543,2.80
2018-10-22,21:11:38 ,108.23,-0.26%,"10,230",45.33K,777.09M,75.40M,513.70M,1.52,11.77,7.74,0.49,3.44,1.51,4.30,4.30,3.76,-4.44%,-10.50%,-13.37%,26.16,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.18M,6.86M,11.50%,17.40,144.40,-21.59%,2.81%,108.51,9.20,41.20%,838.60%,1.50%,0.00%,-,0.07%,2.20,2.03%,543,2.80
2018-10-23,21:12:44 ,105.34,-2.67%,"36,490",44.31K,756.34M,75.40M,513.70M,1.48,11.46,7.53,0.48,3.35,1.47,4.30,4.30,3.76,-6.51%,-12.58%,-15.63%,21.80,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.18M,6.86M,11.50%,17.80,144.40,-23.68%,0.07%,108.23,9.20,41.20%,838.60%,1.50%,0.00%,-,0.07%,2.20,2.09%,543,2.80
2018-10-24,21:10:47 ,100.14,-4.94%,"36,180",43.96K,719.01M,75.40M,513.70M,1.41,10.89,7.16,0.45,3.18,1.40,4.30,4.30,3.76,-10.58%,-16.56%,-19.74%,16.23,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.18M,6.86M,11.50%,17.94,144.40,-27.45%,-3.82%,105.34,9.20,41.20%,838.60%,1.50%,0.00%,-,0.07%,2.20,2.20%,543,2.80
2018-10-25,21:12:12 ,101.61,1.47%,"39,070",43.80K,729.56M,75.40M,513.70M,1.43,11.05,7.26,0.46,3.23,1.42,4.30,4.30,3.76,-8.70%,-14.90%,-18.47%,22.27,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.18M,6.86M,11.50%,18.01,144.40,-26.38%,1.96%,100.14,9.20,41.20%,838.60%,1.50%,0.00%,-,0.07%,2.20,2.17%,543,2.80
2018-10-26,21:12:02 ,102.27,0.65%,"81,702",43.31K,734.30M,75.40M,513.70M,1.44,11.12,7.31,0.46,3.25,1.43,4.30,4.30,3.76,-7.58%,-13.94%,-17.86%,24.67,2.40%,12.70%,1.30%,-,18.40%,12.10%,7.18M,6.86M,11.50%,18.21,144.40,-25.90%,2.62%,101.61,9.20,41.20%,838.60%,1.50%,0.00%,-,0.07%,2.20,2.15%,543,2.80
2018-10-29,20:59:46 ,99.20,-3.00%,"48,836",43.32K,706.30M,75.40M,513.70M,1.39,10.79,7.09,0.45,3.13,1.37,4.30,4.30,3.76,-9.89%,-16.12%,-20.23%,21.29,1.50%,7.90%,1.30%,-,13.70%,7.60%,7.12M,6.86M,11.19%,17.71,144.40,-28.13%,-0.46%,102.27,9.20,41.20%,838.60%,1.50%,0.00%,-,0.11%,2.20,2.22%,543,2.80
2018-10-30,21:02:13 ,98.67,-0.53%,"29,541",42.97K,702.53M,75.40M,513.70M,1.39,10.73,7.05,0.45,3.11,1.37,4.30,4.30,3.76,-9.76%,-16.12%,-20.56%,20.59,1.50%,7.90%,1.30%,-,13.70%,7.60%,7.12M,6.86M,11.19%,17.85,144.40,-28.51%,1.20%,99.20,9.20,41.20%,838.60%,1.50%,0.00%,-,0.11%,2.20,2.23%,543,2.80
2018-10-31,21:00:35 ,99.34,0.68%,"53,401",42.54K,707.30M,75.40M,513.70M,1.39,10.80,7.10,0.45,3.13,1.38,4.30,4.30,3.76,-8.45%,-15.10%,-19.92%,23.46,1.50%,7.90%,1.30%,-,13.70%,7.60%,7.12M,6.86M,11.19%,18.03,144.40,-28.03%,3.24%,98.67,9.20,41.20%,838.60%,1.50%,0.00%,-,0.11%,2.20,2.21%,543,2.80
2018-11-01,21:02:22 ,100.45,1.12%,"52,061",42.66K,715.20M,75.40M,513.70M,1.41,10.92,7.18,0.46,3.16,1.39,4.30,4.30,3.76,-6.73%,-13.67%,-18.92%,28.24,1.50%,7.90%,1.30%,-,13.70%,7.60%,7.12M,6.86M,11.19%,17.98,144.40,-27.22%,4.40%,99.34,9.20,41.20%,838.60%,1.50%,0.00%,-,0.11%,2.20,2.19%,543,2.80
2018-11-03,02:31:14 ,100.48,0.03%,"46,402",42.12K,715.42M,75.40M,513.70M,1.41,10.93,7.18,0.46,3.17,1.39,4.30,4.30,3.76,-6.07%,-13.21%,-18.80%,29.02,1.50%,7.90%,1.30%,-,13.70%,7.60%,7.12M,6.86M,11.19%,18.21,144.40,-27.20%,4.43%,100.45,9.20,41.20%,838.60%,1.50%,0.00%,-,0.11%,2.20,2.19%,543,2.80
2018-11-05,20:04:30 ,100.72,0.24%,"27,483",41.57K,721.16M,83.60M,542.20M,1.41,9.90,7.53,0.41,3.19,1.33,4.30,4.30,3.76,-5.25%,-12.56%,-18.51%,30.67,1.50%,7.90%,1.30%,-,13.00%,7.20%,7.16M,6.85M,11.20%,18.45,128.40,-27.03%,4.68%,100.48,10.17,41.20%,838.60%,4.20%,0.00%,-,-1.32%,2.20,2.18%,543,2.80
2018-11-06,20:02:10 ,101.00,0.28%,"32,514",41.67K,723.16M,83.60M,542.20M,1.42,9.93,7.55,0.41,3.20,1.33,4.30,4.30,3.76,-4.41%,-11.89%,-18.18%,30.95,1.50%,7.90%,1.30%,-,13.00%,7.20%,7.16M,6.85M,11.20%,18.41,128.40,-26.82%,4.97%,100.72,10.17,41.20%,838.60%,4.20%,0.00%,-,-1.32%,2.20,2.18%,543,2.80
2018-11-07,20:11:22 ,102.53,1.51%,"42,380",41.57K,734.11M,83.60M,542.20M,1.44,10.08,7.66,0.41,3.25,1.35,4.30,4.30,3.76,-2.41%,-10.12%,-16.84%,36.72,1.50%,7.90%,1.30%,-,13.00%,7.20%,7.16M,6.85M,11.20%,18.45,128.40,-25.72%,6.56%,101.00,10.17,41.20%,838.60%,4.20%,0.00%,-,-1.32%,2.20,2.15%,543,2.80
2018-11-08,20:22:08 ,104.14,1.57%,"32,242",41.72K,745.64M,83.60M,542.20M,1.46,10.24,7.78,0.42,3.30,1.38,4.30,4.30,3.76,-0.42%,-8.30%,-15.44%,42.82,1.50%,7.90%,1.30%,-,13.00%,7.20%,7.16M,6.85M,11.20%,18.39,128.40,-24.55%,8.23%,102.53,10.17,41.20%,838.60%,4.20%,0.00%,-,-1.32%,2.20,2.11%,543,2.80
