date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:43:33 ,32.83,2.05%,"127,440",50.34K,-,-,-,-,-,-,-,-,-,-,-,-,-3.00%,-4.81%,-3.29%,37.51,-,-,-,-,-,-,-,-,-,0.13,-,-7.81%,5.39%,32.17,-,-,-,-,-,-,-,0.39,1.19%,-,-
2018-10-17,21:36:32 ,32.80,-0.09%,"50,233",50.34K,-,-,-,-,-,-,-,-,-,-,-,-,-2.82%,-4.80%,-3.37%,36.63,-,-,-,-,-,-,-,-,-,0.13,-,-7.89%,5.30%,32.83,-,-,-,-,-,-,-,0.39,1.19%,-,-
2018-10-18,22:14:04 ,32.39,-1.25%,"55,776",49.40K,-,-,-,-,-,-,-,-,-,-,-,-,-3.78%,-5.88%,-4.56%,31.96,-,-,-,-,-,-,-,-,-,0.13,-,-9.04%,3.98%,32.80,-,-,-,-,-,-,-,0.39,1.20%,-,-
2018-10-19,22:21:52 ,32.25,-0.43%,"26,925",48.97K,-,-,-,-,-,-,-,-,-,-,-,-,-3.86%,-6.15%,-4.96%,30.75,-,-,-,-,-,-,-,-,-,0.14,-,-9.44%,3.53%,32.39,-,-,-,-,-,-,-,0.39,1.21%,-,-
2018-10-22,19:39:38 ,32.14,-0.34%,"18,219",47.93K,-,-,-,-,-,-,-,-,-,-,-,-,-3.83%,-6.34%,-5.26%,29.85,-,-,-,-,-,-,-,-,-,0.14,-,-9.74%,3.18%,32.25,-,-,-,-,-,-,-,0.39,1.21%,-,-
2018-10-23,19:41:03 ,32.01,-0.40%,"30,688",47.74K,-,-,-,-,-,-,-,-,-,-,-,-,-3.86%,-6.58%,-5.62%,28.36,-,-,-,-,-,-,-,-,-,0.14,-,-10.11%,2.76%,32.14,-,-,-,-,-,-,-,0.39,1.22%,-,-
2018-10-24,19:39:56 ,30.78,-3.84%,"46,318",47.29K,-,-,-,-,-,-,-,-,-,-,-,-,-7.21%,-10.04%,-9.21%,20.09,-,-,-,-,-,-,-,-,-,0.14,-,-13.56%,-1.19%,32.01,-,-,-,-,-,-,-,0.39,1.27%,-,-
2018-10-25,19:40:18 ,31.53,2.42%,"33,138",47.28K,-,-,-,-,-,-,-,-,-,-,-,-,-4.45%,-7.64%,-6.97%,32.50,-,-,-,-,-,-,-,-,-,0.14,-,-11.47%,2.42%,30.78,-,-,-,-,-,-,-,0.39,1.24%,-,-
2018-10-26,19:38:52 ,30.91,-1.95%,"31,342",47.33K,-,-,-,-,-,-,-,-,-,-,-,-,-5.91%,-9.30%,-8.75%,28.43,-,-,-,-,-,-,-,-,-,0.14,-,-13.20%,0.42%,31.53,-,-,-,-,-,-,-,0.39,1.26%,-,-
2018-10-29,19:35:34 ,30.80,-0.36%,"34,269",47.47K,-,-,-,-,-,-,-,-,-,-,-,-,-5.73%,-9.42%,-9.03%,28.01,-,-,-,-,-,-,-,-,-,0.11,-,-13.51%,0.92%,30.91,-,-,-,-,-,-,-,0.38,1.23%,-,-
2018-10-30,19:36:21 ,31.70,2.92%,"18,666",47.35K,-,-,-,-,-,-,-,-,-,-,-,-,-2.47%,-6.55%,-6.31%,39.99,-,-,-,-,-,-,-,-,-,0.11,-,-10.98%,3.87%,30.80,-,-,-,-,-,-,-,0.38,1.20%,-,-
2018-10-31,19:36:03 ,31.77,0.23%,"80,545",47.15K,-,-,-,-,-,-,-,-,-,-,-,-,-1.89%,-6.15%,-6.06%,41.08,-,-,-,-,-,-,-,-,-,0.11,-,-10.77%,4.11%,31.70,-,-,-,-,-,-,-,0.38,1.20%,-,-
2018-11-01,19:38:33 ,32.23,1.44%,"31,862",47.66K,-,-,-,-,-,-,-,-,-,-,-,-,-0.10%,-4.60%,-4.66%,46.36,-,-,-,-,-,-,-,-,-,0.11,-,-9.49%,5.60%,31.77,-,-,-,-,-,-,-,0.38,1.18%,-,-
2018-11-03,01:04:07 ,32.27,0.12%,"39,838",47.31K,-,-,-,-,-,-,-,-,-,-,-,-,0.28%,-4.31%,-4.51%,47.16,-,-,-,-,-,-,-,-,-,0.11,-,-9.38%,5.73%,32.23,-,-,-,-,-,-,-,0.38,1.18%,-,-
2018-11-05,18:38:21 ,32.47,0.62%,"32,150",47.30K,-,-,-,-,-,-,-,-,-,-,-,-,1.10%,-3.55%,-3.87%,49.69,-,-,-,-,-,-,-,-,-,0.11,-,-8.82%,6.39%,32.27,-,-,-,-,-,-,-,0.39,1.20%,-,-
2018-11-06,18:34:18 ,32.63,0.49%,"32,513",47.55K,-,-,-,-,-,-,-,-,-,-,-,-,1.79%,-2.91%,-3.36%,51.28,-,-,-,-,-,-,-,-,-,0.11,-,-8.37%,6.91%,32.47,-,-,-,-,-,-,-,0.39,1.20%,-,-
2018-11-07,18:40:16 ,33.13,1.53%,"22,051",47.69K,-,-,-,-,-,-,-,-,-,-,-,-,3.48%,-1.26%,-1.84%,56.63,-,-,-,-,-,-,-,-,-,0.11,-,-6.96%,8.55%,32.63,-,-,-,-,-,-,-,0.39,1.18%,-,-
2018-11-08,18:34:46 ,33.12,-0.03%,"57,438",47.55K,-,-,-,-,-,-,-,-,-,-,-,-,3.37%,-1.15%,-1.84%,56.43,-,-,-,-,-,-,-,-,-,0.11,-,-6.99%,8.52%,33.13,-,-,-,-,-,-,-,0.39,1.18%,-,-
2018-11-09,19:17:08 ,32.71,-1.25%,"54,411",47.66K,-,-,-,-,-,-,-,-,-,-,-,-,1.88%,-2.25%,-3.04%,50.99,-,-,-,-,-,-,-,-,-,0.11,-,-8.16%,7.16%,33.12,-,-,-,-,-,-,-,0.39,1.19%,-,-
2018-11-12,21:16:11 ,32.21,-1.51%,"22,114",48.14K,-,-,-,-,-,-,-,-,-,-,-,-,0.25%,-3.58%,-4.46%,45.35,-,-,-,-,-,-,-,-,-,0.10,-,-9.54%,5.54%,32.71,-,-,-,-,-,-,-,0.43,1.33%,-,-
2018-11-13,18:43:34 ,31.90,-0.97%,"44,297",47.82K,-,-,-,-,-,-,-,-,-,-,-,-,-0.73%,-4.33%,-5.35%,42.54,-,-,-,-,-,-,-,-,-,0.10,-,-10.42%,4.52%,32.21,-,-,-,-,-,-,-,0.43,1.35%,-,-
2018-11-14,18:35:58 ,31.61,-0.91%,"53,009",48.21K,-,-,-,-,-,-,-,-,-,-,-,-,-1.49%,-5.02%,-6.17%,39.50,-,-,-,-,-,-,-,-,-,0.10,-,-11.23%,3.57%,31.90,-,-,-,-,-,-,-,0.43,1.36%,-,-
