date,title,source
Oct-22-18,5 Undervalued Companies With Predictable Businesses,GuruFocus.com
Oct-23-18,Westlake Chemical Announces Third Quarter 2018 Conference Call Information,Business Wire
Oct-24-18,"Consolidated Research: 2018 Summary Expectations for Airgain, Vanda Pharmaceuticals, Westlake Chemical, TransEnterix, Versum Materials, and Triumph Group  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Oct-30-18,Westlake Chemical (WLK) Earnings Expected to Grow: Should You Buy?,Zacks
Nov-06-18,Westlake Chemical (WLK) Q3 Earnings and Revenues Surpass Estimates,Zacks
Nov-06-18,Westlake Chemical Partners: 3Q Earnings Snapshot,Associated Press
Nov-06-18,Westlake: 3Q Earnings Snapshot,Associated Press
Nov-06-18,Westlake Chemical Corporation Reports Record Third Quarter 2018 Results,Business Wire
Nov-08-18,Westlake Chemical (WLK) Earnings & Sales Top Estimates in Q3,Zacks
Nov-15-18,"Westlake Chemical Partners Lp (WLKP) President & CEO Albert Chao Bought $410,549 of Shares",GuruFocus.com
Nov-16-18,Westlake Chemical Corporation Declares Quarterly Dividend,Business Wire
Nov-19-18,"Westlake Chemical Partners Lp (WLKP) President & CEO Albert Chao Bought $347,597 of Shares",GuruFocus.com
Nov-20-18,"Westlake Chemical Partners Lp (WLKP) President & CEO Albert Chao Bought $241,371 of Shares",GuruFocus.com
Nov-28-18,Is It Time To Consider Buying Westlake Chemical Corporation (NYSE:WLK)?,Simply Wall St.
Dec-03-18,US Plastic Resins Output Rises in October: Tariffs a Concern,Zacks
Dec-06-18,Westlake (WLK) Down 11.5% Since Last Earnings Report: Can It Rebound?,Zacks
Dec-21-18,Westlake Chemical Corporation (NYSE:WLK): Time For A Financial Health Check,Simply Wall St.
Jan-02-19,Houston chemical company closes $265M deal,American City Business Journals
Jan-02-19,Westlake Chemical Closes Purchase of NAKAN PVC Compounding Solutions Business,Business Wire
Jan-02-19,Westlake Chemical to Gain on Acquisitions & Strong Demand,Zacks
