date,title,source
Oct-18-18,Watsco (WSO) Q3 Earnings Preview: What to Expect,Zacks
Oct-24-18,Top Ranked Income Stocks to Buy for October 24th,Zacks
Oct-25-18,Watsco Cools Off Despite Dividend Boost,Motley Fool
Oct-25-18,Watsco: 3Q Earnings Snapshot,Associated Press
Oct-25-18,Watsco (WSO) Q3 Earnings and Revenues Lag Estimates,Zacks
Oct-25-18,Watsco: 3Q Earnings Snapshot,Associated Press
Oct-25-18,Watsco Reports Record Third Quarter Results and Dividend Raise to $6.40 Per Share,GlobeNewswire
Oct-25-18,Watsco Boosts Annual Dividend 10% to $6.40 Per Share,GlobeNewswire
Oct-26-18,"Watsco (WSO) Q3 Earnings and Revenues Miss Estimates, Up Y/Y",Zacks
Oct-26-18,Watsco Inc (WSO) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-29-18,Edited Transcript of WSO earnings conference call or presentation 25-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Oct-31-18,Edited Transcript of WSO earnings conference call or presentation 25-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-01-18,"Detailed Research: Economic Perspectives on Watsco, T-Mobile US, Medpace, eHealth, AllianceBernstein Holding, and Limelight Networks  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Nov-01-18,Edited Transcript of WSO earnings conference call or presentation 25-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-05-18,Edited Transcript of WSO earnings conference call or presentation 25-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-29-18,Calculating The Intrinsic Value Of Watsco Inc (NYSE:WSO),Simply Wall St.
Dec-06-18,"Watsco (WSO) Rides on Investment in Technology, Costs High",Zacks
Dec-07-18,Watsco Completes Refinancing of $500 Million Credit Facility,GlobeNewswire
