date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:10:46 ,37.12,2.74%,"293,543",176.88K,-,-,-,-,-,-,-,-,-,-,-,-,-2.38%,-2.63%,-0.33%,44.18,-,-,-,-,-,-,-,-,-,0.06,-,-5.19%,8.73%,36.13,-,-,-,-,-,-,-,0.37,1.00%,-,-
2018-10-17,22:04:35 ,37.08,-0.11%,"51,354",176.88K,-,-,-,-,-,-,-,-,-,-,-,-,-2.30%,-2.69%,-0.46%,43.59,-,-,-,-,-,-,-,-,-,0.06,-,-5.29%,8.61%,37.12,-,-,-,-,-,-,-,0.37,1.00%,-,-
2018-10-18,22:41:22 ,36.41,-1.81%,"116,336",174.80K,-,-,-,-,-,-,-,-,-,-,-,-,-3.87%,-4.38%,-2.27%,36.99,-,-,-,-,-,-,-,-,-,0.06,-,-7.00%,6.65%,37.08,-,-,-,-,-,-,-,0.37,1.02%,-,-
2018-10-19,22:48:35 ,36.21,-0.55%,"76,441",173.59K,-,-,-,-,-,-,-,-,-,-,-,-,-4.08%,-4.81%,-2.81%,35.27,-,-,-,-,-,-,-,-,-,0.06,-,-7.51%,6.06%,36.41,-,-,-,-,-,-,-,0.37,1.02%,-,-
2018-10-22,20:08:47 ,36.17,-0.11%,"69,860",173.42K,-,-,-,-,-,-,-,-,-,-,-,-,-3.85%,-4.82%,-2.92%,35.14,-,-,-,-,-,-,-,-,-,0.06,-,-7.61%,5.95%,36.21,-,-,-,-,-,-,-,0.37,1.02%,-,-
2018-10-23,20:10:35 ,35.74,-1.19%,"145,132",173.26K,-,-,-,-,-,-,-,-,-,-,-,-,-4.66%,-5.88%,-4.07%,31.26,-,-,-,-,-,-,-,-,-,0.06,-,-8.71%,4.69%,36.17,-,-,-,-,-,-,-,0.37,1.04%,-,-
2018-10-24,20:08:44 ,34.31,-4.00%,"316,079",174.38K,-,-,-,-,-,-,-,-,-,-,-,-,-8.09%,-9.55%,-7.89%,22.62,-,-,-,-,-,-,-,-,-,0.06,-,-12.36%,0.50%,35.74,-,-,-,-,-,-,-,0.37,1.08%,-,-
2018-10-25,20:09:42 ,34.80,1.43%,"304,799",177.85K,-,-,-,-,-,-,-,-,-,-,-,-,-6.21%,-8.10%,-6.55%,29.34,-,-,-,-,-,-,-,-,-,0.06,-,-11.11%,1.93%,34.31,-,-,-,-,-,-,-,0.37,1.06%,-,-
2018-10-26,20:08:19 ,34.36,-1.26%,"167,809",175.50K,-,-,-,-,-,-,-,-,-,-,-,-,-6.89%,-9.14%,-7.71%,26.64,-,-,-,-,-,-,-,-,-,0.06,-,-12.23%,0.64%,34.80,-,-,-,-,-,-,-,0.37,1.08%,-,-
2018-10-29,20:02:43 ,34.22,-0.41%,"140,257",176.51K,-,-,-,-,-,-,-,-,-,-,-,-,-6.72%,-9.36%,-8.05%,26.21,-,-,-,-,-,-,-,-,-,1.52,-,-12.59%,1.00%,34.36,-,-,-,-,-,-,-,0.35,1.02%,-,-
2018-10-30,20:03:41 ,34.76,1.58%,"94,423",176.00K,-,-,-,-,-,-,-,-,-,-,-,-,-4.64%,-7.77%,-6.56%,33.50,-,-,-,-,-,-,-,-,-,1.53,-,-11.21%,2.99%,34.22,-,-,-,-,-,-,-,0.35,1.01%,-,-
2018-10-31,20:02:40 ,35.18,1.21%,"74,521",176.59K,-,-,-,-,-,-,-,-,-,-,-,-,-2.97%,-6.51%,-5.40%,38.70,-,-,-,-,-,-,-,-,-,1.52,-,-10.14%,4.24%,34.76,-,-,-,-,-,-,-,0.35,0.99%,-,-
2018-11-01,20:05:34 ,35.94,2.16%,"167,452",176.14K,-,-,-,-,-,-,-,-,-,-,-,-,-0.39%,-4.34%,-3.33%,46.89,-,-,-,-,-,-,-,-,-,1.53,-,-8.20%,6.49%,35.18,-,-,-,-,-,-,-,0.35,0.97%,-,-
2018-11-03,01:33:16 ,35.87,-0.19%,"107,588",174.86K,-,-,-,-,-,-,-,-,-,-,-,-,-0.28%,-4.41%,-3.50%,46.55,-,-,-,-,-,-,-,-,-,1.54,-,-8.38%,6.28%,35.94,-,-,-,-,-,-,-,0.35,0.98%,-,-
2018-11-05,19:05:50 ,35.95,0.22%,"106,066",175.12K,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,-4.09%,-3.27%,47.67,-,-,-,-,-,-,-,-,-,1.54,-,-8.17%,6.52%,35.87,-,-,-,-,-,-,-,0.36,1.00%,-,-
2018-11-06,19:02:09 ,36.05,0.28%,"73,167",174.83K,-,-,-,-,-,-,-,-,-,-,-,-,0.70%,-3.70%,-2.97%,48.49,-,-,-,-,-,-,-,-,-,1.54,-,-7.92%,6.81%,35.95,-,-,-,-,-,-,-,0.36,1.00%,-,-
2018-11-07,19:12:50 ,36.73,1.89%,"154,200",174.85K,-,-,-,-,-,-,-,-,-,-,-,-,2.79%,-1.73%,-1.11%,55.14,-,-,-,-,-,-,-,-,-,1.54,-,-6.18%,8.83%,36.05,-,-,-,-,-,-,-,0.36,0.98%,-,-
2018-11-08,19:02:19 ,36.52,-0.57%,"132,148",169.22K,-,-,-,-,-,-,-,-,-,-,-,-,2.14%,-2.19%,-1.66%,52.95,-,-,-,-,-,-,-,-,-,1.59,-,-6.72%,8.21%,36.73,-,-,-,-,-,-,-,0.36,0.99%,-,-
2018-11-09,19:42:38 ,36.10,-1.15%,"94,413",169.80K,-,-,-,-,-,-,-,-,-,-,-,-,0.86%,-3.18%,-2.77%,48.34,-,-,-,-,-,-,-,-,-,1.58,-,-7.79%,6.96%,36.52,-,-,-,-,-,-,-,0.36,1.00%,-,-
2018-11-12,21:43:28 ,35.12,-2.71%,"97,392",170.00K,-,-,-,-,-,-,-,-,-,-,-,-,-1.85%,-5.67%,-5.38%,40.14,-,-,-,-,-,-,-,-,-,0.03,-,-10.29%,4.06%,36.10,-,-,-,-,-,-,-,0.40,1.14%,-,-
2018-11-13,19:11:24 ,35.28,0.46%,"86,661",169.67K,-,-,-,-,-,-,-,-,-,-,-,-,-1.26%,-5.05%,-4.91%,42.14,-,-,-,-,-,-,-,-,-,0.03,-,-9.89%,4.53%,35.12,-,-,-,-,-,-,-,0.40,1.13%,-,-
2018-11-14,19:04:09 ,35.18,-0.27%,"103,561",168.35K,-,-,-,-,-,-,-,-,-,-,-,-,-1.28%,-5.14%,-5.14%,40.84,-,-,-,-,-,-,-,-,-,0.03,-,-10.13%,4.25%,35.28,-,-,-,-,-,-,-,0.40,1.14%,-,-
2018-11-15,19:01:30 ,35.60,1.19%,"105,013",168.40K,-,-,-,-,-,-,-,-,-,-,-,-,0.15%,-3.86%,-3.98%,45.48,-,-,-,-,-,-,-,-,-,0.03,-,-9.07%,5.48%,35.18,-,-,-,-,-,-,-,0.40,1.12%,-,-
2018-11-16,19:01:48 ,35.75,0.42%,"79,017",168.52K,-,-,-,-,-,-,-,-,-,-,-,-,0.69%,-3.32%,-3.54%,46.47,-,-,-,-,-,-,-,-,-,0.03,-,-8.68%,5.93%,35.60,-,-,-,-,-,-,-,0.40,1.12%,-,-
2018-11-19,19:01:03 ,35.01,-2.07%,"92,887",166.94K,-,-,-,-,-,-,-,-,-,-,-,-,-1.33%,-5.21%,-5.52%,40.02,-,-,-,-,-,-,-,-,-,0.03,-,-10.57%,3.74%,35.75,-,-,-,-,-,-,-,0.40,1.14%,-,-
2018-11-20,19:02:29 ,34.59,-1.20%,"201,537",166.04K,-,-,-,-,-,-,-,-,-,-,-,-,-2.35%,-6.19%,-6.65%,36.77,-,-,-,-,-,-,-,-,-,0.03,-,-11.65%,2.49%,35.01,-,-,-,-,-,-,-,0.40,1.16%,-,-
2018-11-21,19:01:51 ,34.86,0.78%,"166,159",166.46K,-,-,-,-,-,-,-,-,-,-,-,-,-1.43%,-5.27%,-5.90%,39.76,-,-,-,-,-,-,-,-,-,0.03,-,-10.96%,3.29%,34.59,-,-,-,-,-,-,-,0.40,1.15%,-,-
2018-11-23,19:01:50 ,34.87,0.03%,"34,274",166.11K,-,-,-,-,-,-,-,-,-,-,-,-,-1.48%,-5.07%,-5.86%,39.76,-,-,-,-,-,-,-,-,-,0.03,-,-10.93%,3.32%,34.86,-,-,-,-,-,-,-,0.40,1.15%,-,-
2018-11-26,19:08:01 ,35.43,1.61%,"167,012",167.07K,-,-,-,-,-,-,-,-,-,-,-,-,0.09%,-3.36%,-4.34%,45.98,-,-,-,-,-,-,-,-,-,0.03,-,-9.50%,4.98%,34.87,-,-,-,-,-,-,-,0.39,1.10%,-,-
2018-11-27,19:00:50 ,35.47,0.11%,"86,758",168.37K,-,-,-,-,-,-,-,-,-,-,-,-,0.05%,-3.08%,-4.24%,46.45,-,-,-,-,-,-,-,-,-,0.03,-,-9.40%,5.10%,35.43,-,-,-,-,-,-,-,0.39,1.10%,-,-
2018-11-28,18:59:32 ,36.26,2.23%,"104,228",168.23K,-,-,-,-,-,-,-,-,-,-,-,-,2.10%,-0.78%,-2.10%,53.80,-,-,-,-,-,-,-,-,-,0.03,-,-7.38%,7.44%,35.47,-,-,-,-,-,-,-,0.39,1.08%,-,-
2018-11-29,19:00:50 ,36.23,-0.08%,"321,665",167.58K,-,-,-,-,-,-,-,-,-,-,-,-,1.80%,-0.73%,-2.19%,53.49,-,-,-,-,-,-,-,-,-,0.03,-,-7.46%,7.35%,36.26,-,-,-,-,-,-,-,0.39,1.08%,-,-
2018-11-30,19:01:21 ,36.40,0.47%,"62,484",171.09K,-,-,-,-,-,-,-,-,-,-,-,-,2.13%,-0.14%,-1.72%,54.71,-,-,-,-,-,-,-,-,-,0.03,-,-7.02%,7.85%,36.23,-,-,-,-,-,-,-,0.39,1.07%,-,-
