date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:12:08 ,5.40,-4.42%,"29,719",33.94K,392.42M,-12.30M,189.60M,0.83,-,6.88,-,5.81,2.07,-,-,0.04,0.06%,-16.93%,-35.57%,46.29,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,72.67M,19.31M,1.20%,6.85,10.75,-63.54%,36.02%,5.65,-0.18,-53.80%,-157.40%,70.87%,0.00%,0.90%,-0.15%,0.40,7.41%,3484,1.00
2018-10-17,23:08:53 ,5.76,6.67%,"49,643",33.94K,418.58M,-12.30M,189.60M,0.88,-,7.34,-,6.20,2.21,-,-,0.04,8.17%,-10.82%,-31.11%,51.27,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,72.67M,19.31M,1.20%,6.85,10.75,-61.11%,45.09%,5.40,-0.18,-53.80%,-157.40%,70.87%,0.00%,0.90%,-0.15%,0.40,6.94%,3484,1.00
2018-10-18,23:42:56 ,5.77,0.17%,"60,993",34.25K,419.31M,-12.30M,189.60M,0.89,-,7.35,-,6.21,2.21,-,-,0.04,9.16%,-10.15%,-30.84%,51.36,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,72.67M,19.31M,1.20%,6.79,10.75,-60.91%,45.34%,5.76,-0.18,-53.80%,-157.40%,70.87%,0.00%,0.90%,-0.15%,0.40,6.93%,3484,1.00
2018-10-19,23:49:56 ,5.71,-1.04%,"32,551",34.58K,414.95M,-12.30M,189.60M,0.88,-,7.27,-,6.15,2.19,-,-,0.04,8.78%,-10.64%,-31.40%,51.16,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,72.67M,19.31M,1.20%,6.72,10.75,-61.31%,43.83%,5.77,-0.18,-53.80%,-157.40%,70.87%,0.00%,0.90%,-0.15%,0.40,7.01%,3484,1.00
2018-10-22,21:15:55 ,6.23,9.11%,"63,725",34.61K,444.20M,-12.20M,188.30M,0.96,-,7.99,-,6.63,2.36,-,-,0.04,19.34%,-1.88%,-24.99%,58.01,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.30M,19.31M,1.20%,6.72,10.68,-57.79%,56.93%,5.71,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.42%,3484,1.00
2018-10-23,21:16:56 ,5.93,-4.82%,"88,392",35.13K,422.81M,-12.20M,188.30M,0.92,-,7.60,-,6.31,2.25,-,-,0.04,13.49%,-6.15%,-28.45%,53.38,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.30M,19.31M,1.20%,6.62,10.68,-59.82%,49.37%,6.23,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.75%,3484,1.00
2018-10-24,21:14:58 ,5.96,0.51%,"40,031",36.21K,424.95M,-12.20M,188.30M,0.92,-,7.64,-,6.34,2.26,-,-,0.04,14.11%,-5.26%,-27.94%,53.59,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.30M,19.31M,1.20%,6.42,10.68,-58.12%,50.13%,5.93,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.71%,3484,1.00
2018-10-25,21:16:24 ,6.02,1.01%,"62,321",36.37K,429.23M,-12.20M,188.30M,0.93,-,7.72,-,6.41,2.28,-,-,0.04,14.49%,-3.88%,-27.07%,54.38,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.30M,19.31M,1.20%,6.39,10.68,-57.70%,51.64%,5.96,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.64%,3484,1.00
2018-10-26,21:16:11 ,5.96,-1.00%,"69,576",36.85K,424.95M,-12.20M,188.30M,0.92,-,7.64,-,6.34,2.26,-,-,0.04,12.36%,-4.42%,-27.66%,53.36,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.30M,19.31M,1.20%,6.31,10.68,-58.12%,50.13%,6.02,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.71%,3484,1.00
2018-10-29,21:04:01 ,5.96,0.00%,"109,032",37.59K,424.71M,-12.20M,188.00M,0.92,-,7.65,-,6.35,2.26,-,-,0.04,11.36%,-4.02%,-27.51%,52.45,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.26M,19.31M,0.75%,3.83,10.69,-58.12%,50.13%,5.96,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.71%,3484,1.00
2018-10-30,21:06:14 ,5.66,-5.03%,"30,612",38.91K,403.33M,-12.20M,188.00M,0.88,-,7.27,-,6.03,2.15,-,-,0.04,4.79%,-8.47%,-31.02%,47.24,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.26M,19.31M,0.75%,3.70,10.69,-57.54%,42.57%,5.96,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,7.07%,3484,1.00
2018-10-31,21:04:38 ,5.81,2.65%,"50,442",39.17K,414.02M,-12.20M,188.00M,0.90,-,7.46,-,6.19,2.20,-,-,0.04,5.93%,-5.54%,-29.04%,49.54,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.26M,19.31M,0.75%,3.68,10.69,-56.41%,46.35%,5.66,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.88%,3484,1.00
2018-11-01,21:06:12 ,5.94,2.24%,"76,686",39.36K,423.28M,-12.20M,188.00M,0.92,-,7.63,-,6.33,2.25,-,-,0.04,7.11%,-2.96%,-27.30%,51.77,-2.10%,-2.40%,13.10%,-,-4.20%,-6.50%,71.26M,19.31M,0.75%,3.66,10.69,-55.44%,49.62%,5.81,-0.18,-53.80%,-157.40%,70.87%,0.00%,1.10%,-0.13%,0.40,6.73%,3484,1.00
