date,title,source
Oct-18-18,Why Yandex N.V. Stock Plunged Today,Motley Fool
Oct-19-18,Why Yandex Stock Just Dropped Another 9%,Motley Fool
Oct-22-18,Yandex shares fall on Russian plan to curb foreign ownership of news division,Reuters
Oct-22-18,Why Yandex Stock Popped 11% This Morning (Then Gave Most of It Back),Motley Fool
Oct-22-18,Yandex mulls restructuring news services to comply with proposed law on foreign ownership,Reuters
Oct-22-18,Yandex (YNDX) Q3 Earnings Preview: What to Look Out For,Zacks
Oct-22-18,"Russian search engine Yandex says often gets offers, co-founder does not plan to sell stake",Reuters
Oct-22-18,"Russian search engine Yandex says often gets offers, co-founder does not plan to sell stake",Reuters
Oct-22-18,"Russia's Yandex says often gets offers, co-founder Volozh does not plan to sell stake",Reuters
Oct-22-18,Yandex Addresses Market Rumors,GlobeNewswire
Oct-23-18,Kremlin backs plans to curb foreign ownership of online news aggregators,Reuters
Oct-23-18,Kremlin: proposals limiting foreign ownership of news aggregators 'justified',Reuters
Oct-24-18,The Google of Russia Takes New Stab at Being Its Amazon Too,Bloomberg
Oct-25-18,[$$] Sberbank and Yandex launch Russian Amazon,Financial Times
Oct-29-18,Yandex's Growth Gains Steam on Broad-Based Strength,Motley Fool
Oct-29-18,Yandex N.V. (YNDX) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-29-18,Edited Transcript of YNDX earnings conference call or presentation 29-Oct-18 12:00pm GMT,Thomson Reuters StreetEvents
Oct-29-18,Russian search engine Yandex trumpets fastest growth in six years,Reuters
Oct-29-18,Alibaba Faces a Formidable New Rival in Russia: Yandex,Motley Fool
Oct-29-18,Yandex: 3Q Earnings Snapshot,Associated Press
Oct-29-18,"Russia's Yandex Q3 revenue at 32.6 bln rbls, up 44 pct y/y",Reuters
Oct-29-18,Yandex Announces Third Quarter 2018 Financial Results,GlobeNewswire
Oct-30-18,"Yandex (YNDX) Earnings Miss, Revenues Beat Estimates in Q3",Zacks
