date,title,source
Oct-17-18,"Zynga to Discuss Third Quarter 2018 Financial Results on October 31, 2018",Business Wire
Oct-29-18,[$$] Roof's Take: The High Price of Fun and Gaming,The Wall Street Journal
Oct-30-18,"Gaming Stocks' Earnings Lineup for Oct 31: ZNGA, IGT, CHDN",Zacks
Oct-31-18,From Farmville to Westeros: Zyngas new path includes Harry Potter and Game of Thrones,MarketWatch
Oct-31-18,"Fitbit, Zynga, Jones Energy, and More: Heres Why These Stocks Are On The Move",Insider Monkey
Oct-31-18,"Zynga revenue and forecast come up short, but big-name games in the works",MarketWatch
Oct-31-18,Zynga Stock Stagnates on Q3 Revenue and Q4 Forecast Miss,InvestorPlace
Oct-31-18,Zynga (ZNGA) Misses Q3 Earnings and Revenue Estimates,Zacks
Oct-31-18,Zynga: 3Q Earnings Snapshot,Associated Press
Oct-31-18,"Zynga bookings, forecast miss estimates on poker game slowdown",Reuters
Oct-31-18,Zynga Announces Third Quarter 2018 Financial Results,Business Wire
Nov-01-18,Analysts Weigh In On Zynga After Q3 Earnings Miss,Benzinga
Nov-01-18,Zynga Launches Wonkas World of Candy,Business Wire
Nov-12-18,Edited Transcript of ZNGA earnings conference call or presentation 31-Oct-18 9:00pm GMT,Thomson Reuters StreetEvents
Nov-14-18,"Analysis: Positioning to Benefit within Harvest Capital Credit, Zynga, Unique Fabricating, SJW Group, Liquidia Technologies, and Rave Restaurant Group  Research Highlights Growth, Revenue, and Consolidated Results",GlobeNewswire
Nov-15-18,Zynga to Present at Upcoming Investor Conferences,Business Wire
Nov-20-18,A Closer Look At Zynga Incs (NASDAQ:ZNGA) Uninspiring ROE,Simply Wall St.
Nov-21-18,Zynga Unleashes New CSR Racing 2 Legends Feature,Business Wire
Nov-26-18,Zynga Updates Presentation Time at the Nasdaq Investor Conference,Business Wire
Nov-30-18,Today's Research Reports on Trending Tickers: Activision Blizzard and Zynga,ACCESSWIRE
Dec-10-18,"Big paychecks: Here's the typical employee salary at Intuit, Facebook, Google, Salesforce, Netflix, Box, Microsoft and 40 other big Bay Area tech employers",American City Business Journals
Dec-13-18,Is Zynga Inc (ZNGA) A Good Stock To Buy?,Insider Monkey
Dec-19-18,Forget FANG? Remote Monitoring Stocks Are Where Smart Investors Are Creating 5-10x Returns,ACCESSWIRE
Dec-20-18,Zynga buys Empires & Puzzles gamemaker in largest deal to date,Reuters
Dec-20-18,Zynga buys Empires & Puzzles gamemaker in largest deal to date,Reuters
Dec-20-18,Zynga will spend big to acquire European game studio,American City Business Journals
Dec-20-18,Zynga to buy Finland's Small Giant Games for $560 million,Reuters
Dec-20-18,Zynga to buy Finland's Small Giant Games for $560 mln,Reuters
Dec-20-18,"Zynga Enters Into Agreement to Acquire Small Giant Games, Creator of Hit Mobile Game Franchise Empires & Puzzles",Business Wire
Dec-21-18,Corrected: Zynga buys Empires & Puzzles gamemaker in largest deal to date,Reuters
Dec-21-18,Game Developer Zynga Gets Positive Reviews For Small Giant Acquisition,Investor's Business Daily
Dec-21-18,Zynga Climbs on Small Giant Games Acquisition,TheStreet.com
Dec-21-18,Zynga buys Empires & Puzzles gamemaker in largest deal to date,Reuters
Dec-21-18,"[$$] Stocks to Watch: Nike, Amazon, CarMax and Activision Blizzard",The Wall Street Journal
Dec-21-18,"Zynga stock gains as analysts cheer latest acquisition, raised outlook",MarketWatch
Dec-21-18,Zynga's Small Giant Games Buyout Expands Gaming Portfolio,Zacks
Dec-21-18,"Stocks making the biggest moves premarket: KMX, NKE, HPE, IBM, CPB & more",CNBC
Dec-27-18,3 Reasons Snap Stock Will Continue to Weaken,InvestorPlace
Jan-02-19,Video Game Companies Rise Midday; Netflix Poaches Activision CFO,Investing.com
Jan-04-19,Today's Research Reports on Trending Tickers: Zynga and Activision Blizzard,ACCESSWIRE
